角色ID,角色备注,士兵星级,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值,派发水晶消耗值,派发CD
30800,7星海巨人,7,300,400,67,12783,213,1672,50,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
30900,1星森巨人,1,170,500,67,7462,168,0,0,486,11,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
30900,2星森巨人,2,170,500,67,8357,188,0,0,544,12,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
30900,3星森巨人,3,170,500,67,9253,208,0,0,603,14,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
30900,4星森巨人,4,170,500,67,10148,228,0,0,661,15,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
30900,5星森巨人,5,170,500,67,11044,249,0,0,719,16,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
30900,6星森巨人,6,170,500,67,11939,269,0,0,778,18,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
30900,7星森巨人,7,170,500,67,12835,289,0,0,836,19,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50,800,60000
31000,1星精灵王,1,125,525,70,2538,80,0,0,392,6,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31000,2星精灵王,2,125,525,70,2843,90,0,0,439,7,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31000,3星精灵王,3,125,525,70,3147,99,0,0,486,7,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31000,4星精灵王,4,125,525,70,3452,109,0,0,533,8,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31000,5星精灵王,5,125,525,70,3756,118,0,0,580,9,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31000,6星精灵王,6,125,525,70,4061,128,0,0,627,10,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31000,7星精灵王,7,125,525,70,4365,138,0,0,674,10,0,0,0,0,800,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,300,40000
31100,1星火元素,1,200,500,125,2479,71,245,5,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
31100,2星火元素,2,200,500,125,2776,80,274,6,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
31100,3星火元素,3,200,500,125,3074,88,304,6,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
31100,4星火元素,4,200,500,125,3371,97,333,7,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
31100,5星火元素,5,200,500,125,3667,105,363,7,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
31100,6星火元素,6,200,500,125,3966,114,392,8,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
31100,7星火元素,7,200,500,125,4264,122,421,9,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50,350,13000
40000,1星骷髅战士,1,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40000,2星骷髅战士,2,150,300,156,669,16,161,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40000,3星骷髅战士,3,150,300,156,740,17,179,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40000,4星骷髅战士,4,150,300,156,812,19,196,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40000,5星骷髅战士,5,150,300,156,884,21,213,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40000,6星骷髅战士,6,150,300,156,955,22,230,5,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40000,7星骷髅战士,7,150,300,156,1027,24,248,5,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,750,75,50,100,5000
40100,1星僵尸,1,150,300,111,3032,70,206,4,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40100,2星僵尸,2,150,300,111,3396,78,230,4,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40100,3星僵尸,3,150,300,111,3760,87,256,5,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40100,4星僵尸,4,150,300,111,4124,95,280,5,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40100,5星僵尸,5,150,300,111,4488,104,304,6,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40100,6星僵尸,6,150,300,111,4852,112,330,6,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40100,7星僵尸,7,150,300,111,5216,120,354,7,0,0,0,400,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,250,9000
40200,1星骷髅弓手,1,200,650,125,296,6,146,4,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40200,2星骷髅弓手,2,200,650,125,332,7,164,4,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40200,3星骷髅弓手,3,200,650,125,367,7,181,5,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40200,4星骷髅弓手,4,200,650,125,403,8,199,5,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40200,5星骷髅弓手,5,200,650,125,438,9,216,6,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40200,6星骷髅弓手,6,200,650,125,474,10,234,6,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40200,7星骷髅弓手,7,200,650,125,509,10,251,7,0,0,0,0,0,0,0,0,0,0,62,0,0,0,20,0,0,0,0,0,0,5,400,40,50,100,7000
40300,1星幽灵,1,150,300,188,1140,16,269,9,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40300,2星幽灵,2,150,300,188,1277,18,301,10,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40300,3星幽灵,3,150,300,188,1413,20,334,11,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40300,4星幽灵,4,150,300,188,1550,22,366,12,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40300,5星幽灵,5,150,300,188,1687,24,398,13,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40300,6星幽灵,6,150,300,188,1824,26,430,14,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40300,7星幽灵,7,150,300,188,1961,28,463,15,0,0,0,0,0,0,0,0,0,0,53,0,0,20,20,0,0,0,0,0,0,5,750,75,40,200,14000
40400,1星死灵召唤师,1,200,625,100,1298,24,0,0,546,13,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40400,2星死灵召唤师,2,200,625,100,1454,27,0,0,612,15,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40400,3星死灵召唤师,3,200,625,100,1610,30,0,0,678,16,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40400,4星死灵召唤师,4,200,625,100,1766,33,0,0,742,18,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40400,5星死灵召唤师,5,200,625,100,1922,36,0,0,808,19,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40400,6星死灵召唤师,6,200,625,100,2076,38,0,0,874,21,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40400,7星死灵召唤师,7,200,625,100,2232,41,0,0,940,22,0,0,0,0,500,0,0,0,10,0,0,0,0,0,0,0,0,10000,2000,5,120,12,50,350,26000
40500,1星雪女,1,300,500,111,734,11,0,0,374,12,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40500,2星雪女,2,300,500,111,822,12,0,0,418,13,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40500,3星雪女,3,300,500,111,910,14,0,0,464,15,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40500,4星雪女,4,300,500,111,998,15,0,0,508,16,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40500,5星雪女,5,300,500,111,1086,16,0,0,554,18,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40500,6星雪女,6,300,500,111,1174,18,0,0,598,19,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40500,7星雪女,7,300,500,111,1262,19,0,0,644,21,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,300,27000
40600,1星屠夫,1,230,300,80,3526,55,642,21,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40600,2星屠夫,2,230,300,80,3950,62,720,24,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40600,3星屠夫,3,230,300,80,4372,68,796,26,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40600,4星屠夫,4,230,300,80,4796,75,874,29,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40600,5星屠夫,5,230,300,80,5218,81,950,31,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40600,6星屠夫,6,230,300,80,5642,88,1028,34,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40600,7星屠夫,7,230,300,80,6064,95,1104,36,0,0,0,200,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,450,17000
40700,1星死亡骑士,1,280,700,166,5940,109,346,8,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40700,2星死亡骑士,2,280,700,166,6652,122,388,9,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40700,3星死亡骑士,3,280,700,166,7366,135,490,10,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40700,4星死亡骑士,4,280,700,166,8078,148,470,11,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40700,5星死亡骑士,5,280,700,166,8792,161,512,12,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40700,6星死亡骑士,6,280,700,166,9504,174,554,13,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40700,7星死亡骑士,7,280,700,166,10216,187,596,14,0,0,0,1000,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,600,22000
40800,1星巫妖,1,200,525,100,2882,37,0,0,1460,47,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40800,2星巫妖,2,200,525,100,3228,41,0,0,1636,53,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40800,3星巫妖,3,200,525,100,3574,46,0,0,1810,58,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40800,4星巫妖,4,200,525,100,3920,50,0,0,1986,64,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40800,5星巫妖,5,200,525,100,4266,55,0,0,2160,70,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40800,6星巫妖,6,200,525,100,4612,59,0,0,2336,75,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40800,7星巫妖,7,200,525,100,4958,64,0,0,2512,81,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50,600,29000
40900,1星吸血鬼勋爵,1,200,380,166,2232,30,620,18,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
40900,2星吸血鬼勋爵,2,200,380,166,2500,34,694,20,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
40900,3星吸血鬼勋爵,3,200,380,166,2768,37,768,22,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
40900,4星吸血鬼勋爵,4,200,380,166,3036,41,844,24,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
40900,5星吸血鬼勋爵,5,200,380,166,3304,44,918,27,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
40900,6星吸血鬼勋爵,6,200,380,166,3512,48,992,29,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
40900,7星吸血鬼勋爵,7,200,380,166,3840,104,1066,62,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40,550,22000
41000,1星黑寡妇,1,200,450,110,1443,23,438,13,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
41000,2星黑寡妇,2,200,450,110,1616,26,491,15,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
41000,3星黑寡妇,3,200,450,110,1789,29,543,16,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
41000,4星黑寡妇,4,200,450,110,1963,32,596,18,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
41000,5星黑寡妇,5,200,450,110,2135,35,648,19,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
41000,6星黑寡妇,6,200,450,110,2308,37,701,21,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
41000,7星黑寡妇,7,200,450,110,2481,40,753,22,0,0,0,0,0,0,0,0,0,0,70,0,0,0,20,0,0,0,0,0,0,6,400,40,50,450,21000
