角色ID,角色备注,角色表现,角色偏色,角色大小缩放,角色特效大小缩放值,角色子弹发射点,角色头部特效播放点,角色身上特效播放点,角色血条长度,角色状态表ID,角色AI表ID,角色技能1,角色技能2,角色技能3,角色技能4,角色技能5,角色技能6,角色技能7,角色技能8,角色技能9,角色技能10,角色技能11,角色技能12,卡片名字,卡片描述,卡片表现,卡片头像表现,种族,职业,性别,攻击方式,角色攻击距离
141200,爬塔第十四层尤达米尔,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],141200,141200,111901,111902,111903,111904,111905,141201,141202,141203,,,,,1120113,,0,h_soldierhead_101100.png,2,1,1,2,4
141300,爬塔第十五层时光女神,101000,[],1.2,0.7,[25+60],[0+267],[0+60],[13+0+270],141300,141300,113505,113506,113507,113508,141301,141302,141303,141304,,,,,1120114,,0,h_soldierhead_101000.png,1,1,2,1,1
141400,爬塔第十六层艾丽卡,1300,[],1,1,[80+60],[0+263],[0+80],[3+-5+205],141400,141400,1366,1303,1304,1305,1300,140501,140502,140503,,,,,1120115,,summoner_1300.png,icon_summoner_1300.png,3,5,2,2,4
141500,爬塔第十七层罗迪亚克,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+210],141500,141500,1666,1604,140401,140402,140403,,,,,,,,1120116,,summoner_1600.png,icon_summoner_1600.png,1,5,1,2,4
141600,爬塔第十七刺客,1201,[],1,1,[80+60],[0+258],[0+80],[3+0+200],141600,141600,1266,1204,1205,1206,1207,1208,1200,140602,140603,,,,1120117,,summoner_1200.png,icon_summoner_1200.png,3,2,2,2,4
141700,爬塔第十八冰女,1101,[],1,1,[40+80],[0+250],[0+80],[3+-5+210],141700,141700,1166,1104,1105,140800,140801,140802,140803,140804,140805,140806,140807,140808,1120118,,summoner_1000.png,icon_summoner_1100.png,1,4,1,2,4
141800,爬塔第十九火法,1000,[],1,1,[100+80],[5+260],[0+80],[3+5+220],141800,141800,1066,1000,1005,140701,140702,140703,140704,,,,,,1120119,,summoner_1100.png,icon_summoner_1000.png,1,4,2,2,4
141900,爬塔第二十莱奥,1500,[],1,1,[-10+70],[30+247],[30+70],[3+30+190],141900,141900,1566,1505,1506,1508,1509,1510,1502,1503,140301,140302,140303,,1120120,,0,icon_summoner_1500.png,1,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142100,熊怪（金币）,100100,[],1,1.3,[40+100],[40+429],[36+100],[3+40+360],142100,142100,142113,142114,142115,142100,,,,,,,,,1130101,1130102,0,h_soldierhead_100100.png,3,1,1,1,1
142200,死神（金币）,100001,[],1,1,[50+60],[0+267],[0+60],[3+0+210],142200,142200,142100,,,,,,,,,,,,1130201,1130202,0,h_soldierhead_100002.png,2,4,3,1,1
142300,神像（金币）,100300,[],1,1,[130+200],[0+416],[33+100],[3+0+360],142300,142300,142100,142301,,,,,,,,,,,1130301,1130302,0,h_soldierhead_100300.png,4,5,3,1,1
142400,掘墓人（金币）,100200,[],1.2,0.9,[100+160],[0+265],[33+100],[3+0+260],142400,142400,142100,142401,142402,,,,,,,,,,1130401,1130402,0,h_soldierhead_100200.png,1,1,1,1,1
142500,树人（金币）,30902,[],1.5,0.9,[100+160],[45+304],[33+100],[3+68+390],142500,142500,142100,142501,142502,142503,,,,,,,,,1130501,1130502,0,h_soldierhead_30905.png,3,5,3,1,1
142600,火枪击飞（金币）,10202,[],1,0.7,[110+60],[20+190],[20+70],[3+20+140],142600,142600,142100,142601,142602,,,,,,,,,,1130601,1130602,0,h_soldierhead_10204.png,1,3,1,2,3
142700,笨熊（金币）,1305,[],1,1,[50+120],[0+330],[0+120],[3+0+300],142700,142700,142100,142701,142702,142703,,,,,,,,,1130701,1130702,0,h_soldierhead_301304.png,3,1,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143100,莱奥（法师试炼）,1500,[],1,1,[60+70],[30+247],[30+70],[3+30+190],143100,143100,143100,,,,,,,,,,,,1140101,1140102,summoner_1500.png,icon_summoner_1500.png,1,1,1,1,2
143200,艾丽卡（刺客试炼）,1300,[],1,1,[80+60],[0+263],[0+80],[3+-5+205],143200,143200,143200,,,,,,,,,,,,1140201,1140202,summoner_1300.png,icon_summoner_1300.png,3,5,2,2,3
143300,刺客大师（射手试炼）,1201,[],1,1,[80+60],[0+258],[0+80],[3+0+200],143300,143300,143300,,,,,,,,,,,,1140301,1140302,summoner_1200.png,icon_summoner_1200.png,1,2,2,1,1
143400,火法（战士试炼）,1000,[],1,1,[80+40],[0+268],[0+80],[3+0+210],143400,143400,143400,,,,,,,,,,,,1140401,1140402,summoner_1000.png,icon_summoner_1000.png,1,4,1,2,4
143500,约修亚（贤者试炼）,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],143500,143500,143500,,,,,,,,,,,,1140501,1140502,summoner_1400.png,icon_summoner_1400.png,1,1,1,2,4
143600,罗迪亚克（守卫试炼）,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+200],143600,143600,143600,,,,,,,,,,,,1140601,1140602,summoner_1600.png,icon_summoner_1600.png,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161000,投石车,20901,[],1,1.1,[100+370],[30+313],[20+100],[23+15+250],161000,161000,161002,161003,161004,,,,,,,,,,1201101,1291101,h_soldierhead_20902.png,h_soldierhead_20902.png,3,3,3,2,4
161100,死亡骑士,40702,[],1.3,1.2,[0+115],[20+320],[25+115],[3+30+340],161100,161100,161101,40701,40702,161103,161102,161106,,,,,,,1201102,1291102,0,h_soldierhead_40704.png,2,1,1,1,1
161200,疯狂召唤师,40402,[],1.1,1,[80+80],[20+260],[20+80],[13+20+230],161200,161200,161201,161202,161203,161204,161205,,,,,,,,1201201,1291201,0,h_soldierhead_40404.png,2,4,1,2,3
161300,骨龙,108601,[],1,1,[0+130],[0+408],[0+155],[33+0+350],161300,161300,161301,161302,161303,161304,161305,161306,161307,161309,,,,,1201202,1291202,0,h_soldierhead_108600.png,3,4,3,2,3
161400,掘墓人,100200,[],1.2,1,[50+90],[0+265],[0+90],[3+0+260],161400,161400,161401,161402,161403,161404,161405,161406,161407,161408,161409,,,,1201301,1291301,0,h_soldierhead_100200.png,2,1,1,1,1
161500,吸血鬼勋爵,40903,[],1.5,0.65,[0+90],[0+238],[10+50],[23+0+300],161500,161500,161501,161502,161504,161506,,,,,,,,,1201302,1291302,0,h_soldierhead_40904.png,2,2,2,1,1
161600,巫妖女王,40802,[],1.4,0.8,[10+120],[7+278],[20+135],[13+7+330],161600,161600,161601,161603,161604,161605,161606,161607,161608,161609,161610,,,,1201303,1291303,0,h_soldierhead_40804.png,2,4,2,2,3
161700,瘟疫使者,100800,[],1,1,[40+100],[30+427],[0+200],[3+30+370],161700,161700,161701,161702,161703,161704,161705,161706,161707,,,,,,1201401,1291401,0,h_soldierhead_100800.png,2,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162000,攻城101尤达米尔,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],113200,113200,113201,113202,113203,113204,113205,113206,,,,,,,1202100,1292100,0,h_soldierhead_101100.png,2,1,1,2,4
162100,（远征162101）炮台,321100,[],1.2,0.8,[90+100],[0+252],[0+100],[3+0+250],162100,162100,162101,162102,,,,,,,,,,,1202101,1292101,0,h_soldierhead_321100.png,3,3,3,2,3
162200,（远征162102）四星雪女,40502,[],1.4,0.8,[30+100],[10+220],[20+100],[13+10+250],162200,162200,162201,,,,,,,,,,,,1202102,1292102,0,h_soldierhead_40502.png,2,4,2,2,3
162300,（远征162103）四星森巨人,30902,[],1.5,0.9,[10+120],[45+304],[33+100],[3+60+390],162300,162300,162301,162302,162303,,,,,,,,,,1202103,1292103,0,h_soldierhead_30904.png,3,5,3,1,1
162400,攻城战201炮台,321100,[],1,0.65,[40+90],[0+275],[0+80],[23+0+240],162400,162400,162416,162404,,,,,,,,,,,1202201,1292201,,h_soldierhead_321100.png,4,2,3,2,3
162500,攻城战202将军,110400,[],1,1,[110+190],[0+375],[20+160],[3+0+320],162500,162500,162501,162502,162503,162504,162505,,,,,,,,1202202,1292202,,h_soldierhead_110400.png,1,1,1,1,1
162600,攻城战301蛛魔斯派克,100051,[0.88+0+0],1.8,1,[40+0],[0+240],[0+60],[23+0+350],162600,162600,162606,162608,,,,,,,,,,,1202301,1292301,0,h_soldierhead_100004.png,3,4,2,2,3
162700,攻城战401尤达米尔,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],162700,162700,111901,111904,111905,,,,,,,,,,1202401,1292401,0,h_soldierhead_101100.png,2,1,1,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165100,混乱之地-石像,100300,[],1,1,[130+200],[0+416],[0+180],[3+0+380],113300,113300,113301,113302,,,,,,,,,,,1113301,1113302,0,h_soldierhead_100300.png,4,5,3,2,3
165200,混乱之地-骨龙,108601,[0.76+0.5+-0.2],1,1,[0+130],[0+408],[0+155],[13+0+350],165200,165200,165201,165202,165203,165204,165205,,,,,,,,1108301,1108302,0,h_soldierhead_108600.png,2,4,3,2,3
165300,混乱之地-石像,100300,[0.38+0+0],1,1,[130+200],[0+416],[0+180],[3+0+380],113400,113400,113401,113402,,,,,,,,,,,1113401,1113402,0,h_soldierhead_100300.png,4,5,3,2,3
165400,混乱之地-骷髅王头,101200,[],1.2,1,[0+60],[10+280],[10+80],[3+9+200],165400,165400,165401,165402,,,,,,,,,,,,,,,2,1,1,2,0
165500,混乱之地-死灵镜,449,[0.22+-0.22+0],1,1,[0+150],[0+280],[0+150],[3+0+300],165500,165500,,,,,,,,,,,,,1113401,1113402,0,,4,5,3,1,1
165600,混乱之地-冰法,100900,[],1,1,[40+80],[0+257],[0+80],[13+-5+200],165600,165600,165601,165602,165603,165604,165605,165606,165607,165612,,,,,1111601,1111602,0,h_soldierhead_100900.png,3,4,2,2,4
165700,混乱之地-无限之镜,449,[0.4+-0.25+0],1,1,[0+150],[0+280],[0+150],[33+0+300],165700,165700,165701,,,,,,,,,,,,1113401,1113402,0,,4,5,3,1,1
165800,混乱之地-身体,101200,[],1.2,1,[0+60],[10+280],[10+80],[3+9+200],165800,165800,165801,165802,165803,,,,,,,,,,,,,,2,1,1,1,1
165900,混乱之地-完整体,101200,[],1.2,1,[0+60],[10+280],[10+80],[3+9+200],165900,165900,165401,165402,165801,165802,165803,165901,165902,,,,,,,,,,2,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170000,艾丽卡（竞技场）,1300,[],1,1,[80+60],[0+263],[0+80],[3+0+200],170000,170000,170000,170001,,,,,,,,,,,1001300,1001301,summoner_1300.png,icon_summoner_1300.png,1,1,1,1,1
170100,罗迪亚克（竞技场）,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+200],170100,170100,170101,170102,170103,170104,1604,,,,,,,,1001600,1001601,summoner_1600.png,icon_summoner_1600.png,1,1,1,1,1
170200,刺客（竞技场）,1201,[],1,1,[80+60],[0+258],[0+80],[3+0+200],170200,170200,170200,170201,170204,170205,170206,170208,170209,,,,,,1001200,1001201,summoner_1200.png,icon_summoner_1200.png,1,1,1,1,1
170300,约修亚（竞技场）,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],170300,170300,170301,170302,170303,170310,170311,170312,,,,,,,1001400,1001401,summoner_1400.png,icon_summoner_1400.png,1,1,1,1,1
170400,火法（竞技场）,1000,[],1,1,[100+80],[0+268],[0+80],[3+0+210],170400,170400,170401,170402,170403,170404,170405,,,,,,,,1001000,1001001,summoner_1000.png,icon_summoner_1000.png,1,1,1,1,1
170500,冰法（竞技场）,1101,[],1,1,[40+80],[0+257],[0+80],[3+-5+200],170500,170500,170500,170501,170502,170503,170504,170505,170506,170507,170508,170511,,,1001100,1001101,summoner_1100.png,icon_summoner_1100.png,2,1,1,1,1
170600,莱奥（竞技场）,1500,[],1,1,[60+70],[30+247],[30+70],[3+0+200],170600,170600,170601,170602,170603,170604,170605,170606,170607,170608,170609,,,,1001500,1001501,summoner_1500.png,icon_summoner_1500.png,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180000,艾丽卡（简单机器人1）,1300,[],1,1,[80+60],[0+263],[0+80],[3+0+200],180000,180000,180001,180002,1300,180003,1308,,,,,,,,1001300,1001301,summoner_1300.png,icon_summoner_1300.png,1,1,1,1,1
180100,艾丽卡（简单机器人2）,1300,[],1,1,[80+60],[0+263],[0+80],[3+0+200],180100,180100,180001,180002,1300,180003,1308,,,,,,,,1001300,1001301,summoner_1300.png,icon_summoner_1300.png,1,1,1,1,1
180200,艾丽卡（简单机器人3）,1300,[],1,1,[80+60],[0+263],[0+80],[3+0+200],180200,180200,180001,180002,1300,180003,1308,,,,,,,,1001300,1001301,summoner_1300.png,icon_summoner_1300.png,1,1,1,1,1
180300,莱奥（简单机器人4）,1500,[],1,1,[60+70],[30+247],[30+70],[3+0+200],180300,180300,180301,180311,180303,1508,1509,1510,1511,,,,,,1001500,1001501,summoner_1500.png,icon_summoner_1500.png,1,1,1,1,1
180400,莱奥（简单机器人5）,1500,[],1,1,[60+70],[30+247],[30+70],[3+0+200],180400,180400,180301,180311,180303,1508,1509,1510,1511,,,,,,1001500,1001501,summoner_1500.png,icon_summoner_1500.png,1,1,1,1,1
180500,莱奥（简单机器人6）,1500,[],1,1,[60+70],[30+247],[30+70],[3+0+200],180500,180500,180301,180311,180303,1508,1509,1510,1511,,,,,,1001500,1001501,summoner_1500.png,icon_summoner_1500.png,1,1,1,1,1
180600,冰法（正常机器人1）,1101,[],1,1,[40+80],[0+257],[0+80],[3+-5+200],180600,180600,1100,180601,180602,180603,1104,1105,1106,1107,1108,,,,1001100,1001101,summoner_1100.png,icon_summoner_1100.png,1,1,1,1,1
180700,冰法（正常机器人2）,1101,[],1,1,[40+80],[0+257],[0+80],[3+-5+200],180700,180700,1100,180601,180602,180603,1104,1105,1106,1107,1108,,,,1001100,1001101,summoner_1100.png,icon_summoner_1100.png,1,1,1,1,1
180800,冰法（正常机器人3）,1101,[],1,1,[40+80],[0+257],[0+80],[3+-5+200],180800,180800,1100,180601,180602,180603,1104,1105,1106,1107,1108,,,,1001100,1001101,summoner_1100.png,icon_summoner_1100.png,1,1,1,1,1
180900,火法（正常机器人4）,1000,[],1,1,[100+80],[0+268],[0+80],[3+0+210],180900,180900,1000,180901,180902,180903,1005,,,,,,,,1001000,1001001,summoner_1000.png,icon_summoner_1000.png,1,1,1,1,1
181000,火法（正常机器人5）,1000,[],1,1,[100+80],[0+268],[0+80],[3+0+210],181000,181000,1000,180901,180902,180903,1005,,,,,,,,1001000,1001001,summoner_1000.png,icon_summoner_1000.png,1,1,1,1,1
181100,火法（正常机器人6）,1000,[],1,1,[100+80],[0+268],[0+80],[3+0+210],181100,181100,1000,180901,180902,180903,1005,,,,,,,,1001000,1001001,summoner_1000.png,icon_summoner_1000.png,1,1,1,1,1
181200,罗迪亚克（正常机器人7）,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+200],181200,181200,181201,181202,181203,181204,,,,,,,,,1001600,1001601,summoner_1600.png,icon_summoner_1600.png,1,1,1,1,1
181300,罗迪亚克（正常机器人8）,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+200],181300,181300,181201,181202,181203,181204,,,,,,,,,1001600,1001601,summoner_1600.png,icon_summoner_1600.png,1,1,1,1,1
181400,罗迪亚克（正常机器人9）,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+200],181400,181400,181201,181202,181203,181204,,,,,,,,,1001600,1001601,summoner_1600.png,icon_summoner_1600.png,1,1,1,1,1
181500,约修亚（正常机器人10）,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],181500,181500,181502,1403,181501,181503,1411,,,,,,,,1001400,1001401,summoner_1400.png,icon_summoner_1400.png,1,1,1,1,1
181600,约修亚（正常机器人11）,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],181600,181600,181502,1403,181501,181503,1411,,,,,,,,1001400,1001401,summoner_1400.png,icon_summoner_1400.png,1,1,1,1,1
181700,约修亚（正常机器人12）,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],181700,181700,181502,1403,181501,181503,1411,,,,,,,,1001400,1001401,summoner_1400.png,icon_summoner_1400.png,1,1,1,1,1
