角色ID,角色备注,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值
165100,混乱之地-石像,300,700,0,9999999,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
165200,混乱之地-骨龙,200,600,125,9999999,100,0,0,625,16,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,1000,14,99999,10000,50
165300,混乱之地-石像,300,700,0,9999999,100,0,0,1000,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
165400,混乱之地-骷髅王头,250,700,150,9999999,100,750,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,99999,10000,50
165500,混乱之地-死灵镜,300,700,0,9999999,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
165600,混乱之地-冰法,100,650,70,9999999,100,0,0,525,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,99999,10000,50
165700,混乱之地-无限之镜,300,700,0,9999999,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,10000,1000,15,99999,10000,50
165800,混乱之地-身体,250,700,150,9999999,100,750,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,99999,10000,50
165900,混乱之地-完整体,250,700,150,9999999,100,750,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170000,艾丽卡（竞技场）,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
170100,罗迪亚克（竞技场）,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
170200,刺客（竞技场）,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
170300,约修亚（竞技场）,100,650,70,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
170400,火法（竞技场）,100,650,70,10000,450,320,5,600,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
170500,冰法（竞技场）,100,650,70,10000,450,320,5,600,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
170600,莱奥（竞技场）,250,650,150,10000,450,320,5,320,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180000,艾丽卡（简单机器人1）,100,650,70,10000,450,0,0,400,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180100,艾丽卡（简单机器人2）,100,650,70,10000,450,0,0,400,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180200,艾丽卡（简单机器人3）,100,650,70,10000,450,0,0,400,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180300,莱奥（简单电脑4）,250,100,160,10000,450,400,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180400,莱奥（简单电脑5）,250,100,160,10000,450,400,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180500,莱奥（简单电脑6）,250,100,160,10000,450,400,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180600,冰法（正常机器人1）,100,550,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180700,冰法（正常机器人2）,100,550,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180800,冰法（正常机器人3）,100,550,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
180900,火法（正常机器人4）,100,550,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181000,火法（正常机器人5）,100,550,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181100,火法（正常机器人6）,100,550,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181200,罗迪亚克（正常机器人7）,550,950,70,10000,450,400,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181300,罗迪亚克（正常机器人8）,550,950,70,10000,450,400,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181400,罗迪亚克（正常机器人9）,550,950,70,10000,450,400,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181500,约修亚（正常机器人10）,300,100,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181600,约修亚（正常机器人11）,300,100,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
181700,约修亚（正常机器人12）,300,100,70,10000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
