语言ID,说明,CN
32243,道具名称,角斗之斧
32244,道具描述,粉碎一切吧！
32245,道具名称,特殊头像6
32246,道具描述,开过光的头像
32247,道具名称,冠军之戒
32248,道具描述,雄狮咆哮，唯我独尊！这枚由人族建国王亚特兰亲自设计、传奇工匠梅里斯特打造的戒指，只属于竞技场中凌驾一切的最强者！
32249,道具名称,斗士之戒
32250,道具描述,一往无前，战斗到底！这枚戒指同样出自传奇工匠梅里斯特之手，昂首阔步的独角兽正是角斗士永不言败的象征！
32251,道具名称,挑战者指环
32252,道具描述,不断挑战，不断超越！挑战者一路披荆斩棘，虽然离顶端还有距离，但这份不屈的执着值得我们称颂！
32253,道具名称,守卫钉锤
32254,道具描述,即使是最普通的钉锤也能在战场上发挥巨大的作用，钉锤的目的就是大范围地重创敌人以致其失去战斗能力！
32255,道具名称,精钢锤
32256,道具描述,只有少数守卫将领才能使用的武器，精钢铸造的锤子可以轻易击溃敌人的装甲防御！
32257,道具名称,圣骑士锤
32258,道具描述,赛因之光，已故圣骑士赛因抵御恶魔入侵时的作战武器，不过现在使用的都是复制品，真品损毁严重，目前存放在赛因教堂
32259,道具名称,65锤
32260,道具描述,无
32261,道具名称,皮革头盔
32262,道具描述,头盔大部分的材料都是用坚硬的皮革制成，唯独头盔顶部的铁片，需要放置在铁砧上进行热加工。
32263,道具名称,精钢护盔
32264,道具描述,敦实厚重的头盔，光是看上去就十分稳重踏实，即便这顶头盔朴实无华，但在大多数守卫眼中，这是他们梦寐以求的装备。
32265,道具名称,正义之盔
32266,道具描述,“……即使死了！也要让敌人费力气从我们的尸体上跨过去！因为我们的背后是千千万万的友军，而他们的身前只有我们！”--圣骑士赛因
32267,道具名称,65盔
32268,道具描述,无
32269,道具名称,皮革战衣
32270,道具描述,虽说皮革制成的战衣外观较好，但比起金属盔甲还是缺少了防护性。
32271,道具名称,厚重铠甲
32272,道具描述,“制造这种厚重的盔甲的确十分吃力呢~而且耗费的材料也是一般盔甲的好几倍，但我还是愿意做，即便就此死去也无所谓！”--铸甲师哈玛洛
32273,道具名称,圣堂铠甲
32274,道具描述,“在大殿上不允许和其他人交谈，如果有人蓄意冒犯，做好迎战准备，等待上级的指示方可采取进一步的行动！”摘自《圣堂守卫守则》
32275,道具名称,65甲
32276,道具描述,无
32277,道具名称,皮革护靴
32278,道具描述,“怎么还是皮革的呢？”不少新晋的守卫在领到装备时常常这么抱怨，但是在那个战乱而且物资匮乏的时代，他们依旧用肉体保卫着疆土！
32279,道具名称,行军护靴
32280,道具描述,守卫的防护装备都十分厚重，唯独鞋子做了轻量化处理，减轻了守卫们的负担，最主要的目的还是希望他们能够第一时间为友军提供援护。
32281,道具名称,圣堂护靴
32282,道具描述,鞋子就像是守卫们的底线，被踩到的话就意味着被进犯，这是守卫们绝对不能宽恕的行为！
32283,道具名称,65靴
32284,道具描述,无
32285,道具名称,征服剑
32286,道具描述,勇士埃迪年幼时曾听说过关于征服剑的传说，长大之后他就为了得到这把剑开始游历埃米尔大陆
32287,道具名称,统御战盔
32288,道具描述,在游历大陆的过程中，埃迪遇到了一名受伤的战士，战士临死前将身上的装备都托付给了埃迪，此外还有一封信件
32289,道具名称,统御盔甲
32290,道具描述,受伤的战士希望埃迪替他把信件送到恻隐之森，那里会有一个穿着银白盔甲的同伴与他接应……
32291,道具名称,坚毅战靴
32292,道具描述,埃迪把信件交给了接应的人，得知同伴死去的消息后，接应人送给埃迪一双银白战靴，埃迪穿上战靴重新踏上找寻征服剑的旅程

33001,道具名称,勇士碎片
33002,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33003,道具名称,火枪手碎片
33004,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33005,道具名称,盗贼碎片
33006,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33007,道具名称,老铁匠碎片
33008,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33009,道具名称,魔剑士碎片
33010,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33011,道具名称,维京人碎片
33012,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33013,道具名称,火女碎片
33014,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33015,道具名称,牧师碎片
33016,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33017,道具名称,圣骑士碎片
33018,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33019,道具名称,小扒手碎片
33020,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33021,道具名称,盗墓贼碎片
33022,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33023,道具名称,爆破工碎片
33024,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33025,道具名称,蒙面刃碎片
33026,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33027,道具名称,蒙面镖碎片
33028,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33029,道具名称,盾卫碎片
33030,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33031,道具名称,狼人碎片
33032,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33033,道具名称,牛头人碎片
33034,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33035,道具名称,投石车碎片
33036,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33037,道具名称,野猪碎片
33038,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33039,道具名称,黑熊碎片
33040,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33041,道具名称,灰狼碎片
33042,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33043,道具名称,小精灵碎片
33044,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33045,道具名称,神射手碎片
33046,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33047,道具名称,小鹿碎片
33048,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33049,道具名称,水精灵碎片
33050,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33051,道具名称,夜刃碎片
33052,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33053,道具名称,影舞者碎片
33054,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33055,道具名称,森巨人碎片
33056,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33057,道具名称,骷髅战碎片
33058,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33059,道具名称,木乃伊碎片
33060,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33061,道具名称,骷髅弓碎片
33062,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33063,道具名称,幽灵碎片
33064,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33065,道具名称,死召师碎片
33066,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33067,道具名称,风雪姬碎片
33068,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33069,道具名称,屠夫碎片
33070,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33071,道具名称,黑骑士碎片
33072,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33073,道具名称,巫妖碎片
33074,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33075,道具名称,吸血鬼碎片
33076,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33077,道具名称,炽焰龙碎片
33078,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33079,道具名称,石巨人碎片
33080,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33081,道具名称,海巨人碎片
33082,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33083,道具名称,精灵王碎片
33084,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33085,道具名称,火元素碎片
33086,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33087,道具名称,黑寡妇碎片
33088,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33089,道具名称,巨炮少女碎片
33090,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33091,道具名称,小丑碎片
33092,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33093,道具名称,魔术师碎片
33094,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33095,道具名称,机械犬碎片
33096,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33097,道具名称,致命邪兽碎片
33098,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33099,道具名称,炼金师碎片
33100,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33101,道具名称,巫毒师碎片
33102,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星
33103,道具名称,人造怪物碎片
33104,道具描述,集齐一定数量可以换取该英雄或进行该英雄的升星


33501,道具名称,勇士技能石
33502,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33503,道具名称,火枪手技能石
33504,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33505,道具名称,盗贼技能石
33506,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33507,道具名称,老铁匠技能石
33508,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33509,道具名称,魔剑士技能石
33510,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33511,道具名称,维京人技能石
33512,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33513,道具名称,火女技能石
33514,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33515,道具名称,牧师技能石
33516,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33517,道具名称,圣骑士技能石
33518,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33519,道具名称,小扒手技能石
33520,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33521,道具名称,盗墓贼技能石
33522,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33523,道具名称,爆破工技能石
33524,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33525,道具名称,蒙面刃技能石
33526,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33527,道具名称,蒙面镖技能石
33528,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33529,道具名称,盾卫技能石
33530,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33531,道具名称,狼人技能石
33532,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33533,道具名称,牛头人技能石
33534,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33535,道具名称,投石车技能石
33536,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33537,道具名称,野猪技能石
33538,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33539,道具名称,黑熊技能石
33540,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33541,道具名称,灰狼技能石
33542,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33543,道具名称,小精灵技能石
33544,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33545,道具名称,神射手技能石
33546,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33547,道具名称,小鹿技能石
33548,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33549,道具名称,水精灵技能石
33550,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33551,道具名称,夜刃技能石
33552,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33553,道具名称,影舞者技能石
33554,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33555,道具名称,森巨人技能石
33556,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33557,道具名称,骷髅战技能石
33558,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33559,道具名称,木乃伊技能石
33560,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33561,道具名称,骷髅弓技能石
33562,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33563,道具名称,幽灵技能石
33564,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33565,道具名称,死召师技能石
33566,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33567,道具名称,风雪姬技能石
33568,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33569,道具名称,屠夫技能石
33570,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33571,道具名称,黑骑士技能石
33572,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33573,道具名称,巫妖技能石
33574,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33575,道具名称,吸血鬼技能石
33576,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33577,道具名称,炽焰龙技能石
33578,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33579,道具名称,石巨人技能石
33580,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
33581,道具名称,海巨人技能石
33582,道具描述,在英雄升级界面使用后，有概率提升该英雄的技能等级
34001,装备效果,近接攻击距离增加%d%%
34002,装备效果,远距攻击距离增加%d%%
34003,装备效果,移动速度增加%d%%
34004,装备效果,生命增加%d点
34005,装备效果,生命增加%d%%
34006,装备效果,物理攻击增加%d点
34007,装备效果,物理攻击增加%d%%
34008,装备效果,魔法攻击增加%d点
34009,装备效果,魔法攻击增加%d%%
34010,装备效果,物理免疫增加%d%%
34011,装备效果,物理护甲增加%d点
34012,装备效果,物理护甲增加%d%%
34013,装备效果,魔法免疫增加%d%%
34014,装备效果,魔法护甲增加%d点
34015,装备效果,魔法护甲增加%d%%
34016,装备效果,物理穿透增加%d点
34017,装备效果,物理穿透增加%d%%
34018,装备效果,魔法穿透增加%d点
34019,装备效果,魔法穿透增加%d%%
34020,装备效果,攻击速度增加%d%%
34021,装备效果,吸血增加%d%%
34022,装备效果,反弹增加%d%%
34023,装备效果,闪避增加%d%%
34024,装备效果,暴击增加%d%%
34025,装备效果,暴击伤害增加%d%%
34026,装备效果,怒气增加%d点
34027,装备效果,怒气增加%d%%
34028,装备效果,怒气回复速度增加%d%%
34029,装备效果,魔法增加%d点
34030,装备效果,魔法增加%d%%
34031,装备效果,魔法回复速度增加%d%%
34032,装备效果,重量增加%d点
34033,装备效果,霸体增加%d点
34034,装备效果,霸体增加%d%%
34035,装备效果,霸体回复速度增加%d%%
34036,装备效果,仇恨增加%d点
34501,道具名称,征服王的统御
34502,道具描述,勇士套装。
34503,属性描述,物理穿透增加20点
34504,属性描述,暴击率增加10%
34505,属性描述,激活：战斗欲望（限勇士）
35001,道具名称,希尔娅
35002,道具描述,令人闻风丧胆的刺客，行踪诡秘，杀人于无形。
35003,道具名称,红包
35004,道具描述,在竞技场获胜可能获得红包，每天最多掉落10个；此外收集红包可以在跨年狂欢红包雨活动中兑换礼物。
35005,道具名称,红包2
35006,道具描述,收集红包2可以在活动中兑换礼物。
35007,道具名称,红包3
35008,道具描述,收集红包3可以在活动中兑换礼物。
35009,道具名称,红包4
35010,道具描述,收集红包4可以在活动中兑换礼物。




