关卡ID,无效列,关卡场景,关卡敌方召唤师,关卡敌方士兵1,关卡敌方士兵2,关卡敌方士兵3,关卡敌方士兵4,关卡敌方士兵5,关卡敌方士兵6,关卡敌方士兵7,关卡类型;0常规-奖励1个（包含普通、精英和副本关卡）;1常规-奖励n个（包含普通、精英和副本关卡）;2爬塔试练;3金币试练;4英雄试练,"关卡类型参数,填[]，表示不需要读取该字段信息;0类型为无效列——[];1类型为无效列——[];2类型为无效列——[];3类型为[奖励系数+等级系数]——[n1+n2];4类型为无效列——[]",关卡限时(秒！),关卡胜利条件;1敌方Boss死亡;2关卡限时到期（两条件可共存）,关卡失败条件;1我方召唤师死亡;2关卡限时到期（两条件可共存）,关卡胜利增加星级条件1类型;1召唤师血量;2时间;3消耗水晶,关卡胜利增加星级条件1类型参数,关卡胜利增加星级条件2类型;1召唤师血量;2时间(秒);3消耗水晶,关卡胜利增加星级条件2类型参数,关卡1星掉落,关卡2星掉落,关卡3星掉落,首次通关掉落,场景召唤物
120431,43,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120432,43,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,7200,0,0,0,0,
120440,44,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5100,0,0,0,0,
120441,44,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120442,44,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,7200,0,0,0,0,
120450,45,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5100,0,0,0,0,
120451,45,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120452,45,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,7200,0,0,0,0,
130001,金币试炼熊怪,6,142100,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
130002,金币试炼死神,6,142200,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
130003,金币试炼玩具熊,6,142300,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
130004,金币试炼熊怪,6,142400,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
130005,金币试炼死神,6,142500,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
130006,金币试炼玩具熊,6,142600,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
130007,金币试炼玩具熊,6,142700,0,0,0,0,0,0,0,0,[],60,[1+2],[1],0,0,0,0,0,0,0,0,
140001,英雄试炼,6,143100,210003,210203,210603,210603,211003,0,0,4,[],300,[1],[1+2],1,50,2,180,140001,140002,140003,0,
140002,英雄试炼,6,143100,210003,210203,210603,210603,211003,0,0,4,[],300,[1],[1+2],1,50,2,180,140004,140005,140006,0,
140003,英雄试炼,6,143100,210003,210203,210603,210603,211003,0,0,4,[],300,[1],[1+2],1,50,2,180,140007,140008,140009,0,
140004,英雄试炼,6,143100,210003,210203,210603,210603,211003,0,0,4,[],300,[1],[1+2],1,50,2,180,140010,140011,140012,0,
140005,英雄试炼,6,143100,210003,210203,210603,210603,211003,0,0,4,[],300,[1],[1+2],1,50,2,180,140013,140014,140015,0,
140011,英雄试炼,6,143200,211003,220003,210901,210903,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140001,140002,140003,0,
140012,英雄试炼,6,143200,211003,220003,210901,210903,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140004,140005,140006,0,
140013,英雄试炼,6,143200,211003,220003,210901,210903,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140007,140008,140009,0,
140014,英雄试炼,6,143200,211003,220003,210901,210903,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140010,140011,140012,0,
140015,英雄试炼,6,143200,211003,220003,210901,210903,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140013,140014,140015,0,
140021,英雄试炼,6,143300,210503,240103,240203,210403,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140001,140002,140003,0,
140022,英雄试炼,6,143300,210503,240103,240203,210403,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140004,140005,140006,0,
140023,英雄试炼,6,143300,210503,240103,240203,210403,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140007,140008,140009,0,
140024,英雄试炼,6,143300,210503,240103,240203,210403,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140010,140011,140012,0,
140025,英雄试炼,6,143300,210503,240103,240203,210403,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140013,140014,140015,0,
140031,英雄试炼,6,143400,240003,240703,240303,210503,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140001,140002,140003,0,
140032,英雄试炼,6,143400,240003,240703,240303,210503,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140004,140005,140006,0,
140033,英雄试炼,6,143400,240003,240703,240303,210503,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140007,140008,140009,0,
140034,英雄试炼,6,143400,240003,240703,240303,210503,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140010,140011,140012,0,
140035,英雄试炼,6,143400,240003,240703,240303,210503,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140013,140014,140015,0,
140041,英雄试炼,6,143500,240101,240403,240803,240103,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140001,140002,140003,0,
140042,英雄试炼,6,143500,240101,240403,240803,240103,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140004,140005,140006,0,
140043,英雄试炼,6,143500,240101,240403,240803,240103,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140007,140008,140009,0,
140044,英雄试炼,6,143500,240101,240403,240803,240103,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140010,140011,140012,0,
140045,英雄试炼,6,143500,240101,240403,240803,240103,0,0,0,4,[],300,[1],[1+2],1,50,2,180,140013,140014,140015,0,
140051,守卫试炼,6,143600,210201,210601,211001,210701,230102,0,0,4,[],300,[1],[1+2],1,50,2,180,140001,140002,140003,0,
140052,守卫试炼,6,143600,210201,210601,211001,210701,230102,0,0,4,[],300,[1],[1+2],1,50,2,180,140004,140005,140006,0,
140053,守卫试炼,6,143600,210201,210601,211001,210701,230102,0,0,4,[],300,[1],[1+2],1,50,2,180,140007,140008,140009,0,
140054,守卫试炼,6,143600,210201,210601,211001,210701,230102,0,0,4,[],300,[1],[1+2],1,50,2,180,140010,140011,140012,0,
140055,守卫试炼,6,143600,210201,210601,211001,210701,230102,0,0,4,[],300,[1],[1+2],1,50,2,180,140013,140014,140015,0,
161101,黑城堡01,22,161000,240003,240203,0,0,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
161102,黑城堡02,31,161100,240003,240203,220002,240102,240602,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
161201,疯狂召唤师,6,161200,240202,240102,240602,0,0,0,0,0,[],180,[1],[1+2],1,50,2,180,610,610,610,0,
161202,活动骨龙,6,161300,240202,240101,240001,240802,0,0,0,0,[],180,[1],[1+2],1,0,2,300,611,611,611,0,
161301,掘墓人,6,161400,240303,230502,0,0,0,0,0,0,[],180,[1],[1+2],1,0,2,300,611,611,611,0,
161302,吸血鬼,6,161500,240002,240202,240302,240502,240102,0,0,0,[],180,[1],[1+2],1,0,2,300,611,611,611,0,
161303,巫妖,6,161600,0,0,0,0,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
161401,瘟疫使者,6,161700,240002,240202,240102,220901,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
162100,尤达米尔分身,6,162000,0,0,0,0,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
162101,（远征）炮台,31,162100,240803,0,0,0,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
162102,（远征）四星雪女,31,162200,0,0,0,0,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
162103,（远征）四星森巨人,31,162300,210003,210302,220003,240103,0,0,0,0,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
162201,攻城201,6,162400,210202,210602,210003,211002,210702,210303,0,0,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
162202,攻城202,6,162500,210202,210602,210002,211002,210702,210303,0,0,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
162301,攻城301,6,162600,,,,,,,0,0,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
162401,攻城301,6,162700,,,,,,,0,0,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
165100,乱之地-石像,47,165100,240003,240303,240403,240502,,,,5,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
165101,乱之地-石像,47,165300,240003,240303,240403,240502,,,,5,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
165102,乱之地-骨龙,48,165200,,,,,,,,5,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
165103,乱之地-骷髅王头,48,165400,240503,420803,240903,,,,,5,[],180,[1],[1+2],1,50,2,180,101,101,101,0,
165300,乱之地-死灵镜,49,165500,240303,240503,240003,240903,,,,5,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
165301,乱之地-无限之镜,48,165700,240303,240503,240003,240903,,,,5,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
165302,乱之地-冰法,47,165600,,,,,,,,5,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
165303,乱之地-身体,48,165800,,,,,,,,5,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
165401,乱之地-完整体,48,165900,,,,,,,,5,[],180,[1],[1+2],1,50,2,180,301,301,301,0,
202000,A级-嗜血诅咒者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
202001,A级-嗜血狂怒者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
202002,A级-嗜血转化者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
202003,A级-深渊嗜血传承者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
203001,B级-深山盗墓者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
203002,B级-狡黠盗墓者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
203003,B级-盗墓反制者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
203004,B级-盗墓老大,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
204001,C级-入侵的黑熊,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
204002,C级-入侵的灰狼,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
204003,C级-兽群统领,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
205001,D级-蒙面强盗,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
205002,D级-强盗破坏者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
205003,D级-强盗首领,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250001,暗影冰霜女王,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250002,复仇女神,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250003,瘟疫之源,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250004,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250005,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250006,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250007,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250008,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250009,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250010,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250011,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
250012,公会团队,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1],0,0,0,0,0,0,0,0,
300000,竞技场训练师1,101,170000,210003,210202,210302,210902,221200,221300,230302,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
300001,竞技场训练师2,102,170100,210002,210202,210302,210402,210602,210902,211002,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
300002,竞技场训练师3,103,170200,220002,220502,230002,230102,230302,230401,230502,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
300003,竞技场训练师4,104,170300,240003,240103,240203,240302,240402,240502,240602,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
300004,竞技场训练师5火法,105,170400,210302,210602,210702,210902,211002,240802,240902,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
300005,竞技场训练师6冰法,106,170500,212003,230401,240102,240302,240503,240703,230802,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
300006,竞技场训练师7,107,170600,210003,210903,211003,210303,230903,230702,230802,0,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310001,艾丽卡（简单）,101,180000,210003,210203,210303,210903,212003,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310002,莱奥（简单）,102,180400,210003,210203,210303,210903,212003,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310003,莱奥（简单）,103,180500,210003,230103,210303,210903,212003,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310004,艾丽卡（简单）,104,180100,210003,210203,210303,210903,212003,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310005,莱奥（简单）,105,180300,210003,210203,210303,210903,240103,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310006,艾丽卡（简单）,106,180200,210003,230103,210303,210903,212003,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310007,冰法（正常）,107,180600,220003,230103,230303,230503,230003,210003,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310008,艾丽卡（正常）,101,180100,210003,210203,210303,210903,212003,210403,210503,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310009,火法（正常）,102,180900,230601,210903,212003,210703,210303,210003,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310010,艾丽卡（正常）,103,180100,210303,230503,220503,210003,230103,,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310011,冰法（正常）,104,180700,230003,220003,230103,230803,230703,230303,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310012,冰法（正常）,105,180800,210003,210203,210303,210903,212003,210703,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310013,罗迪亚克（困难）,106,181200,210003,210203,210303,210903,212003,210403,211003,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310014,约修亚（困难）,107,181500,220503,230103,220003,230303,230503,230903,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310015,火法（困难）,103,181000,240503,240803,240303,240403,240903,,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310016,艾丽卡（困难）,101,180000,240103,241003,240603,240303,,,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310017,冰法（困难）,105,180600,210503,210403,210903,210003,212003,,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310018,艾丽卡（正常）,103,180100,210503,210403,210903,210003,212003,210303,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310019,约修亚（正常）,106,181600,210003,230103,210303,210903,212003,230303,230601,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310020,艾丽卡（困难）,105,180000,220503,230103,231003,230303,230503,230903,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310021,冰法（困难）,106,180700,230803,230703,230903,230303,210903,230103,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310022,约修亚（困难）,107,181700,240003,240203,240303,240403,,,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310023,艾丽卡（简单）,102,180000,230601,210903,212003,230103,210303,210003,230303,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
310024,冰法（简单）,104,180800,240903,240303,240003,,,,,2,[],300,[1],[1+2],1,50,0,0,0,0,0,0,
