装备ID,装备备注,套装ID,装配等级,装配部位,装等,装配职业限制,装备分解材料1,材料1数量,装备分解材料2,材料2数量,装备分解材料3,材料3数量,装备分解材料4,材料4数量,分解所需金币,附带额外Buff,激活几星天赋
22090,神行之衣(绿),0,65,3,,[2],120013,30,120006,18,,,,,2500,[],
22091,神行之衣(蓝),0,65,3,,[2],120013,30,120006,18,,,,,2500,[],
22092,神行之衣(紫),0,65,3,,[2],120013,30,120006,18,,,,,2500,[],
22093,魔导之衣(白),0,65,3,,[4],120013,30,120006,18,,,,,2500,[],
22094,魔导之衣(绿),0,65,3,,[4],120013,30,120006,18,,,,,2500,[],
22095,魔导之衣(蓝),0,65,3,,[4],120013,30,120006,18,,,,,2500,[],
22096,魔导之衣(紫),0,65,3,,[4],120013,30,120006,18,,,,,2500,[],
22097,星语之衣(白),0,65,3,,[5],120013,30,120006,18,,,,,2500,[],
22098,星语之衣(绿),0,65,3,,[5],120013,30,120006,18,,,,,2500,[],
22099,星语之衣(蓝),0,65,3,,[5],120013,30,120006,18,,,,,2500,[],
22100,星语之衣(紫),0,65,3,,[5],120013,30,120006,18,,,,,2500,[],
22101,皮革战衣(白）,0,20,3,,[6],120013,3,120005,3,,,,,250,[],
22102,皮革战衣(绿）,0,20,3,,[6],120013,3,120005,3,,,,,250,[],
22103,皮革战衣(蓝),0,20,3,,[6],120013,3,120005,3,,,,,250,[],
22104,皮革战衣(紫),0,20,3,,[6],120013,3,120005,3,,,,,250,[],
22105,厚重铠甲(白）,0,35,3,,[6],120013,9,120005,6,,,,,625,[],
22106,厚重铠甲(绿）,0,35,3,,[6],120013,9,120005,6,,,,,625,[],
22107,厚重铠甲(蓝),0,35,3,,[6],120013,9,120005,6,,,,,625,[],
22108,厚重铠甲(紫),0,35,3,,[6],120013,9,120005,6,,,,,625,[],
22109,圣堂铠甲(白）,0,50,3,,[6],120013,18,120006,12,,,,,1250,[],
22110,圣堂铠甲(绿）,0,50,3,,[6],120013,18,120006,12,,,,,1250,[],
22111,圣堂铠甲(蓝),0,50,3,,[6],120013,18,120006,12,,,,,1250,[],
22112,圣堂铠甲(紫),0,50,3,,[6],120013,18,120006,12,,,,,1250,[],
22113,65守卫盔甲(白）,0,65,3,,[6],120013,30,120006,18,,,,,2500,[],
22114,65守卫盔甲(绿）,0,65,3,,[6],120013,30,120006,18,,,,,2500,[],
22115,65守卫盔甲(蓝),0,65,3,,[6],120013,30,120006,18,,,,,2500,[],
22116,65守卫盔甲(紫),0,65,3,,[6],120013,30,120006,18,,,,,2500,[],
22501,角斗之铠(金),0,1,3,,[1],120013,18,120005,18,,,,,1000,[],
22509,战铠(金),0,20,3,,[2],120013,3,120005,3,,,,,250,[],
22513,精灵袍(金),0,20,3,,[5],120013,3,120005,3,,,,,250,[],
22517,武士铠(金),0,20,3,,[1],120013,3,120005,3,,,,,250,[],
22521,飞羽铠(金),0,20,3,,[3],120013,3,120005,3,,,,,250,[],
22525,魔法袍(金),0,20,3,,[4],120013,3,120005,3,,,,,250,[],
22529,骑士铠(金),0,35,3,,[1],120013,9,120005,6,,,,,625,[],
22537,鹰之衣(金),0,35,3,,[3],120013,9,120005,6,,,,,625,[],
22541,风之铠(金),0,35,3,,[2],120013,9,120005,6,,,,,625,[],
22545,术士之衣(金),0,35,3,,[4],120013,9,120005,6,,,,,625,[],
22549,祭司之袍(金),0,35,3,,[5],120013,9,120005,6,,,,,625,[],
22553,荣耀之铠(金),0,50,3,,[1],120013,18,120006,12,,,,,1250,[],
22561,王牌之衣(金),0,50,3,,[3],120013,18,120006,12,,,,,1250,[],
22565,暗影之衣(金),0,50,3,,[2],120013,18,120006,12,,,,,1250,[],
22569,水晶之衣(金),0,50,3,,[4],120013,18,120006,12,,,,,1250,[],
22573,祝福之衣(金),0,50,3,,[5],120013,18,120006,12,,,,,1250,[],
22577,狂傲之铠(金),0,65,3,,[1],120013,30,120006,18,,,,,2500,[],
22585,狩魂之衣(金),0,65,3,,[3],120013,30,120006,18,,,,,2500,[],
22589,神行之衣(金),0,65,3,,[2],120013,30,120006,18,,,,,2500,[],
22593,魔导之衣(金),0,65,3,,[4],120013,30,120006,18,,,,,2500,[],
22597,星语之衣(金),0,65,3,,[5],120013,30,120006,18,,,,,2500,[],
22601,皮革战衣(金),0,20,3,,[6],120013,3,120005,3,,,,,250,[],
22605,厚重铠甲(金),0,35,3,,[6],120013,9,120005,6,,,,,625,[],
22609,圣堂铠甲(金),0,50,3,,[6],120013,18,120006,12,,,,,1250,[],
22613,65守卫盔甲(金),0,65,3,,[6],120013,30,120006,18,,,,,2500,[],
22901,1级勇士套装衣（橙）,1,1,3,,[1],120013,15,120005,15,,,,,100,[10005+1],
23001,皮靴(白),0,1,4,,[1+2+3+4+5+6],120013,1,,,,,,,100,[],
23002,皮靴(绿),0,1,4,,[1+2+3+4+5+6],120013,1,,,,,,,100,[],
23009,战靴(白),0,20,4,,[2],120013,3,120005,3,,,,,250,[],
23010,战靴(绿),0,20,4,,[2],120013,3,120005,3,,,,,250,[],
23011,战靴(蓝),0,20,4,,[2],120013,3,120005,3,,,,,250,[],
23012,战靴(紫),0,20,4,,[2],120013,3,120005,3,,,,,250,[],
23013,精灵靴(白),0,20,4,,[5],120013,3,120005,3,,,,,250,[],
23014,精灵靴(绿),0,20,4,,[5],120013,3,120005,3,,,,,250,[],
23015,精灵靴(蓝),0,20,4,,[5],120013,3,120005,3,,,,,250,[],
23016,精灵靴(紫),0,20,4,,[5],120013,3,120005,3,,,,,250,[],
23017,武士靴(白),0,20,4,,[1],120013,3,120005,3,,,,,250,[],
23018,武士靴(绿),0,20,4,,[1],120013,3,120005,3,,,,,250,[],
23019,武士靴(蓝),0,20,4,,[1],120013,3,120005,3,,,,,250,[],
23020,武士靴(紫),0,20,4,,[1],120013,3,120005,3,,,,,250,[],
23021,飞羽靴(白),0,20,4,,[3],120013,3,120005,3,,,,,250,[],
23022,飞羽靴(绿),0,20,4,,[3],120013,3,120005,3,,,,,250,[],
23023,飞羽靴(蓝),0,20,4,,[3],120013,3,120005,3,,,,,250,[],
23024,飞羽靴(紫),0,20,4,,[3],120013,3,120005,3,,,,,250,[],
23025,魔法靴(白),0,20,4,,[4],120013,3,120005,3,,,,,250,[],
23026,魔法靴(绿),0,20,4,,[4],120013,3,120005,3,,,,,250,[],
23027,魔法靴(蓝),0,20,4,,[4],120013,3,120005,3,,,,,250,[],
23028,魔法靴(紫),0,20,4,,[4],120013,3,120005,3,,,,,250,[],
23029,骑士靴(白),0,35,4,,[1],120013,9,120005,6,,,,,625,[],
23030,骑士靴(绿),0,35,4,,[1],120013,9,120005,6,,,,,625,[],
23031,骑士靴(蓝),0,35,4,,[1],120013,9,120005,6,,,,,625,[],
23032,骑士靴(紫),0,35,4,,[1],120013,9,120005,6,,,,,625,[],
23037,鹰之靴(白),0,35,4,,[3],120013,9,120005,6,,,,,625,[],
23038,鹰之靴(绿),0,35,4,,[3],120013,9,120005,6,,,,,625,[],
23039,鹰之靴(蓝),0,35,4,,[3],120013,9,120005,6,,,,,625,[],
23040,鹰之靴(紫),0,35,4,,[3],120013,9,120005,6,,,,,625,[],
23041,风之靴(白),0,35,4,,[2],120013,9,120005,6,,,,,625,[],
23042,风之靴(绿),0,35,4,,[2],120013,9,120005,6,,,,,625,[],
23043,风之靴(蓝),0,35,4,,[2],120013,9,120005,6,,,,,625,[],
23044,风之靴(紫),0,35,4,,[2],120013,9,120005,6,,,,,625,[],
23045,术士之靴(白),0,35,4,,[4],120013,9,120005,6,,,,,625,[],
23046,术士之靴(绿),0,35,4,,[4],120013,9,120005,6,,,,,625,[],
23047,术士之靴(蓝),0,35,4,,[4],120013,9,120005,6,,,,,625,[],
23048,术士之靴(紫),0,35,4,,[4],120013,9,120005,6,,,,,625,[],
23049,祭司之靴(白),0,35,4,,[5],120013,9,120005,6,,,,,625,[],
23050,祭司之靴(绿),0,35,4,,[5],120013,9,120005,6,,,,,625,[],
23051,祭司之靴(蓝),0,35,4,,[5],120013,9,120005,6,,,,,625,[],
23052,祭司之靴(紫),0,35,4,,[5],120013,9,120005,6,,,,,625,[],
23053,荣耀之靴(白),0,50,4,,[1],120013,18,120006,12,,,,,1250,[],
23054,荣耀之靴(绿),0,50,4,,[1],120013,18,120006,12,,,,,1250,[],
23055,荣耀之靴(蓝),0,50,4,,[1],120013,18,120006,12,,,,,1250,[],
23056,荣耀之靴(紫),0,50,4,,[1],120013,18,120006,12,,,,,1250,[],
23061,王牌之靴(白),0,50,4,,[3],120013,18,120006,12,,,,,1250,[],
23062,王牌之靴(绿),0,50,4,,[3],120013,18,120006,12,,,,,1250,[],
23063,王牌之靴(蓝),0,50,4,,[3],120013,18,120006,12,,,,,1250,[],
23064,王牌之靴(紫),0,50,4,,[3],120013,18,120006,12,,,,,1250,[],
23065,暗影之靴(白),0,50,4,,[2],120013,18,120006,12,,,,,1250,[],
23066,暗影之靴(绿),0,50,4,,[2],120013,18,120006,12,,,,,1250,[],
23067,暗影之靴(蓝),0,50,4,,[2],120013,18,120006,12,,,,,1250,[],
23068,暗影之靴(紫),0,50,4,,[2],120013,18,120006,12,,,,,1250,[],
23069,水晶之靴(白),0,50,4,,[4],120013,18,120006,12,,,,,1250,[],
23070,水晶之靴(绿),0,50,4,,[4],120013,18,120006,12,,,,,1250,[],
23071,水晶之靴(蓝),0,50,4,,[4],120013,18,120006,12,,,,,1250,[],
23072,水晶之靴(紫),0,50,4,,[4],120013,18,120006,12,,,,,1250,[],
23073,祝福之靴(白),0,50,4,,[5],120013,18,120006,12,,,,,1250,[],
23074,祝福之靴(绿),0,50,4,,[5],120013,18,120006,12,,,,,1250,[],
23075,祝福之靴(蓝),0,50,4,,[5],120013,18,120006,12,,,,,1250,[],
23076,祝福之靴(紫),0,50,4,,[5],120013,18,120006,12,,,,,1250,[],
23077,狂傲之靴(白),0,65,4,,[1],120013,30,120006,18,,,,,2500,[],
23078,狂傲之靴(绿),0,65,4,,[1],120013,30,120006,18,,,,,2500,[],
23079,狂傲之靴(蓝),0,65,4,,[1],120013,30,120006,18,,,,,2500,[],
23080,狂傲之靴(紫),0,65,4,,[1],120013,30,120006,18,,,,,2500,[],
23085,狩魂之靴(白),0,65,4,,[3],120013,30,120006,18,,,,,2500,[],
23086,狩魂之靴(绿),0,65,4,,[3],120013,30,120006,18,,,,,2500,[],
23087,狩魂之靴(蓝),0,65,4,,[3],120013,30,120006,18,,,,,2500,[],
23088,狩魂之靴(紫),0,65,4,,[3],120013,30,120006,18,,,,,2500,[],
23089,神行之靴(白),0,65,4,,[2],120013,30,120006,18,,,,,2500,[],
23090,神行之靴(绿),0,65,4,,[2],120013,30,120006,18,,,,,2500,[],
23091,神行之靴(蓝),0,65,4,,[2],120013,30,120006,18,,,,,2500,[],
23092,神行之靴(紫),0,65,4,,[2],120013,30,120006,18,,,,,2500,[],
23093,魔导之靴(白),0,65,4,,[4],120013,30,120006,18,,,,,2500,[],
23094,魔导之靴(绿),0,65,4,,[4],120013,30,120006,18,,,,,2500,[],
23095,魔导之靴(蓝),0,65,4,,[4],120013,30,120006,18,,,,,2500,[],
23096,魔导之靴(紫),0,65,4,,[4],120013,30,120006,18,,,,,2500,[],
23097,星语之靴(白),0,65,4,,[5],120013,30,120006,18,,,,,2500,[],
23098,星语之靴(绿),0,65,4,,[5],120013,30,120006,18,,,,,2500,[],
23099,星语之靴(蓝),0,65,4,,[5],120013,30,120006,18,,,,,2500,[],
23100,星语之靴(紫),0,65,4,,[5],120013,30,120006,18,,,,,2500,[],
23101,皮革护靴(白）,0,20,4,,[6],120013,3,120005,3,,,,,250,[],
23102,皮革护靴(绿）,0,20,4,,[6],120013,3,120005,3,,,,,250,[],
23103,皮革护靴(蓝),0,20,4,,[6],120013,3,120005,3,,,,,250,[],
23104,皮革护靴(紫),0,20,4,,[6],120013,3,120005,3,,,,,250,[],
23105,行军护靴(白）,0,35,4,,[6],120013,9,120005,6,,,,,625,[],
23106,行军护靴(绿）,0,35,4,,[6],120013,9,120005,6,,,,,625,[],
23107,行军护靴(蓝),0,35,4,,[6],120013,9,120005,6,,,,,625,[],
23108,行军护靴(紫),0,35,4,,[6],120013,9,120005,6,,,,,625,[],
23109,圣堂护靴(白）,0,50,4,,[6],120013,18,120006,12,,,,,1250,[],
23110,圣堂护靴(绿）,0,50,4,,[6],120013,18,120006,12,,,,,1250,[],
23111,圣堂护靴(蓝),0,50,4,,[6],120013,18,120006,12,,,,,1250,[],
23112,圣堂护靴(紫),0,50,4,,[6],120013,18,120006,12,,,,,1250,[],
23113,65守卫鞋子(白）,0,65,4,,[6],120013,30,120006,18,,,,,2500,[],
23114,65守卫鞋子(绿）,0,65,4,,[6],120013,30,120006,18,,,,,2500,[],
23115,65守卫鞋子(蓝),0,65,4,,[6],120013,30,120006,18,,,,,2500,[],
23116,65守卫鞋子(紫),0,65,4,,[6],120013,30,120006,18,,,,,2500,[],
23501,角斗之靴(金),0,1,4,,[1],120013,18,120005,18,,,,,1000,[],
23509,战靴(金),0,20,4,,[2],120013,3,120005,3,,,,,250,[],
23513,精灵靴(金),0,20,4,,[5],120013,3,120005,3,,,,,250,[],
23517,武士靴(金),0,20,4,,[1],120013,3,120005,3,,,,,250,[],
23521,飞羽靴(金),0,20,4,,[3],120013,3,120005,3,,,,,250,[],
23525,魔法靴(金),0,20,4,,[4],120013,3,120005,3,,,,,250,[],
23529,骑士靴(金),0,35,4,,[1],120013,9,120005,6,,,,,625,[],
23537,鹰之靴(金),0,35,4,,[3],120013,9,120005,6,,,,,625,[],
23541,风之靴(金),0,35,4,,[2],120013,9,120005,6,,,,,625,[],
23545,术士之靴(金),0,35,4,,[4],120013,9,120005,6,,,,,625,[],
23549,祭司之靴(金),0,35,4,,[5],120013,9,120005,6,,,,,625,[],
23553,荣耀之靴(金),0,50,4,,[1],120013,18,120006,12,,,,,1250,[],
23561,王牌之靴(金),0,50,4,,[3],120013,18,120006,12,,,,,1250,[],
23565,暗影之靴(金),0,50,4,,[2],120013,18,120006,12,,,,,1250,[],
23569,水晶之靴(金),0,50,4,,[4],120013,18,120006,12,,,,,1250,[],
23573,祝福之靴(金),0,50,4,,[5],120013,18,120006,12,,,,,1250,[],
23577,狂傲之靴(金),0,65,4,,[1],120013,30,120006,18,,,,,2500,[],
23585,狩魂之靴(金),0,65,4,,[3],120013,30,120006,18,,,,,2500,[],
23589,神行之靴(金),0,65,4,,[2],120013,30,120006,18,,,,,2500,[],
23593,魔导之靴(金),0,65,4,,[4],120013,30,120006,18,,,,,2500,[],
23597,星语之靴(金),0,65,4,,[5],120013,30,120006,18,,,,,2500,[],
23601,皮革护靴(金),0,20,4,,[6],120013,3,120005,3,,,,,250,[],
23605,行军护靴(金),0,35,4,,[6],120013,9,120005,6,,,,,625,[],
23609,圣堂护靴(金),0,50,4,,[6],120013,18,120006,12,,,,,1250,[],
23613,65守卫鞋子(金),0,65,4,,[6],120013,30,120006,18,,,,,2500,[],
23901,1级勇士套装鞋（橙）,1,1,4,,[1],120013,15,120005,15,,,,,100,[10005+1],
24017,黄晶石之戒(白),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24018,黄晶石之戒(绿),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24019,黄晶石之戒(蓝),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24020,黄晶石之戒(紫),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24021,黄晶石指环(白),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24022,黄晶石指环(绿),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24023,黄晶石指环(蓝),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24024,黄晶石指环(紫),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24029,月光石之戒(白),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24030,月光石之戒(绿),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24031,月光石之戒(蓝),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24032,月光石之戒(紫),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24033,珍珠指环(白),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24034,珍珠指环(绿),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24035,珍珠指环(蓝),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24036,珍珠指环(紫),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24053,紫荆之戒(白),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24054,紫荆之戒(绿),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24055,紫荆之戒(蓝),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24056,紫荆之戒(紫),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24057,紫罗兰指环(白),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24058,紫罗兰指环(绿),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24059,紫罗兰指环(蓝),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24060,紫罗兰指环(紫),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24077,龙晶石之戒(白),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24078,龙晶石之戒(绿),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24079,龙晶石之戒(蓝),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24080,龙晶石之戒(紫),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24081,龙血指环(白),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24082,龙血指环(绿),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24083,龙血指环(蓝),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24084,龙血指环(紫),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24501,冠军之戒(金),0,1,5,,[1+2+3+4+5+6],120013,24,120009,24,,,,,1000,[],
24502,斗士之戒(紫),0,1,5,,[1+2+3+4+5+6],120013,18,120009,18,,,,,1000,[],
24503,挑战者指环(蓝),0,1,5,,[1+2+3+4+5+6],120013,12,120009,12,,,,,1000,[],
24517,黄晶石之戒(金),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24521,黄晶石指环(金),0,20,5,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
24529,月光石之戒(金),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24533,珍珠指环(金),0,35,5,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
24553,紫荆之戒(金),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24557,紫罗兰指环(金),0,50,5,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
24577,龙晶石之戒(金),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
24581,龙血指环(金),0,65,5,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25017,祖母绿吊坠(白),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25018,祖母绿吊坠(绿),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25019,祖母绿吊坠(蓝),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25020,祖母绿吊坠(紫),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25021,祖母绿项链(白),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25022,祖母绿项链(绿),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25023,祖母绿项链(蓝),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25024,祖母绿项链(紫),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25029,翡翠吊坠(白),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25030,翡翠吊坠(绿),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25031,翡翠吊坠(蓝),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25032,翡翠吊坠(紫),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25033,翡翠项链(白),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25034,翡翠项链(绿),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25035,翡翠项链(蓝),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25036,翡翠项链(紫),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25053,冰蓝吊坠(白),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25054,冰蓝吊坠(绿),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25055,冰蓝吊坠(蓝),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25056,冰蓝吊坠(紫),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25057,海洋之心(白),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25058,海洋之心(绿),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25059,海洋之心(蓝),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25060,海洋之心(紫),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25077,龙牙吊坠(白),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25078,龙牙吊坠(绿),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25079,龙牙吊坠(蓝),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25080,龙牙吊坠(紫),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25081,龙晶石项链(白),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25082,龙晶石项链(绿),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25083,龙晶石项链(蓝),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25084,龙晶石项链(紫),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25517,祖母绿吊坠(金),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25521,祖母绿项链(金),0,20,6,,[1+2+3+4+5+6],120013,3,120009,3,,,,,250,[],
25529,翡翠吊坠(金),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25533,翡翠项链(金),0,35,6,,[1+2+3+4+5+6],120013,9,120009,6,,,,,625,[],
25553,冰蓝吊坠(金),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25557,海洋之心(金),0,50,6,,[1+2+3+4+5+6],120013,18,120010,12,,,,,1250,[],
25577,龙牙吊坠(金),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
25581,龙晶石项链(金),0,65,6,,[1+2+3+4+5+6],120013,30,120010,18,,,,,2500,[],
