掉落规则ID,单次掉落种类数量,可否暴击,可否重复,额外掉落,玩家经验,金币,钻石,竞技币,能量碎片,公会贡献,抽卡券,掉落1ID,掉落1概率,掉落1数量,掉落2ID,掉落2概率,掉落2数量,掉落3ID,掉落3概率,掉落3数量,掉落4ID,掉落4概率,掉落4数量,掉落5ID,掉落5概率,掉落5数量,掉落6ID,掉落6概率,掉落6数量,掉落7ID,掉落7概率,掉落7数量,掉落8ID,掉落8概率,掉落8数量,掉落9ID,掉落9概率,掉落9数量,掉落10ID,掉落10概率,掉落10数量,掉落11ID,掉落11概率,掉落11数量,掉落12ID,掉落12概率,掉落12数量,掉落13ID,掉落13概率,掉落13数量,掉落14ID,掉落14概率,掉落14数量,掉落15ID,掉落15概率,掉落15数量,掉落16ID,掉落16概率,掉落16数量,掉落17ID,掉落17概率,掉落17数量,掉落18ID,掉落18概率,掉落18数量,掉落19ID,掉落19概率,掉落19数量,掉落20ID,掉落20概率,掉落20数量,掉落21ID,掉落21概率,掉落21数量,掉落22ID,掉落22概率,掉落22数量,掉落23ID,掉落23概率,掉落23数量,掉落24ID,掉落24概率,掉落24数量,掉落25ID,掉落25概率,掉落25数量,掉落26ID,掉落26概率,掉落26数量,掉落27ID,掉落27概率,掉落27数量,掉落28ID,掉落28概率,掉落28数量,掉落29ID,掉落29概率,掉落29数量,掉落30ID,掉落30概率,掉落30数量
602,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120108,3333,[10+10],120110,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,[3+3],0,0,,[7+40+40],[1+3360+3360],,,,,,100005,3333,[1+1],201042,3333,[1+1],50030,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120001,3333,[10+10],120005,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120127,3333,[10+10],120129,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,[3+3],0,0,,[7+40+40],[1+3360+3360],,,,,,100005,3333,[1+1],201046,3333,[1+1],50030,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120013,3333,[10+10],120005,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120146,3333,[10+10],120147,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,[3+3],0,0,,[7+40+40],[1+3360+3360],,,,,,100005,3333,[1+1],201030,3333,[1+1],50032,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120013,3333,[10+10],120001,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120166,3333,[10+10],120170,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,[3+3],0,0,,[7+40+40],[1+3360+3360],,,,,,100005,3333,[1+1],201050,3333,[1+1],50032,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120002,3333,[10+10],120006,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120112,3333,[10+10],120114,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,[3+3],0,0,,[7+40+40],[1+3360+3360],,,,,,100005,3333,[1+1],201038,3333,[1+1],50023,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100005,3333,[1+1],120013,3333,[10+10],120006,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100004,3333,[1+1],120111,3333,[10+10],120115,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,[3+3],0,0,,[7+40+40],[1+5600+5600],,,,,,100005,3333,[2+2],221066,3333,[1+1],50023,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100005,3333,[1+1],120013,3333,[10+10],120002,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100004,3333,[1+1],120173,3333,[10+10],120175,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,[3+3],0,0,,[7+40+40],[1+5600+5600],,,,,,100005,3333,[2+2],221070,3333,[1+1],50016,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100005,3333,[1+1],120002,3333,[10+10],120006,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100004,3333,[1+1],120171,3333,[10+10],120172,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,[3+3],0,0,,[7+40+40],[1+5600+5600],,,,,,100005,3333,[2+2],221054,3333,[1+1],50016,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100005,3333,[1+1],120013,3333,[10+10],120002,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100004,3333,[1+1],120131,3333,[10+10],120135,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,[3+3],0,0,,[7+40+40],[1+5600+5600],,,,,,100005,3333,[2+2],221074,3333,[1+1],50025,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100005,3333,[1+1],120013,3333,[10+10],120006,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,[3+3],0,0,,[7+40+40],[1+2800+2800],,,,,,100004,3333,[1+1],120132,3333,[10+10],120134,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,[3+3],0,0,,[7+40+40],[1+5600+5600],,,,,,100005,3333,[2+2],221062,3333,[1+1],50025,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50001,3000,[1+1],100003,5000,[1+1],201005,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50002,3000,[1+1],101,5000,[1+1],100002,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50008,3000,[1+1],101,5000,[1+1],201002,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50015,3000,[1+1],100003,6000,[1+1],100002,1000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50003,3000,[1+1],221002,2000,[1+1],120105,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50008,3000,[1+1],100002,3500,[1+2],120101,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50010,3000,[1+1],100003,6000,[1+2],100002,1000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50022,3000,[1+1],101,3500,[1+1],100002,3500,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50024,3000,[1+1],100002,3500,[1+2],120104,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50020,3000,[1+1],120104,3500,[1+1],120102,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50015,3000,[1+1],101,3500,[1+1],100002,3500,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50030,3000,[1+1],100003,6000,[1+2],100002,1000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50025,3000,[1+1],101,3500,[1+1],120103,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50013,3000,[1+1],120102,3500,[1+1],120101,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50034,3000,[1+1],100002,3500,[1+2],120103,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50031,3000,[1+1],101,3500,[1+1],120105,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10402,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50021,3000,[1+1],100003,6000,[1+2],100002,1000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10403,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50014,3000,[1+1],100002,3500,[1+2],120104,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50034,3000,[1+1],100003,6000,[1+2],100002,1000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50023,3000,[1+1],120105,3500,[1+1],120102,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50031,3000,[1+1],101,3500,[1+1],120107,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50011,3000,[1+1],100002,3500,[1+3],120110,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50022,3000,[1+1],120109,3500,[1+1],120110,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10504,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50001,3000,[1+1],100002,3500,[1+3],120106,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50016,3000,[1+1],120108,3500,[1+1],120109,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10601,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50029,3000,[1+1],100002,3500,[1+3],120106,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10602,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50012,3000,[1+1],120110,3500,[1+1],120109,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10603,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50023,3000,[1+1],100002,3500,[1+3],120107,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10604,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50029,3000,[1+1],101,3500,[1+1],120108,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10605,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50035,3000,[1+1],100002,3500,[1+3],120107,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50025,3000,[1+1],101,5500,[1+1],102,1500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50002,3000,[1+1],101,3500,[1+1],120106,3500,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10703,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50006,3000,[1+1],101,4000,[1+1],100001,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10704,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50019,3000,[1+1],100002,2000,[1+3],120107,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10705,[1+3],0,1,,[7+10+10],[1+100+100],,,,,,50036,3000,[1+1],100001,2000,[1+1],120108,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,[1+1],0,1,,,,,,,,,120015,2000,[1+1],120016,2000,[1+1],120017,2000,[1+1],120018,2000,[1+1],120019,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30002,[1+1],0,1,,,,,,,,,150001,2000,[1+1],150002,2000,[1+1],150003,2000,[1+1],150008,2000,[1+1],150015,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30003,[1+1],0,1,,,,,,,,,120001,3333,[10+10],120005,3333,[10+10],120013,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50012,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50014,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50021,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50022,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50023,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50024,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50101,[2+2],0,0,,[7+15+15],[1+400+600],,,,,,100003,5000,[3+4],50002,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50102,[3+3],0,0,,[7+25+25],[1+800+1200],,,,,,100003,3333,[3+4],100002,3333,[2+4],50009,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50103,[3+3],0,0,,[7+40+40],[1+1700+2300],,,,,,100002,3333,[4+6],100001,3333,[2+3],50016,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50104,[4+4],0,0,,[7+50+50],[1+8000+10000],,,,,,100001,5000,[8+10],100005,4650,[3+5],50037,50,[1+2],50026,50,[1+2],50034,50,[1+2],50007,50,[1+2],50041,50,[1+2],50005,50,[1+2],50039,50,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50105,[2+2],0,0,,[7+15+15],[1+400+600],,,,,,100003,1250,[3+4],50029,1250,[1+1],50031,1250,[1+1],50001,1250,[1+1],50002,1250,[1+1],50023,1250,[1+1],50022,1250,[1+1],50025,1250,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51001,[2+2],0,1,,[7+15+15],[1+400+600],,,,,,100003,4500,[3+4],100002,1500,[1+3],100001,500,[1+1],253,1000,[1+1],50029,358,[1+1],50031,357,[1+1],50001,357,[1+1],50002,357,[1+1],50023,357,[1+1],50022,357,[1+1],50025,357,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51002,[3+3],0,1,,[7+25+25],[1+800+1200],,,,,,100003,3300,[4+6],100002,1300,[2+4],100001,500,[1+3],100005,200,[1+1],100004,50,[1+1],253,1350,[1+1],50029,240,[1+1],50031,235,[1+1],50001,235,[1+1],50002,235,[1+1],50023,235,[1+1],50022,235,[1+1],50025,235,[1+1],50033,550,[1+1],50009,550,[1+1],50016,550,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51003,[3+3],0,1,,[7+40+40],[1+1700+2300],,,,,,100002,4350,[4+6],100001,750,[2+3],100005,300,[1+1],100004,150,[1+1],100006,50,[1+1],253,1100,[3+3],50029,240,[1+2],50031,235,[1+2],50001,235,[1+2],50002,235,[1+2],50023,235,[1+2],50022,235,[1+2],50025,235,[1+2],50033,550,[1+2],50009,550,[1+2],50016,550,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51101,[2+2],0,1,,[7+15+15],[1+400+600],,,,,,100003,2250,[3+4],100002,3250,[1+3],100001,1000,[1+1],253,1000,[1+1],50029,358,[1+1],50031,357,[1+1],50001,357,[1+1],50002,357,[1+1],50023,357,[1+1],50022,357,[1+1],50025,357,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51102,[3+3],0,1,,[7+25+25],[1+800+1200],,,,,,100003,1650,[4+6],100002,2600,[2+4],100001,750,[1+3],100005,300,[1+1],100004,50,[1+1],253,1350,[1+1],50029,240,[1+1],50031,235,[1+1],50001,235,[1+1],50002,235,[1+1],50023,235,[1+1],50022,235,[1+1],50025,235,[1+1],50033,550,[1+1],50009,550,[1+1],50016,550,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
