活动ID,活动任务,名称,活动任务图标,任务描述语言包,完成条件,条件参数1,条件参数2,奖励1钻石,奖励2金币,奖励3道具,奖励4体力,宣传图,立即前往,每日成长标示,备注,,,
1034,2,基金——等级到14级,icon_task_01.png,2091,46,14,,1000,20000,,,,,,钻石1000、金币20000,,,
1034,3,基金——等级到21级,icon_task_01.png,2091,46,21,,1000,20000,,,,,,钻石1000、金币20000,,,
1034,4,基金——等级到28级,icon_task_01.png,2091,46,28,,1500,30000,,,,,,钻石1500、金币30000,,,
1034,5,基金——等级到35级,icon_task_01.png,2091,46,35,,1500,30000,,,,,,钻石1500、金币30000,,,
1034,6,基金——等级到42级,icon_task_01.png,2091,46,42,,2000,40000,,,,,,钻石2000、金币40000,,,
1034,7,基金——等级到49级,icon_task_01.png,2091,46,49,,2000,40000,,,,,,钻石2000、金币40000,,,
,,,,,,,,,,,,,,,,,,
1066,1,累计刷新商店20次,icon_task_01.png,2097,203,20,1,200,20000,[100001+5],,,,,凤梨5、金币20000,,,
1066,2,竞技场获得20次胜利,icon_task_01.png,2098,23,20,1,,20000,[100001+5],,,,,凤梨5、金币20000,,,
1066,3,装备打造20次 ,icon_task_01.png,2099,204,20,0,,20000,[251+5]*[100001+5],,,,,香蕉5、金币10000,,,
1066,4,累计抽卡30次,icon_task_01.png,2100,6,30,0,,20000,[50015+20]*[100001+5],,,,,盾卫碎片20、凤梨5、金币20000,,,
1066,5,拥有4个3星级英雄,icon_task_01.png,2101,32,4,3,200,20000,[100001+5],,,,,凤梨5、金币20000,,,
1066,6,累计消费达到10000钻石,icon_task_01.png,2102,47,10000,,,20000,[50036+20]*[100001+5],,,,,死亡骑士碎片20、凤梨5、金币20000,,,
1066,7,活动期间累计充值1000钻,icon_task_01.png,2103,102,1000,0,200,20000,[100001+5],,,,,凤梨5、钻石200、金币50000,,,
,,,,,,,,,,,,,,,,,,
1071,1,充值0,icon_task_01.png,2119,102,0,0,100,20000,[50032+10],,operate_charge.png,,,幽灵碎片10、钻石100、金币20000,,,
1071,2,充值500钻石,icon_task_01.png,2106,102,500,0,,30000,[50026+5]*[100001+2],,,,,夜刃碎片5、凤梨2、金币30000,,,
1071,3,充值1500钻石,icon_task_01.png,2106,102,1500,0,,50000,[50026+8]*[100001+3],,,,,夜刃碎片8凤梨3金币50000,,,
1071,4,充值3500钻石,icon_task_01.png,2106,102,3500,0,,80000,[50026+10]*[100001+5],,,,,夜刃碎片10、凤梨5、金币80000,,,
1071,5,充值7500钻石,icon_task_01.png,2106,102,7500,0,,100000,[50026+12]*[100001+8],,,,,夜刃碎片12、凤梨8、金币100000,,,
1071,6,充值15000钻石,icon_task_01.png,2106,102,15000,0,,150000,[50026+15]*[100001+10],,,,,夜刃碎片15、凤梨10、金币150000,,,
1071,7,充值30000钻石,icon_task_01.png,2106,102,30000,0,,200000,[50026+20]*[100001+12],,,,,夜刃碎片20、凤梨12、金币200000,,,
,,,,,,,,,,,,,,,,,,
1072,1,抽卡5次,icon_task_01.png,2078,6,5,0,100,10000,[100003+5],,operate_draw.png,,,樱桃5、钻石100、金币10000,,,
1072,2,抽卡10次,icon_task_01.png,2078,6,10,0,150,20000,[100002+5],,,,,香蕉5、钻石150、金币20000,,,
1072,3,抽卡20次,icon_task_01.png,2078,6,20,0,200,30000,[100002+10],,,,,香蕉10、钻石200、金币30000,,,
1072,4,抽卡30次,icon_task_01.png,2078,6,30,0,,30000,[50003+10]*[100001+10],,,,,盗贼碎片10、凤梨10,,,
1072,5,抽卡50次,icon_task_01.png,2078,6,50,0,,40000,[50003+15]*[100001+15],,,,,盗贼碎片15、凤梨15,,,
1072,6,抽卡80次,icon_task_01.png,2078,6,80,0,,50000,[50003+25]*[100005+10],,,,,盗贼碎片25、面包10,,,
,,,,,,,,,,,,,,,,,,
1073,1,抽卡5次,icon_task_01.png,2078,6,5,0,100,10000,[100003+5],,operate_draw.png,,,樱桃5、钻石100、金币10000,,,
1073,2,抽卡10次,icon_task_01.png,2078,6,10,0,150,20000,[100002+5],,,,,香蕉5、钻石150、金币20000,,,
1073,3,抽卡20次,icon_task_01.png,2078,6,20,0,200,30000,[100002+10],,,,,香蕉10、钻石200、金币30000,,,
1073,4,抽卡30次,icon_task_01.png,2078,6,30,0,,30000,[50001+10]*[100001+10],,,,,勇士碎片10、凤梨10,,,
1073,5,抽卡50次,icon_task_01.png,2078,6,50,0,,40000,[50001+15]*[100001+15],,,,,勇士碎片15凤梨15,,,
1073,6,抽卡80次,icon_task_01.png,2078,6,80,0,,50000,[50001+25]*[100005+10],,,,,勇士碎片25面包10,,,
,,,,,,,,,,,,,,,,,,
1074,1,累计登陆1天,icon_task_01.png,2166,41,1,0,,10000,[50035+2]*[100002+2],,operate_newyear_db1.png,,,屠夫碎片2、金币10000、香蕉2,,,
1074,2,累计登陆2天,icon_task_01.png,2166,41,2,0,,10000,[50035+2]*[100002+2],,,,,屠夫碎片2、金币10000、香蕉2,,,
1074,3,累计登陆3天,icon_task_01.png,2166,41,3,0,,10000,[50035+2]*[100002+2],,,,,屠夫碎片2、金币10000、香蕉2,,,
1074,4,累计登陆4天,icon_task_01.png,2166,41,4,0,,10000,[50035+3]*[100001+2],,,,,屠夫碎片3、金币10000、凤梨2,,,
1074,5,累计登陆5天,icon_task_01.png,2166,41,5,0,,10000,[50035+3]*[100001+2],,,,,屠夫碎片3、金币10000、凤梨2,,,
1074,6,累计登陆6天,icon_task_01.png,2166,41,6,0,,10000,[50035+3]*[100001+2],,,,,屠夫碎片3、金币10000、凤梨2,,,
1074,7,累计登陆7天,icon_task_01.png,2166,41,7,0,,10000,[50035+5]*[100005+2],,,,,屠夫碎片5、金币10000、面包2,,,
1074,8,累计登陆8天,icon_task_01.png,2166,41,8,0,,10000,[50035+5]*[100005+2],,,,,屠夫碎片5、金币10000、面包2,,,
1074,9,累计登陆9天,icon_task_01.png,2166,41,9,0,,10000,[50035+5]*[100005+2],,,,,屠夫碎片5、金币10000、面包2,,,
,,,,,,,,,,,,,,,,,,
1075,1,充值福利,icon_task_01.png,2167,102,0,0,100,10000,[100001+2],,operate_newyear_db3.png,,,钻石100、金币10000、凤梨2,,,
1075,2,累计充值300钻石,icon_task_01.png,2168,102,300,0,200,20000,[100001+3],,,,,钻石200、金币20000、凤梨3,,,
1075,3,累计充值980钻石,icon_task_01.png,2168,102,980,0,300,30000,[100005+2],,,,,钻石300、金币30000、面包2,,,
1075,4,累计充值3000钻石,icon_task_01.png,2168,102,3000,0,,40000,[50006+10]*[100005+3],,,,,维京人碎片10、面包3,,,
1075,5,累计充值6000钻石,icon_task_01.png,2168,102,6000,0,,50000,[50006+15]*[100005+5],,,,,维京人碎片15、面包5,,,
1075,6,累计充值10000钻石,icon_task_01.png,2168,102,10000,0,,60000,[50006+25]*[100005+8],,,,,维京人碎片25、面包8,,,
,,,,,,,,,,,,,,,,,,
2001,1,第一天每日福利 登录,,700,41,1,0,,,[2+100],,,[],0,,,,
2001,2,第一天每日福利 今日累积充值达60钻,,701,102,60,0,,,[221501+1]*[211501+1]*[231501+1],,,[],0,,,,
2002,1,第一天每日成长 通关1次世界冒险第1章第9关,,705,1,1,109,,,[211010+1]*[100003+5]*[1+5000],,,[10+1+109],1,,,,
2002,2,第二天每日成长 召唤师等级达到12级,,702,10,12,0,,,[201010+1]*[100003+5],,,[],1,,,,
2002,3,第一天每日成长 召唤师数量达到2个,,707,16,2,2,,,[231010+1]*[100003+5],,,[],1,,,,
2002,4,第一天每日成长 拥有3位15级英雄,,708,208,3,15,,,[100002+5]*[1+10000],,,[],1,,,,
2002,5,第二天每日成长 竞技场公平竞技取得三次胜利,,721,23,3,1,,,[2+100],,,[],1,,,,
,,,,,,,,,,,,,,,,,,
2003,1,第二天每日福利 登录,,700,41,1,0,,,[9+1],,,[],0,,,,
2003,2,第二天每日福利 今日累积充值达120钻石,,711,102,120,0,,,[50024+10]*[1+10000],,,[],0,,,,
2004,1,第二天每日成长 通关一次世界冒险第1章第15关,,716,1,1,115,,,[120013+20]*[120005+20],,,[10+1+115],1,,,,
2004,2,第二天每日成长 召唤师等级达到18级,,713,10,18,0,,,[221022+1]*[100002+5],,,[],1,,,,
2004,3,第二天每日成长 参与两次金币试炼,,718,21,2,0,,,[1+10000],,,[43],1,,,,
2004,4,第二天每日成长 拥有3个2星英雄,,720,32,3,2,,,[100002+5]*[1+10000],,,[],1,,,,
2004,5,第二天每日成长 竞技场公平竞技取得三次胜利,,721,23,3,1,,,[2+100],,,[48],1,,,,
,,,,,,,,,,,,,,,,,,
2005,1,第三天每日福利 登录,,700,41,1,0,,,[50032+10],,,[],0,,,,
2005,2,第三天每日福利 今日累积充值达300钻,,712,102,300,0,,,[50032+20]*[1+20000],,,[],0,,,,
2006,1,第三天每日成长 通关一次世界冒险第2章第6关,,728,1,1,206,,,[120013+20]*[120005+20],,,[10+2+206],1,,,,
2006,2,第三天每日成长 召唤师等级达到22级,,725,10,22,0,,,[1+10000],,,[],1,,,,
2006,3,第三天每日成长 参与五次装备打造,,742,204,5,0,,,[120013+15]*[120001+15],,,[],1,,,,
2006,4,第三天每日成长 打造出一件紫色装备,,743,204,1,4,,,[120102+10]*[120015+2],,,[],1,,,,
2006,5,第三天每日成长 拥有7个20级英雄,,744,208,7,20,,,[100002+10],,,[],1,,,,
2006,6,第三天每日成长 在神秘商店进行手动刷新2次,,745,203,2,1,,,[1+10000],,,[55+1],1,,,,
2006,7,第三天每日成长 竞技场公平竞技取得三次胜利,,721,23,3,1,,,[2+100],,,[48],1,,,,
,,,,,,,,,,,,,,,,,,
2007,1,第四天每日福利 登录,,700,41,1,0,,,[50022+10],,,[],0,,,,
2007,2,第四天每日福利 今日累积充值达680钻,,714,102,680,0,,,[50024+25]*[1+30000],,,[],0,,,,
2008,1,第四天每日成长 通关一次世界冒险第2章第12关,,740,1,1,212,,,[120013+20]*[120005+20],,,[10+2+212],1,,,,
2008,2,第四天每日成长 召唤师等级达到26级,,737,10,26,0,,,[1+10000],,,[],1,,,,
2008,3,第四天每日成长 通过2次英雄试炼,,734,20,2,0,,,[1+10000],,,[43],1,,,,
2008,4,第四天每日成长 拥有5个2星英雄,,733,32,5,2,,,[10+1],,,[],1,,,,
2008,5,第四天每日成长 竞技场公平竞技取得三次胜利,,721,23,3,1,,,[2+100],,,[48],1,,,,
,,,,,,,,,,,,,,,,,,
2009,1,第五天每日福利 登录,,700,41,1,0,,,[120013+20]*[120001+20],,,[],0,,,,
2009,2,第五天每日福利 今日累积充值达680钻,,714,102,680,0,,,[50024+25]*[1+30000],,,[],0,,,,
2010,1,第五天每日成长 通关一次世界冒险第3章第3关,,754,1,1,303,,,[100002+5]*[1+10000],,,[10+3+303],1,,,,
2010,2,第五天每日成长 召唤师等级达到29级,,751,10,29,0,,,[1+10000],,,[],1,,,,
2010,3,第五天每日成长 竞技场对决取得3次胜利,,721,23,3,1,,,[2+100],,,[48],1,,,,
,,,,,,,,,,,,,,,,,,
2011,1,第六天每日福利 登录,,700,41,1,0,,,[50030+10],,,[],0,,,,
2011,2,第六天每日福利 今日累积充值达680钻,,714,102,680,0,,,[50024+25]*[1+30000],,,[],0,,,,
2012,1,第六天每日成长 通关一次世界冒险第3章第9关,,767,1,1,309,,,[120013+20]*[120005+20]*[1+10000],,,[10+3+309],1,,,,
2012,2,第六天每日成长 召唤师等级达到32级,,775,10,32,0,,,[1+10000],,,[],1,,,,
2012,3,第六天每日成长 获得4个召唤师,,769,16,4,0,,,[2+500],,,[],1,,,,
2012,4,第六天每日成长 7个英雄全部升过星,,782,32,7,2,,,[10+4],,,[],1,,,,
2012,5,第六天每日成长 竞技场公平竞技取得三次胜利,,721,23,3,1,,,[2+100],,,[48],1,,,,
,,,,,,,,,,,,,,,,,,
2013,1,第七天每日福利 登录,,700,41,1,0,,,[50028+10],,,[],0,,,,
2013,2,第七天每日福利 今日累积充值达680钻,,714,102,680,0,,,[50024+25]*[1+30000],,,[],0,,,,
2014,1,第七天每日成长 通关一次世界冒险第3章第15关,,779,1,1,315,,,[120013+20]*[120005+20],,,[10+3+315],1,,,,
2014,2,第七天每日成长 召唤师等级达到34级,,776,10,34,0,,,[1+10000],,,[],1,,,,
2014,3,第七天每日成长 拥有3个3星英雄,,777,32,3,3,,,[10+1],,,[],1,,,,
2014,4,第七天每日成长 竞技场公平竞技取得三次胜利,,721,23,3,1,,,[2+100],,,[48],1,,,,
