装备生成ID,装备备注,生成道具ID,装备基础效果1,装备基础效果1参数,装备基础效果1描述,装备基础效果2,装备基础效果2参数,装备基础效果2描述,装备基础效果3,装备基础效果3参数,装备基础效果3描述,装备基础效果4,装备基础效果4参数,装备基础效果4描述,装备基础效果5,装备基础效果5参数,装备基础效果5描述,装备基础效果6,装备基础效果6参数,装备基础效果6描述,装备基础效果7,装备基础效果7参数,装备基础效果7描述,装备基础效果8,装备基础效果8参数,装备基础效果8描述,装备备选效果1,备选效果1权值,装备备选效果1参数,装备备选效果1描述,装备备选效果2,备选效果2权值,装备备选效果2参数,装备备选效果2描述,装备备选效果3,备选效果3权值,装备备选效果3参数,装备备选效果3描述,装备备选效果4,备选效果4权值,装备备选效果4参数,装备备选效果4描述,装备备选效果5,备选效果5权值,装备备选效果5参数,装备备选效果5描述,装备备选效果6,备选效果6权值,装备备选效果6参数,装备备选效果6描述,装备备选效果7,备选效果7权值,装备备选效果7参数,装备备选效果7描述,装备备选效果8,备选效果8权值,装备效果8参数,装备效果8描述
201116,65守卫武器生成器(紫),20116,6,[131+189],34006,11,[43+62],34011,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201501,角斗之斧生成器(金),20501,6,[135+135],34006,,,,,,,,,,,,,,,,,,,,,,6,2000,[10+10],34006,11,2000,[9+9],34011,21,2000,[2+2],34021,24,2000,[2+2],34024,25,2000,[3+3],34025,,,,,,,,,,,,
201509,短剑生成器(金),20509,6,[108+157],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201513,精灵杖生成器(金),20513,8,[122+176],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
201517,大锤生成器(金),20517,6,[134+194],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201521,折叠弓生成器(金),20521,6,[95+137],34006,16,[12+18],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,2000,[4+8],34016,20,2000,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201525,魔法杖生成器(金),20525,8,[125+180],34008,31,[5+7],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
201529,冲锋之斧生成器(金),20529,6,[187+270],34006,11,[25+36],34011,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201537,鹰之弓生成器(金),20537,6,[115+166],34006,16,[25+36],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,2000,[6+12],34016,20,2000,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201541,破甲刃生成器(金),20541,6,[149+216],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201545,术士之杖生成器(金),20545,8,[132+192],34008,31,[10+14],34031,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
201549,祭司之杖生成器(金),20549,8,[132+192],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
201553,荣耀之剑生成器(金),20553,6,[250+362],,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201561,王牌火枪生成器(金),20561,6,[141+203],34006,16,[37+54],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,2000,[8+16],34016,20,2000,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201565,暗影之刃生成器(金),20565,6,[184+266],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
201569,水晶之杖生成器(金),20569,8,[187+270],34008,31,[15+22],34031,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
201573,祝福之杖生成器(金),20573,8,[192+277],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
201577,狂傲之剑生成器(金),20577,6,[319+461],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201585,狩魂火枪生成器(金),20585,6,[171+247],34006,16,[37+54],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,2000,[10+20],34016,20,2000,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201589,神行之刃生成器(金),20589,6,[212+306],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
201593,魔导之杖生成器(金),20593,8,[224+324],34008,31,[21+31],34031,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
201597,星语之杖生成器(金),20597,8,[234+338],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
201601,守卫钉锤生成器(金),20601,6,[95+137],34006,11,[12+18],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201605,精钢锤生成器(金),20605,6,[115+166],34006,11,[25+36],34011,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201609,圣骑士锤生成器(金),20609,6,[141+203],34006,11,[40+58],34011,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201613,65守卫武器生成器(金),20613,6,[171+247],34006,11,[56+81],34011,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201901,1级勇士套装剑（橙）,20901,6,[219+317],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
211001,头巾生成器(白),21001,4,[22+32],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211002,头巾生成器(绿),21002,4,[25+37],34004,,,,,,,,,,,,,,,,,,,,,,11,5000,[2+4],34011,14,5000,[2+4],34014,,,,,,,,,,,,,,,,,,,,,,,,
211009,战盔生成器(白),21009,4,[44+63],34004,6,[6+9],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211010,战盔生成器(绿),21010,4,[51+73],34004,6,[7+10],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211011,战盔生成器(蓝),21011,4,[58+84],34004,6,[8+12],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211012,战盔生成器(紫),21012,4,[67+97],34004,6,[10+14],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211013,精灵帽生成器(白),21013,4,[24+35],34004,14,[14+20],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211014,精灵帽生成器(绿),21014,4,[28+41],34004,14,[16+23],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
211015,精灵帽生成器(蓝),21015,4,[32+47],34004,14,[18+26],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
211016,精灵帽生成器(紫),21016,4,[37+54],34004,14,[21+30],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
211017,武士盔生成器(白),21017,4,[31+45],34004,16,[6+9],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211018,武士盔生成器(绿),21018,4,[36+52],34004,16,[7+10],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211019,武士盔生成器(蓝),21019,4,[42+60],34004,16,[8+12],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211020,武士盔生成器(紫),21020,4,[48+69],34004,16,[10+14],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211021,飞羽帽生成器(白),21021,4,[17+25],34004,6,[19+27],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211022,飞羽帽生成器(绿),21022,4,[20+29],34004,6,[22+31],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211023,飞羽帽生成器(蓝),21023,4,[23+34],34004,6,[25+36],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211024,飞羽帽生成器(紫),21024,4,[27+39],34004,6,[29+41],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211025,魔法帽生成器(白),21025,4,[26+38],34004,8,[6+9],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211026,魔法帽生成器(绿),21026,4,[30+44],34004,8,[7+10],34008,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
211027,魔法帽生成器(蓝),21027,4,[35+50],34004,8,[8+12],34008,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
211028,魔法帽生成器(紫),21028,4,[40+58],34004,8,[10+14],34008,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
211029,骑士盔生成器(白),21029,4,[50+73],34004,16,[11+15],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211030,骑士盔生成器(绿),21030,4,[58+85],34004,16,[12+18],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211031,骑士盔生成器(蓝),21031,4,[67+97],34004,16,[14+20],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211032,骑士盔生成器(紫),21032,4,[77+112],34004,16,[16+23],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211037,鹰之盔生成器(白),21037,4,[26+37],34004,6,[31+44],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211038,鹰之盔生成器(绿),21038,4,[30+43],34004,6,[35+51],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211039,鹰之盔生成器(蓝),21039,4,[34+49],34004,6,[41+59],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211040,鹰之盔生成器(紫),21040,4,[39+57],34004,6,[47+68],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211041,风之盔生成器(白),21041,4,[67+97],34004,6,[14+20],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211042,风之盔生成器(绿),21042,4,[78+113],34004,6,[16+23],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211043,风之盔生成器(蓝),21043,4,[90+130],34004,6,[18+26],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211044,风之盔生成器(紫),21044,4,[103+149],34004,6,[21+30],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211045,术士之帽生成器(白),21045,4,[34+50],34004,8,[14+20],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211046,术士之帽生成器(绿),21046,4,[40+57],34004,8,[16+23],34008,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,31,1500,[2+4],34031,3,2000,[3+6],34003,,,,,,,,
211047,术士之帽生成器(蓝),21047,4,[46+66],34004,8,[18+26],34008,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,31,1500,[2+4],34031,3,2000,[3+6],34003,,,,,,,,
211048,术士之帽生成器(紫),21048,4,[52+76],34004,8,[21+30],34008,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,31,1500,[2+4],34031,3,2000,[3+6],34003,,,,,,,,
211049,祭司头环生成器(白),21049,4,[30+43],34004,14,[26+37],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211050,祭司头环生成器(绿),21050,4,[35+50],34004,14,[30+43],34014,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,20,1500,[2+4],34020,3,2000,[3+6],34003,,,,,,,,
211051,祭司头环生成器(蓝),21051,4,[40+58],34004,14,[34+49],34014,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,20,1500,[2+4],34020,3,2000,[3+6],34003,,,,,,,,
211052,祭司头环生成器(紫),21052,4,[46+66],34004,14,[39+57],34014,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,20,1500,[2+4],34020,3,2000,[3+6],34003,,,,,,,,
211053,荣耀之盔生成器(白),21053,4,[68+98],34004,16,[16+23],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211054,荣耀之盔生成器(绿),21054,4,[79+114],34004,16,[18+26],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211055,荣耀之盔生成器(蓝),21055,4,[90+131],34004,16,[21+30],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211056,荣耀之盔生成器(紫),21056,4,[104+150],34004,16,[24+35],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211061,王牌之帽生成器(白),21061,4,[34+50],34004,6,[44+63],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211062,王牌之帽生成器(绿),21062,4,[40+57],34004,6,[51+73],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211063,王牌之帽生成器(蓝),21063,4,[46+66],34004,6,[58+84],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211064,王牌之帽生成器(紫),21064,4,[52+76],34004,6,[67+97],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211065,暗影之帽生成器(白),21065,4,[83+121],34004,6,[22+32],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211066,暗影之帽生成器(绿),21066,4,[97+140],34004,6,[25+37],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
211067,暗影之帽生成器(蓝),21067,4,[111+161],34004,6,[29+42],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
211068,暗影之帽生成器(紫),21068,4,[128+185],34004,6,[33+48],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
211069,水晶之盔生成器(白),21069,4,[45+65],34004,8,[24+35],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211070,水晶之盔生成器(绿),21070,4,[52+75],34004,8,[28+41],34008,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,31,1500,[3+5],34031,3,2000,[5+9],34003,,,,,,,,
211071,水晶之盔生成器(蓝),21071,4,[60+86],34004,8,[32+47],34008,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,31,1500,[3+5],34031,3,2000,[5+9],34003,,,,,,,,
211072,水晶之盔生成器(紫),21072,4,[69+99],34004,8,[37+54],34008,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,31,1500,[3+5],34031,3,2000,[5+9],34003,,,,,,,,
211073,祝福之帽生成器(白),21073,4,[39+57],34004,14,[37+54],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211074,祝福之帽生成器(绿),21074,4,[45+66],34004,14,[43+63],34014,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,20,1500,[3+6],34020,3,2000,[5+9],34003,,,,,,,,
211075,祝福之帽生成器(蓝),21075,4,[52+76],34004,14,[50+72],34014,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,20,1500,[3+6],34020,3,2000,[5+9],34003,,,,,,,,
211076,祝福之帽生成器(紫),21076,4,[60+87],34004,14,[57+83],34014,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,20,1500,[3+6],34020,3,2000,[5+9],34003,,,,,,,,
211077,狂傲之盔生成器(白),21077,4,[87+125],34004,16,[20+29],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211078,狂傲之盔生成器(绿),21078,4,[100+145],34004,16,[23+33],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211079,狂傲之盔生成器(蓝),21079,4,[115+167],34004,16,[27+38],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211080,狂傲之盔生成器(紫),21080,4,[133+192],34004,16,[31+44],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211085,狩魂之帽生成器(白),21085,4,[44+63],34004,6,[57+82],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211086,狩魂之帽生成器(绿),21086,4,[51+73],34004,6,[66+95],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211087,狩魂之帽生成器(蓝),21087,4,[58+84],34004,6,[76+109],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211088,狩魂之帽生成器(紫),21088,4,[67+97],34004,6,[87+126],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211089,神行头环生成器(白),21089,4,[100+144],34004,6,[30+43],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211090,神行头环生成器(绿),21090,4,[116+167],34004,6,[35+50],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
211091,神行头环生成器(蓝),21091,4,[133+192],34004,6,[40+58],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
211092,神行头环生成器(紫),21092,4,[153+221],34004,6,[46+66],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
211093,魔导之帽生成器(白),21093,4,[56+81],34004,8,[32+46],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
