增益ID,描述,BUFF标识,层数,buff生命周期,回收添加新BUFF的条件,回收时添加的新buff_ID,Buff特效动画ID,buffUI表现ID,buff特效播放点,特效是否跟随移动,buff目标,首次生效时间,生效总次数,Buff触发类型,Buff触发类型参数,生效条件1,生效条件2,生效条件3,生效条件4,Buff生效时目标结算ID,Buff生效时对召唤师结算ID,Buff失效时目标结算ID,Buff失效时召唤师结算ID,是否加载技能
1321,召唤艾丽卡熊倒计时,3,1,-1,0,[],[],0,3,0,-1,2000,1,1,[700],Is_HasBuffTarget(),Is_HasSkillPoint(1*0*0),,,[],[],[],[],1307
1322,艾丽卡熊出生特效结算计时,3,1,1000,0,[],[1325],0,3,1,1322,100,1,1,[100],Is_HasBuffTarget(),,,,[1323],[1323],[],[],0
1323,召唤1星小鹿,3,1,1000,0,[],[],0,3,1,-1,400,1,1,[1],Is_HasBuffTarget(),Is_HasSkillPoint(1*80*0),,,[],[],[],[],1303
1324,召唤五星水元素,3,1,1000,0,[],[],0,3,1,-1,400,1,1,[1],Is_HasBuffTarget(),Is_HasSkillPoint(1*80*0),,,[],[],[],[],1304
1325,召唤四星大树,3,1,1000,0,[],[],0,3,1,-1,400,1,1,[1],Is_HasBuffTarget(),Is_HasSkillPoint(1*80*0),,,[],[],[],[],1305
1400,闪电标记,2,1,-1,0,[],[1406],0,2,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[1401],[],[1404],[],0
1400,闪电标记,2,2,-1,0,[],[1407],0,2,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[1402],[],[1405],[],0
1400,闪电标记,2,3,-1,0,[1413],[1408],0,2,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[1403],[],[1406],[],1412
1403,闪电风暴,3,1,1000,0,[],[1405],0,3,1,-1,200,1,1,[1],Is_HasBuffTarget(),,,,[1408],[],[],[],0
1404,电弧爆炸,3,1,1000,0,[],[1402],0,3,1,1405,5,1,1,[1],Is_HasBuffTarget(),,,,[1407],[],[],[],0
1412,三层持续伤害,2,1,-1,0,[],[],0,2,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[1412],[],[],[],0
1413,删除持续伤害,3,1,1000,0,[],[],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[1413],[],[],[],0
1414,雷暴三层印记,3,1,1000,0,[],[2],0,3,1,-1,300,1,1,[1],Is_HasBuffTarget(),,,,[1408],[],[],[],0
1450,闪电光环,3,1,-1,0,[],[],0,3,1,1404,1000,-1,1,[5000],Is_HasBuffTarget(),,,,[],[],[],[],1400
1500,莱奥战魂光环,3,1,-1,0,[],[],0,3,1,1500,5,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],1500
1501,客体战魂光环结算buff,3,1,-1,0,[],[],0,3,1,-1,5,1,1,[1],Is_HasBuffTarget(),,,,[1500],[],[],[],0
1502,莱奥觉醒计时buff,3,1,1600,0,[1503],[],0,3,1,-1,5,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],0
1503,莱奥觉醒返回buff,3,1,35000,0,[],[],0,3,1,-1,5,1,1,[1],Is_HasBuffTarget(),,,,[1507],[1507],[1508],[1508],0
1504,莱奥觉醒技能判断标志,3,1,-1,0,[],[],0,3,1,-1,5,1,1,[1],,,,,[],[],[],[],0
1505,加攻击速,1,1,8000,0,[],[],0,3,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[11],[11],[14],[14],0
1506,加移动速,1,1,8000,0,[],[64],0,3,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[2],[2],[5],[5],0
1508,觉醒加攻击速,1,1,8000,0,[],[],0,3,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[12],[12],[15],[15],0
1509,觉醒加移动速,1,1,8000,0,[],[64],0,3,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[3],[3],[6],[6],0
1510,吹笛延迟,1,1,5000,0,[],[],0,3,1,27,2000,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],1502
1511,觉醒后吹笛延迟,1,1,5000,0,[],[],0,3,1,27,2000,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],1503
1600,战意光环,3,1,-1,0,[],[34],0,3,1,1600,5,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],1600
1601,标记1,3,1,2000,0,[1602],[],0,3,1,-1,0,0,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
1602,标记2,3,1,2000,0,[],[],0,3,1,-1,0,0,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
1603,圣光审判标示,3,1,9000,0,[],[],0,3,1,-1,0,0,1,[5],Is_HasBuffTarget(),,,,[],[1675],[],[],0
1611,圣光领域对敌,3,1,3000,0,[],[72],0,1,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[1601],[1601],[1611],[1611],0
1612,圣光领域对友,3,1,3000,0,[],[62],0,1,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[1602],[1602],[1612],[1612],0
1650,战意光环结算,3,1,-1,0,[],[],0,3,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[1600],[],[],[],0
10001,激励（1层）,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（2层）,3,2,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（3层）,3,3,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（4层）,3,4,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（5层）,3,5,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（6层）,3,6,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（7层）,3,7,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（8层）,3,8,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（9层）,3,9,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10001,激励（10层）,3,10,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],10008
10002,勇士跑步加速BUFF（装备技能标记）,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10003,激励失效标记BUFF,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10004,激励10层标识BUFF,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10005,勇士单件装备buff（装备技能）,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10005,勇士单件装备buff（装备技能）,3,2,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10005,勇士单件装备buff（装备技能）,3,3,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10005,勇士单件装备buff（装备技能）,3,4,200,0,[10002],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10006,勇士跑步加速BUFF（装备技能生效）,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10033],[10033],[10034],[10034],0
10200,攻击计数1,3,1,-1,0,[],[],0,3,1,-1,1,-1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10200,攻击计数2,3,2,1,0,[10205],[],0,3,1,-1,1,-1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
10205,火枪加农炮释放标示,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],,,,,[],[],[],[],0
10206,火枪加农炮瞄准特效,3,1,2200,0,[],[10205],0,2,1,-1,1,1,1,[5],,,,,[],[],[],[],0
10301,盗贼战吼加移速,1,1,3000,0,[],[64],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10305],[10305],[10306],[10306],0
10314,妙手空空特效,3,1,400,0,[],[10309],0,3,0,-1,1,0,1,[5],,,,,[],[],[],[],0
10401,铁匠护盾,1,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10402],[10402],[],[],0
10402,铁匠护盾表现特效延迟时间,1,1,1000,0,[10403],[],0,2,1,-1,1,1,1,[990],,,,,[],[],[],[],0
10403,铁匠护盾表现特效,1,1,-1,0,[10404],[5],0,2,1,-1,1,1,9,[5],Is_HasBuffTarget(),,,,[],[],[],[],10403
10404,铁匠护盾破碎特效,1,1,1000,0,[],[6],0,2,1,-1,1,1,1,[5],,,,,[],[],[],[],0
10501,魔剑士物理攻击转换物理攻击BUFF,3,1,-1,0,[],[],0,3,1,-1,1,-1,1,[5],Is_HasBuffTarget(),,,,[10503],[10503],[],[],0
10502,魔抗光环(释放者),3,1,-1,0,[],[39],0,3,1,10501,1,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],10510
10503,魔抗buff（目标）,3,1,2100,0,[],[],0,0,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10504],[10504],[10505],[10505],0
10506,封天锁地,3,1,4000,0,[],[],0,0,1,10502,1000,1,1,[5],Is_HasBuffTarget(),,,,[],[10506],[],[10507],0
10601,冲锋结束判定BUFF,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],,,,,[],[],[],[],0
10602,冲锋速度变化BUFF,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10603],[10603],[10604],[10604],0
10604,偷水晶自身标记BUFF,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],,,,,[],[],[],[],0
10605,有借有还偷水晶BUFF,3,1,8000,0,[],[10607],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10605],[10605],[10606],[10606],0
10606,有借有还己方加水晶BUFF,3,1,1000,0,[],[],0,2,1,2,500,1,1,[5],Is_HasBuffTarget(),,,,[10606],[10606],[],[],0
10701,大火球持续伤害,2,1,5000,0,[],[10],0,3,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[10702],[10702],[],[],0
10702,火环BUFF,2,1,4000,0,[],[10702],0,2,1,10702,1,-1,1,[800],Is_HasBuffTarget(),,,,[10703],[10703],[],[],0
10901,回血光环,3,1,-1,0,[],[40],0,3,1,10916,1,-1,1,[1000],Is_HasBuffTarget(),,,,[],[],[],[],10903
10902,回血光环(目标),3,1,2100,0,[],[],0,0,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[10902],[10902],[],[],0
10903,加血命中特效,3,1,1000,0,[],[10903],0,3,1,-1,1,0,1,[5],,,,,[],[],[],[],0
10905,牧师战吼(目标)-最大生命值,3,1,1000,0,[],[62],0,1,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[10903],[10903],[],[],0
11001,冲锋加速buff,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[11004],[11004],[11005],[11005],0
11003,圣骑士攻击战吼BUFF(目标),1,1,-1,0,[],[11003],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[11008],[11008],[11009],[11009],0
11005,冲撞AOE伤害,3,1,350,0,[],[],0,3,1,11001,300,1,1,[5],Is_HasBuffTarget(),,,,[11007],[11007],[],[],0
11101,闪身扇舞,3,1,-1,0,[],[],0,0,1,11101,1,-1,6,[1],Is_HasBuffTarget(),Is_BuffSkillReady(0*11103),,,[],[],[],[],11103
11102,雾隐（全场隐身时间结束后解除）,3,1,3000,0,[],[],0,0,1,11102,1,-1,1,[300],Is_HasBuffTarget(),,,,[43],[43],[44],[44],0
11104,偷水晶特效,3,1,1000,0,[],[10309],0,3,0,-1,1,0,1,[5],,,,,[],[],[],[],0
11401,爆破工爆炸结算,3,1,5000,0,[],[11403],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[11401],[11401],[],[],0
11402,爆破工双倍爆炸结算,3,1,5000,0,[],[11403],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[11402],[11402],[],[],0
12000,防御姿态（技能1）,3,1,10000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[12001],[12001],[12002],[12002],0
12002,盾妹战吼BUFF(目标),3,1,1000,0,[],[62],0,1,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[12003],[12003],[],[],0
20001,怒意消耗能量,3,1,-1,0,[],[],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[20001],[20001],[],[],0
20002,怒意给队友恢复能量,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[20002],[20002],[],[],0
20003,加攻速+初始表现buff,3,1,400,0,[20004],[20009],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[20003],[20003],[],[],0
20004,加攻速+持续表现buf,3,1,-1,0,[20006],[20010],0,3,1,-1,1,1,1,[5],,,,,[],[],[],[],0
20006,怒意消散表现buff,3,1,900,0,[],[20011],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[20004],[20004],[],[],0
20007,狂击Buff1,2,1,10000,0,[],[20001],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
20007,狂击Buff2,2,2,10000,0,[],[20001],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
20007,狂击Buff3,2,3,10000,0,[],[20001],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
20007,狂击Buff4,2,4,10000,0,[],[20001],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
20007,狂击Buff5,2,5,100,0,[20008],[20001],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[20005],[20013],[],[],0
20008,狂击Buff消失,2,1,100,0,[],[20003],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
20501,酋长变大变强Buff,3,1,800,0,[20502],[20010],0,3,1,-1,1,16,1,[50],Is_HasBuffTarget(),,,,[20501],[20501],[],[],0
20502,牛头人怒意消耗能量+回血,3,1,-1,0,[20505],[20010],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[20502],[20502],[],[],0
20503,队友回能buff,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[20503],[20503],[],[],0
20505,变小buff,3,1,800,0,[],[20011],0,3,1,-1,1,16,1,[50],Is_HasBuffTarget(),,,,[20506],[20506],[],[],0
20506,变身记时BUFF,3,1,2000,0,[],[],0,3,1,-1,1,1,1,[5],,,,,[],[],[],[],0
20901,投石车怒意进入表现,3,1,400,0,[20902],[20909],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
20902,投石车消耗能量+持续表现,3,1,-1,0,[20904],[20910],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[20902],[30302],[],[],0
20903,队友回能buff,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[20903],[20903],[],[],0
20904,退出怒意表现,3,1,900,0,[],[20911],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
20905,加攻速BUFF,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[20905],[20905],[20906],[20906],0
30001,小精灵分裂BUFF,3,1,500,0,[],[],0,3,1,-1,1,1,1,[5],,,,,[],[],[],[],0
30101,精灵弓箭手灵动无敌BUFF,3,1,1000,0,[],[],0,2,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[41],[41],[42],[42],0
30102,精灵弓手怒意启动表现,3,1,400,0,[30103],[20009],0,3,1,-1,1,-1,1,[],,,,,[],[],[],[],0
30103,精灵弓手怒意BUFF+表现持续,3,1,-1,0,[30105],[20010],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[30103],[30103],[],[],0
30104,精灵弓手回能BUFF,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[30104],[30104],[],[],0
30105,精灵弓手怒意消散BUFF表现,3,1,900,0,[],[20011],0,3,1,-1,1,-1,1,[],,,,,[],[],[],[],0
30301,小鹿怒意进入表现,3,1,1700,0,[30302],[30319],0,3,1,-1,1,-1,1,[],,,,,[],[],[],[],0
30302,小鹿流星雨消耗能量,3,1,-1,0,[30304],[30319],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[30302],[30302],[],[],0
30303,队友回能buff,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[30303],[30303],[],[],0
30304,退出怒意表现,3,1,900,0,[],[30320],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
30401,群体减速,2,1,2000,0,[],[11],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[30401],[30401],[30402],[30402],
30406,霜冻第1层,2,1,10000,0,[],[11],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[30401],[30401],[30402],[30402],0
30406,霜冻第2层,2,2,10000,0,[],[11],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[30401],[30401],[30402],[30402],0
30406,霜冻第3层,2,3,,0,[30412],[11],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[30411],[30411],[30414],[30414],0
30412,易伤Buff,2,1,6000,0,[],[],0,2,1,-1,0,0,1,[5],,,,,[30420],[30420],[30421],[30421],0
30501,夜刃破隐一击标记BUFF,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
30505,夜刃受击显隐,3,1,-1,0,[],[],0,3,1,-1,1,1,12,[5],Is_HasBuffTarget(),Is_BuffSkillReady(0*30508),,,[],[],[],[],30508
30506,进入能量状态表现,3,1,400,0,[30507],[20009],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
30507,能量消耗,3,1,-1,0,[30510],[20010],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[30515],[30515],[],[],0
30508,队友回能buff,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[30516],[30516],[],[],0
30509,闪避+攻速+加速BUFF,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30517],[30517],[30518],[30518],0
30510,能量消散表现,3,1,500,0,[],[20011],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
30601,火龙怒意进入表现,3,1,400,0,[30602],[20009],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
30602,火龙消耗能量,3,1,-1,0,[30604],[20010],0,3,1,-1,1,-1,1,[200],Is_HasBuffTarget(),,,,[30601],[30601],[],[],0
30603,队友回能buff,3,1,-1,0,[],[],0,3,1,201,1,-1,1,[1000],Is_HasBuffTarget(),,,,[30602],[30602],[],[],0
30604,退出怒意表现,3,1,900,0,[],[20011],0,3,1,-1,1,-1,1,[],Is_HasBuffTarget(),,,,[],[],[],[],0
30700,岩石身躯释放,3,1,-1,0,[],[],0,2,1,30703,1,-1,1,[9000],Is_HasBuffTarget(),,,,[],[],[],[],30702
30701,岩石身躯生效,3,1,8000,0,[],[],0,2,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[30702],[],[],[],0
30702,护盾表现特效,3,1,-1,0,[30703],[30710],0,2,1,-1,1,1,9,[5],Is_HasBuffTarget(),,,,[],[],[],[],30703
30703,护盾破碎特效,3,1,1000,0,[],[30711],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30705],[],[],[],0
30704,巨人之力（抗性）释放,3,1,-1,0,[],[],0,2,1,30704,1,-1,1,[2000],Is_HasBuffTarget(),,,,[],[],[],[],30704
30705,巨人之力（抗性）生效,3,1,1950,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30703],[30703],[30704],[30704],0
30706,巨人之力标识,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
30802,巨人之力（攻击）释放,3,1,-1,0,[],[],0,2,1,30704,1,-1,1,[2000],Is_HasBuffTarget(),,,,[],[],[],[],30802
30803,巨人之力（攻击）生效,3,1,1950,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30804],[30804],[30805],[30805],0
30811,龙卷风发射子弹,3,1,-1,0,[],[],0,2,1,30804,1000,-1,1,[330],Is_HasBuffTarget(),,,,[],[],[],[],30805
30850,龙卷风状态buff（五星）,3,1,-1,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30871],[30871],[30872],[30872],0
30851,龙卷风扣能量BUFF前置,3,1,10000,0,[],[],0,2,1,-1,1,-1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
30901,滋养,3,1,200,0,[],[30903],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30903],[],[],[],0
30902,召唤小树人,3,1,-1,0,[],[],0,0,0,-1,3000,-1,1,[20000],Is_HasBuffTarget(),Is_HasSkillPoint(1*0*0),,,[],[],[],[],30904
30903,扎根计时BUFF,3,1,3000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
30904,扎根加强BUFF,3,1,-1,0,[],[30901],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30904],[30904],[30905],[30905],0
30905,巨人之力（生命）释放,3,1,-1,0,[],[],0,2,1,30704,1,1,-1,[2000],Is_HasBuffTarget(),,,,[],[],[],[],30905
30906,巨人之力（生命）生效,3,1,1950,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[30906],[30906],[30907],[30907],0
31001,精灵女王召唤BUFF,3,1,4400,0,[],[],0,3,1,-1,1,1,1,[],,,,,[],[],[],[],0
31101,火元素眩晕BUFF1,2,1,10000,0,[],[10],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],0
31101,火元素眩晕BUFF2,2,2,10000,0,[],[10],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],0
31101,火元素眩晕BUFF3,2,3,100,0,[],[10],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[31101],[31101],[],[],0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
40003,骷髅战士复活,3,1,-1,0,[],[],0,0,0,-1,0,1,2,[5],Is_HasBuffTarget(),Is_Random(50),,,[40006],[40006],[40007+42],[40007+42],40002
40100,僵尸标记,3,1,-1,0,[],[],0,0,0,-1,0,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
40101,死亡毒雾,1,1,-1,0,[],[40110],0,3,1,40101,1,-1,1,[1000],Is_HasBuffTarget(),,,,[40102],[40102],[],[],0
40102,治疗毒雾,1,1,-1,0,[],[],0,0,0,40103,1,-1,1,[1000],Is_HasBuffTarget(),,,,[40107],[40107],[],[],0
40103,毒雾标记,1,1,-1,0,[],[],0,0,0,-1,1,-1,1,[5],Is_HasBuffTarget(),,,,[],[],[1423],[1423],0
40104,毒雾加防,1,1,1500,0,[],[40109],0,1,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[40103],[40103],[40104],[40104],0
40105,毒雾关搜索,3,1,-1,0,[],[],0,0,0,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[40108],[40108],[40109],[40109],0
40106,毒雾标记,2,1,2000,0,[],[40102],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
40301,魂爆,2,1,500,0,[],[],0,0,0,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[40302],[40302],[],[],0
40406,灵魂之火层数1,3,1,-1,0,[],[],0,1,1,-1,1,-1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],0
40406,灵魂之火层数2,3,2,-1,0,[],[],0,1,1,-1,1,-1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],0
40406,灵魂之火层数3,3,3,-1,0,[],[],0,1,1,-1,1,-1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],0
40406,灵魂之火层数4,3,4,1400,0,[],[],0,1,1,-1,1,-1,1,[1],Is_HasBuffTarget(),Is_HasSkillPoint(1*500*0),,,[],[],[],[],40408
40407,骷髅的灵魂火标记（死亡触发）,3,1,-1,0,[],[],0,3,1,40402,1,2,2,[5],Is_HasBuffTarget(),,,,[],[],[],[],40410
40409,召唤骷髅战士前,3,1,2200,0,[],[],0,0,0,-1,2000,1,1,[1],Is_HasBuffTarget(),Is_HasSkillPoint(1*300*0),,,[],[],[],[],40400
40410,召唤骷髅战士后,3,1,2500,0,[],[],0,0,0,-1,2200,1,1,[1],Is_HasBuffTarget(),Is_HasSkillPoint(1*150*0),,,[],[],[],[],40400
40412,给己方骷髅增加灵魂火标记,3,1,-1,0,[],[],0,3,1,40401,1,1,1,[2000],Is_HasBuffTarget(),,,,[],[],[],[],40409
40416,灵魂火标记伤害结算buff,3,1,200,0,[],[],0,3,1,40403,1,1,1,[250],Is_HasBuffTarget(),,,,[40401],[40401],[],[],0
40416,灵魂火标记伤害结算buff,3,2,200,0,[],[],0,3,1,40403,1,1,1,[250],Is_HasBuffTarget(),,,,[40401],[40401],[],[],0
40416,灵魂火标记伤害结算buff,3,3,200,0,[],[],0,3,1,40403,1,1,1,[250],Is_HasBuffTarget(),,,,[40401],[40401],[],[],0
40416,灵魂火标记伤害结算buff,3,4,200,0,[],[],0,3,1,40403,1,1,1,[250],Is_HasBuffTarget(),,,,[40401],[40401],[],[],0
40416,灵魂火标记伤害结算buff,3,5,200,0,[],[],0,3,1,40403,1,1,1,[250],Is_HasBuffTarget(),,,,[40401],[40401],[],[],0
40416,灵魂火标记伤害结算buff,3,6,200,0,[],[],0,3,1,40403,1,1,1,[250],Is_HasBuffTarget(),,,,[40401],[40401],[],[],0
40501,概率冰冻BUFF,2,1,200,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),Is_Random(33),,,[],[],[],[],40501
40502,冰冻5s,2,1,5000,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[40501],[40501],[40502],[40502],0
40600,屠夫标记,3,1,-1,0,[],[],0,0,0,-1,0,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
40601,吸血,3,1,-1,0,[],[],0,0,0,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[40606],[40606],[],[],0
40614,毒雾吸血加成,3,1,1500,0,[],[9],0,1,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[40620],[40620],[40621],[40621],0
40700,死亡骑士标记,3,1,-1,0,[],[],0,0,0,-1,0,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
40701,恐惧光环,3,1,1500,0,[],[],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[40706],[40706],[40711],[40711],0
40702,死亡骑士装备技,3,1,-1,0,[],[],0,0,0,-1,1,1,2,[1],Is_HasBuffTarget(),,,,[],[],[],[],40710
