技能ID,技能描述,技能释放类型,选位置施放技能范围,技能解锁类型,技能解锁参数,技能可否被打断,技能CD,默认技能CD百分比,技能消耗类型,技能消耗参数,技能循环次数,单次循环时间,对技能目标发射子弹序列,首次发射子弹时间,子弹序列内间隔时间,对技能目标添加Buff序列,对技能目标点发射子弹序列,首次发射子弹时间,子弹序列内间隔时间,在技能目标点召唤序列,子弹发射速率,技能名字语言包,技能消耗描述1,技能描述语言包,技能图标,状态跳转,技能消耗描述2,战斗技能图标
21100,野猪普通攻击,0,0,0,0,1,500,0,0,0,1,600,[21100],500,0,[],[],1,0,[],1,,,,,FightStatus_5,,
21201,黑熊普通攻击1,0,0,0,0,1,500,0,0,0,1,1500,[21201],700,5,[],[],1,0,[],1,,,,,FightStatus_5,,
21202,黑熊普通攻击2,0,0,0,0,1,500,0,0,0,1,1500,[21202],1450,5,[],[],1,0,[],1,,,,,SkillStatus_31,,
21301,灰狼普通攻击1,0,0,0,0,1,500,0,0,0,1,1500,[21301],700,5,[],[],1,0,[],1,,,,,FightStatus_5,,
21302,灰狼普通攻击2,0,0,0,0,1,500,0,0,0,1,1500,[21302],500,5,[],[],1,0,[],1,,,,,SkillStatus_31,,
30001,小精灵自爆,0,0,0,0,0,0,0,0,0,1,1500,[],0,0,[],[30001+30002+30003],500,0,[],0,2030011,,2030021,30000_Skill1_Icon.png,DeathStatus_1,,
30002,小精灵（技能2展示用）,0,0,0,0,1,0,0,0,0,1,1500,[],0,0,[],[],0,0,[],1,2030012,,2030022,30000_Skill2_Icon.png,,,
30101,精灵弓箭手普攻(技能3),0,0,0,0,1,0,0,0,0,1,2200,[],0,5,[],[30101],1800,0,[],1,2020013,,2020023,30100_Skill3_Icon.png,FightStatus_5,2020090,
30102,箭雨技能(技能2),0,0,0,0,0,0,0,0,0,1,2200,[30102+30103+30104+30105+30106+30107+30108],1800,100,[],[],0,0,[],0,2030112,,2030122,30100_Skill2_Icon.png,SkillStatus_33,,
30105,灵动后跳(技能1),0,0,0,0,1,5000,1,0,0,1,2000,[],0,5,[],[],0,0,[],0,2030111,2030180,2030121,30100_Skill1_Icon.png,SkillStatus_41,,
30107,灵动落地普攻击退,0,0,0,0,1,0,0,0,0,1,1100,[30113],900,5,[],[],0,0,[],0,,,,,,,
30301,小鹿星落(技能1),0,0,0,0,0,0,0,0,0,1,2200,[30312+30313+30314+30315],500,200,[],[],0,0,[],0,2030311,,2030321,30300_Skill1_Icon.png,SkillStatus_31,,
30302,小鹿群星坠落(技能2),0,0,0,0,0,0,0,0,0,1,1500,[30317+30315+30312+30314+30313+30318+30316+30317+30315+30312+30314+30313+30318+30316+30317+30315+30312+30314+30313+30318+30316],1,50,[],[],0,0,[],0,2030312,,2030322,30300_Skill2_Icon.png,,,
30303,小鹿回能(技能3展示用),0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],[],0,0,[],0,2020013,,2020023,30300_Skill3_Icon.png,,2020090,
30401,水元素冰箭(技能1),0,0,0,0,1,0,0,4,10000,1,1500,[],0,0,[],[30401+30406],800,400,[],2,2030411,2030480,2030421,30400_Skill1_Icon.png,SkillStatus_34,,
30404,分裂召唤低等水元素(技能2),0,0,0,0,1,0,0,0,0,1,3750,[],0,0,[],[],0,0,[300201],0,2030412,,2030422,30400_Skill2_Icon.png,SkillStatus_41,,
30501,普攻(技能1),0,0,0,0,1,0,0,0,0,1,1200,[30501+30501],500,300,[],[],0,0,[],1,2030511,,2030521,30500_Talent3_Icon.png,SkillStatus_31,,
30505,出场进入隐身状态(技能3),0,0,0,0,0,10000,1,0,0,1,1000,[],0,0,[],[],0,0,[],0,2020013,,2020023,30500_Skill3_Icon.png,SkillStatus_39,2020090,
30506,破隐一击(技能2),0,0,0,0,1,0,0,0,0,1,1500,[30508+30509],800,5,[],[],0,0,[],0,2030512,,2030522,30500_Skill2_Icon.png,SkillStatus_41,,
30508,受击破隐,0,0,0,0,1,0,0,0,0,1,100,[],0,0,[],[],0,0,[],0,,,,,MoveStatus_4,,
30601,炽焰龙息(技能1),0,0,0,0,1,0,0,0,0,1,2450,[30604],1800,5,[],[],0,0,[],0,2030611,,2030621,50000_Skill1_Icon.png,SkillStatus_33,,
30602,持续炽焰(技能2),0,0,0,0,0,0,0,0,0,1,200,[30605],1,50,[],[],0,0,[],0,2030612,,2030622,50000_Skill2_Icon.png,,,
30603,火龙回能(技能3展示用),0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],[],0,0,[],0,2020013,,2020023,50000_Skill3_Icon.png,,2020090,
30700,石头人普攻（技能1）,0,0,0,0,1,0,0,0,0,1,1833,[30700],1300,0,[],[],0,0,[],1,2030711,,2030721,60000_Skill1_Icon.png,FightStatus_5,,
30701,石头人捶地,0,0,0,0,1,15000,0,0,0,1,4000,[30701+30701+30701],1500,700,[],[],0,0,[],0,,,,,SkillStatus_31,,
30702,岩石身躯加护盾（技能2）,0,0,0,0,1,0,0,0,0,1,100,[],0,0,[30701+1]*[30702+1],[],0,0,[],0,2030712,2030780,2030722,60000_Skill2_Icon.png,,,
30703,护盾失效,0,0,0,0,1,100,0,0,0,1,50,[],5,5,[30701+-1]*[30702+-1],[],0,0,[],0,,,,,,,
30704,巨人之力(技能3),0,0,0,0,1,100,0,0,0,1,50,[],0,0,[30705+1],[],0,0,[],0,2030713,,2030723,60000_Skill3_Icon.png,,,
30800,海巨人普攻（技能2）,0,0,0,0,1,0,1,0,0,1,2900,[30801],1200,50,[],[],0,0,[],1,2030812,,2030822,60100_Talent4_Icon.png,FightStatus_5,,
30801,飞锚（技能1）,0,0,0,0,1,10000,1,0,0,1,3200,[30802],1200,0,[],[],0,0,[],0,2030811,2030880,2030821,60100_Skill1_Icon.png,SkillStatus_31,,
30802,巨人之力(技能3),0,0,0,0,1,100,0,0,0,1,50,[],0,0,[30803+1],[],0,0,[],0,2030813,,2030823,60100_Skill3_Icon.png,,,
30805,龙卷风Lv1,0,0,0,0,0,0,0,0,0,1,100,[30821],1,0,[],[],0,0,[],0,,,,,,,
30901,大树普通攻击1,0,0,0,0,1,0,0,0,0,1,3300,[30901],600,5,[],[],0,0,[],1,,,,,FightStatus_5,,
30902,大树普通攻击2,0,0,0,0,1,0,0,0,0,1,3300,[30902],1000,5,[],[],0,0,[],1,,,,,SkillStatus_36,,
30903,滋养（技能1）,0,0,0,0,0,1000,1,0,0,1,1000,[],0,0,[30901+1],[],0,0,[],0,2030911,,2030921,30900_Skill1_Icon.png,,,
30904,召唤小树人（技能2）,0,0,0,0,0,1000,1,0,0,1,100,[],0,0,[],[],0,0,[300202],0,2030912,2030980,2030922,30900_Skill2_Icon.png,,,
30905,巨人之力(技能3),0,0,0,0,1,100,0,0,0,1,50,[],0,0,[30906+1],[],0,0,[],0,2030913,,2030923,30900_Skill3_Icon.png,,,
31001,精灵分裂（技能1）,0,0,0,0,1,10000,1,0,0,1,50,[],0,0,[],[],0,0,[300204],0,2031011,2031080,2031021,31000_Skill1_Icon.png,,,
31002,普攻,0,0,0,0,1,0,0,0,0,1,1500,[],0,0,[],[31002],1000,5,[],1,,,,,FightStatus_5,,
31101,火元素分裂(技能2),0,0,0,0,1,0,0,0,0,1,1500,[],0,0,[],[],0,0,[300203],0,2031112,,2031122,31100_Skill2_Icon.png,SkillStatus_41,,
31102,火元素普攻（技能1）,0,0,0,0,1,0,0,0,0,1,1400,[31101],800,0,[],[],0,400,[],1,2031111,,2031121,31100_Skill1_Icon.png,FightStatus_5,,
40000,骷髅战士加诅咒普攻（技能2）,0,0,0,0,1,0,0,0,0,1,1200,[40003],600,5,[],[],0,0,[],1,2040012,,2040022,40000_Talent2_Icon.png,SkillStatus_31,,
40001,骷髅战士普通攻击,0,0,0,0,1,0,0,0,0,1,1200,[40001],600,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
40002,复活姿势（技能1）,0,0,0,0,0,0,0,0,0,1,500,[],0,5,[],[],0,0,[],0,2040011,,2040021,40000_Skill1_Icon.png,SkillStatus_43,,
40005,死亡后召唤骷髅战士,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[300302],0,,,,,,,
40101,僵尸普通攻击,0,0,0,0,1,0,0,0,0,1,2000,[40101],1500,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
40110,毒雾-亡语5S（技能1）,0,0,0,0,0,0,0,0,0,1,1000,[],0,5,[],[],0,0,[300301],0,2040111,,2040121,40100_Skill1_Icon.png,,,
40111,赋予毒雾扣血和加血效果,0,0,0,0,0,10000,1,0,0,1,1000,[40102],0,5,[],[],0,0,,0,,,,,,,
40112,僵尸毒雾加盾（技能2）,0,0,0,0,0,0,0,0,0,1,1450,[],0,0,[40104+1],[],0,0,[],0,2040112,,2040122,40100_Skill2_Icon.png,,,
40200,骷髅弓手加诅咒普攻（技能2）,0,0,0,0,1,0,0,0,0,1,1600,[],0,0,[],[40207],1400,5,[],1,2040212,,2040222,40200_Talent2_Icon.png,SkillStatus_31,,
40202,复活姿势（技能1）,0,0,0,0,0,0,0,0,0,1,500,[],0,5,[40003+1],[],0,0,[],0,2040211,,2040221,40200_Skill1_Icon.png,,,
40205,骷髅弓手普攻,0,0,0,0,1,0,0,0,0,1,1600,[],0,5,[],[40203],1400,5,[],1,,,,,SkillStatus_31,,
40300,魂爆（技能1）,0,0,0,0,0,3000,0,0,0,1,500,[],0,5,[40301+1]*[404+1],[],0,0,[],0,2040311,,2040321,40300_Talent3_Icon.png,,,
40301,幽灵普通攻击,0,0,0,0,1,0,0,0,0,1,1600,[40301],1000,5,,[],0,0,[],1,,,,,SkillStatus_31,,
40400,召唤骷髅战士新（技能1）,0,0,0,0,1,0,0,0,0,1,0,[],0,0,[],[],0,0,[300303],0,2040411,2040480,2040421,40400_Skill1_Icon.png,,,
40404,召唤骷髅耗蓝,0,0,0,0,1,0,0,4,10000,1,2000,[],0,0,[],[],0,0,[],2,,,,,,,
40407,骷髅召唤师蓝色召唤法阵,0,0,0,0,1,100,0,0,0,1,1830,[],0,0,[],[40402+40403],600,1,[],0,,,,,,,
40408,灵魂之火（技能2）,0,0,0,0,1,0,1,0,0,1,1600,[],0,0,[],[40406],600,0,[],1,2040412,,2040422,40400_Skill2_Icon.png,SkillStatus_31,,
40409,给骷髅上灵魂火标记,0,0,0,0,1,0,0,0,0,1,0,[],0,0,[40407+1],[],0,0,[],0,,,,,,,
40410,给骷髅召唤师上灵魂火层数,0,0,0,0,1,2000,1,0,0,1,0,[],0,0,[40406+1],[],0,0,[],0,,,,,,,
40412,骷髅召唤师紫色召唤法阵,0,0,0,0,1,10000,0,0,0,1,1830,[40404+40403],600,1,[],[],0,0,[],0,,,,,,,
40500,雪女风吹雪新（技能1）,0,0,0,0,1,0,1,4,10000,1,2500,[40501+40510],400,0,[],[],0,0,[],2,2040511,2040580,2040521,40500_Skill1_Icon.png,SkillStatus_34,,
40501,风吹雪冰冻,0,0,0,0,0,0,0,0,0,1,100,[],0,0,[40502+1],[],0,0,[],0,,,,,,,
40510,冰天雪地（技能2）,0,0,0,0,1,20000,1,0,0,1,1500,[40509],0,0,[],[],0,0,[],0,2040512,,2040522,40500_Talent4_Icon.png,,,
40600,屠夫普通攻击1,0,0,0,0,1,0,0,0,0,1,830,[40600],650,5,[],[],0,0,[],1,,,,,FightStatus_5,,
40601,屠夫普通攻击2,0,0,0,0,1,0,0,0,0,1,1000,[40600],650,5,[],[],0,0,[],1,,,,,,,
40602,疯砍（技能3）,0,0,0,0,1,10000,1,0,0,1,2900,[40601+40601+40601+40601+40601],1500,300,[],[],0,0,[],0,2040613,2040680,2040623,40600_Talent3_Icon.png,SkillStatus_35,,
40603,刽子手吸血（技能1）,0,0,0,0,0,20000,1,0,0,1,100,[],0,0,[40601+1],[],0,0,[],0,2040611,,2040621,40600_Skill2_Icon.png,,,
40607,屠夫毒雾加吸血（技能2）,0,0,0,0,0,0,0,0,0,1,1450,[],0,0,[40614+1],[],0,0,[],0,2040612,,2040622,40600_Skill1_Icon.png,,,
40701,死亡骑士普攻1,0,0,0,0,1,0,1,0,0,1,3060,[40701],650,0,[],[],0,0,[],1,,,,,SkillStatus_31,,
40702,死亡骑士普攻2,0,0,0,0,1,0,1,0,0,1,3060,[40702],1000,0,[],[],0,0,[],1,,,,,SkillStatus_32,,
40703,恐惧光环(技能2),0,0,0,0,1,0,1,0,0,1,2000,[],0,0,[40701+1],[],0,0,[],0,2040712,,2040722,40700_Talent3_Icon.png,,,
40704,添加恐惧光环,0,0,0,0,1,10000,1,0,0,1,5400,[],0,0,[40706+1],[],0,0,[],0,,,,,,,
40710,灵魂冲击,0,0,0,0,1,0,0,0,0,1,100000,[],0,0,[],[],0,0,[],0,,,,,SkillStatus_35,,
40714,死亡骑士瘟疫护盾（技能1）,0,0,0,0,0,0,0,0,0,1,1450,[],0,0,[40728+1],[],0,0,[],0,2040711,,2040721,40700_Skill2_Icon.png,,,
40800,巫妖暗黑法球（技能1）,0,0,0,0,1,0,0,4,10000,1,3060,[40800+40806],1500,100,[],[],0,0,[],2,2040811,2040880,2040821,40800_Skill1_Icon.png,SkillStatus_32,,
40812,摄魂眩晕（技能2）,0,0,0,0,1,0,0,0,0,1,150,[],0,0,[40822+1],[],0,0,[],0,2040812,,2040822,40800_Talent3_Icon.png,,,
40901,吸血鬼普攻双击,0,0,0,0,1,0,0,0,0,1,2700,[40900+40906],1600,400,[],[],0,0,[],1,,,,,SkillStatus_31,,
40902,吸血鬼血腥之鞭（技能1）,0,0,0,0,1,10000,1,0,0,1,5400,[40901+40911],1600,500,[],[],0,0,[],0,2040911,2040980,2040921,40900_Skill1_Icon.png,SkillStatus_32,,
40903,吸血鬼鲜血盛宴（技能2）,0,0,0,0,1,10000,1,0,0,1,5400,[],0,0,[40901+1],[],0,0,[],0,2040912,,2040922,40900_Skill2_Icon.png,,,
40907,吸血鬼概率诅咒秒杀（技能3）,0,0,0,0,1,0,0,0,0,1,2700,[40908+40909],1600,400,[],[],0,0,[],0,2040913,,2040923,40900_Talent4_Icon.png,SkillStatus_31,,
40908,诅咒秒杀,0,0,0,0,0,0,0,0,0,1,100,[],10,0,[40913+1],[],0,0,[],0,,,,,,,
41001,黑寡妇射击（技能1）,0,0,0,0,1,0,0,0,0,1,1000,[],0,5,[],[41001],300,5,[],1,2041011,,2041021,41000_Skill1_Icon.png,SkillStatus_31,,
41002,黑寡妇喷毒（技能2）,0,0,0,0,0,14000,0,0,0,1,1000,[],0,5,[],[41002],400,5,[],0,2041012,2041080,2041022,41000_Skill2_Icon.png,SkillStatus_32,,
41003,黑寡妇召唤毒雾,0,0,0,0,0,0,0,0,0,1,1000,[],0,5,[],[],0,0,[300304],0,,,,,,,
41004,赋予毒雾伤害能力,0,0,0,0,0,0,0,0,0,1,1000,[41003],5,5,[],[],0,0,[],0,,,,,,,
91501,莱奥技能2,1,0,1,3,0,100000,1,1,0,1,4000,[],0,5,[],[],0,0,[],0,2001511,,2001521,1500_PlayerSkill1_Icon.png,SkillStatus_32,,1500_PlayerSkill1_Icon_c.png
91504,莱奥进入技能1空状态,1,0,1,2,0,100000,1,1,0,1,4000,[],0,5,[],[],0,0,[],0,2001512,,2001522,1500_PlayerSkill2_Icon.png,SkillStatus_35,,1500_PlayerSkill2_Icon_c.png
91507,觉醒,1,0,1,4,0,100000,1,1,0,1,2000,[],0,5,[],[],0,0,[],0,2001513,,2001523,1500_PlayerSkill3_Icon.png,SkillStatus_38,,1500_PlayerSkill3_Icon_c.png
100101,召唤巨熊（召唤）,0,0,0,0,0,48000,0,1,0,1,2000,[],0,5,[],[],0,0,[300009],0,,,,,,,
100102,召唤巨熊动作,0,0,0,0,0,48000,0,1,0,1,2000,[],0,5,[],[],0,0,[],0,,,,,SkillStatus_33,,
100103,精灵之光（技能1）,0,0,0,0,0,100000,0.8,1,0,1,3000,[170001],400,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
101101,黑熊普通攻击1,0,0,0,0,1,500,1,0,0,1,1500,[21201],700,5,[],[],0,0,[],1,,,,,FightStatus_5,,
101102,黑熊普通攻击2,0,0,0,0,1,500,1,0,0,1,1500,[21202],1450,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
101301,普攻1,0,0,0,0,0,1000,1,0,0,1,1000,[101301],100,5,[],[],0,0,[],1,,,,,SkillStatus_41,,
101302,普攻2,0,0,0,0,0,1000,1,0,0,1,1000,[101302+101302+101302+1506+1506+1506+1506+101301],200,100,[],[],0,0,[],1,,,,,SkillStatus_42,,
101303,手里剑,0,0,0,0,0,5000,1,0,0,1,3500,[],0,0,[],[101303],1000,0,[],0,,,,,SkillStatus_36,,
101400,召唤大树,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[401401],1,,,,,,,
101401,骷髅普攻1,0,0,0,0,1,1600,1,0,0,1,1200,[101401],600,0,[],[],0,0,[],1,,,,,SkillStatus_31,,
101402,召唤大石头,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[401402],1,,,,,,,
101403,召唤牧师,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[401400],1,,,,,,,
101404,召唤一星骷髅战士前,0,0,0,0,1,15000,1,4,100,1,2000,[101404+101405],0,0,[],[],0,0,[301002],0,2040411,,2040421,icon_heroskill_1001.png,,,
101405,召唤一星骷髅战士后,0,0,0,0,1,0,1,0,0,1,100,[],0,0,[],[],0,0,[301002],0,,,,,,,
101406,石头人普攻,0,0,0,0,1,0,1,0,0,1,1833,[101406],1300,0,[],[],0,0,[],1,0,,0,,FightStatus_5,,
101407,大树普通攻击1,0,0,0,0,1,0,0,0,0,1,3300,[30901],600,5,[],[],0,0,[],1,,,,,FightStatus_5,,
101408,大树普通攻击2,0,0,0,0,1,0,0,0,0,1,3300,[30902],1000,5,[],[],0,0,[],1,,,,,SkillStatus_36,,
101601,嗜血光环,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[101608+1],[],0,0,[],0,,,,,,,
101604,召唤骷髅弓箭手,0,0,0,0,1,15000,1,4,100,1,2000,[101404+101405],0,0,[],[],0,0,[301003],0,2040411,,2040421,icon_heroskill_1001.png,,,
101605,召唤骷髅将军,0,0,0,0,1,0,1,0,0,1,100,[],0,0,[],[],0,0,[301005],0,,,,,,,
101801,盗墓老大重击,0,0,0,0,1,0,1,0,0,1,3800,[101801],1000,0,[],[],0,0,[],1,,,,,SkillStatus_41,,
101802,盗墓老大普攻,0,0,0,0,1,0,1,0,0,1,3800,[101802],600,0,[],[],0,0,[],1,,,,,SkillStatus_42,,
101803,天降骷髅1,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[301007],1,,,,,,,
101804,天降骷髅2,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[301007],1,,,,,,,
101805,跳起,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[],1,,,,,SkillStatus_33,,
101806,骷髅战士1,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[301008],1,,,,,,,
101807,骷髅战士1,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[301008],1,,,,,,,
101817,召唤幽灵1,0,0,0,0,0,2000,1,0,0,1,2000,[],0,0,[],[],0,0,[301006],0,,,,,,,
101818,召唤幽灵2,0,0,0,0,0,2000,1,0,0,1,2000,[],0,0,[],[],0,0,[301006],0,,,,,,,
101819,召唤幽灵3,0,0,0,0,0,2000,1,0,0,1,2000,[],0,0,[],[],0,0,[301006],0,,,,,,,
101901,亡灵大军,0,0,0,0,0,100,1,0,0,1,100,[],0,0,[],[],0,0,[301009],0,,,,,,,
101902,亡灵大军,0,0,0,0,0,100,1,0,0,1,100,[],0,0,[],[],0,0,[301009],0,,,,,,,
101980,召唤红蜘蛛,0,0,0,0,0,0,0,0,0,1,200,[],0,0,[],[],0,0,[301017],0,,,,,,,
102001,骑士普攻,0,0,0,0,1,0,0,0,0,1,1400,[11000],800,5,[],[],0,0,[],1,,,,,FightStatus_5,,
102002,圣盾术,0,0,0,0,0,90000,1,0,0,1,1500,[],500,5,[102002+1]*[102003+1],[],0,0,[],0,,,,,SkillStatus_33,,
102101,无敌战吼,1,0,0,0,0,0,0,0,0,1,600,[],1,5,[102102+1],[],0,0,[],0,,,,,,,
102201,庇护光环,0,0,0,0,0,100,0,0,0,1,100,[],0,5,[102202+1],[],0,0,[],0,,,,,,,
102203,圣光审判,0,0,0,0,0,22000,1,0,0,1,2350,[102203],1500,5,[],[],0,0,[],0,,,,,SkillStatus_32,,
102301,熊怪普攻1,0,0,0,0,1,800,1,0,0,1,800,[102301],500,0,[],[],0,0,[],1,,,,,SkillStatus_41,,
102302,熊怪普攻2,0,0,0,0,1,1000,1,0,0,1,800,[102302],500,0,[],[],0,0,[],1,,,,,SkillStatus_42,,
102303,熊怪连击,0,0,0,0,1,10000,1,0,0,1,1600,[102303+102303+102303+102303],300,300,[],[],0,0,[],0,,,,,SkillStatus_43,,
102305,召唤传送门,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301010],0,,,,,,,
102306,召唤小鹿,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301011],0,,,,,,,
102400,爆破工普通攻击,0,0,0,0,1,2000,1,0,0,1,1400,[102400],750,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
102501,召唤小蜘蛛卵,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301012],0,,,,,,,
102502,召唤蓝蜘蛛卵,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301013],0,,,,,,,
102503,召唤红蜘蛛卵,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301014],0,,,,,,,
102504,召唤小蜘蛛,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301015],0,,,,,,,
102505,召唤蓝蜘蛛,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301016],0,,,,,,,
102506,召唤红蜘蛛,0,0,0,0,0,0,0,0,0,1,500,[],0,0,[],[],0,0,[301017],0,,,,,,,
102507,BOSS蜘蛛普攻,0,0,0,0,1,0,0,0,0,1,1240,[102501],400,5,[],[],0,0,[],1,,,,,FightStatus_5,,
102508,小蜘蛛普攻,0,0,0,0,1,0,0,0,0,1,1000,[102502],400,5,[],[],0,0,[],1,,,,,FightStatus_5,,
102509,蓝蜘蛛普攻,0,0,0,0,1,0,0,0,0,1,1000,[102503],400,5,[],[],0,0,[],1,,,,,FightStatus_5,,
102510,红蜘蛛普攻,0,0,0,0,1,0,0,0,0,1,1000,[102504],400,5,[],[],0,0,[],1,,,,,FightStatus_5,,
102511,坠落地刺,0,0,0,0,0,10000,1,0,0,1,2400,[102505],1200,5,[],[],0,0,[],0,,,,,SkillStatus_33,,
102561,蛛网束缚,0,0,0,0,0,6000,1,0,0,1,3000,[102561],400,5,[],[],0,0,[],0,,,,,SkillStatus_32,,
102580,召唤红蜘蛛,0,0,0,0,0,0,0,0,0,1,200,[],0,0,[],[],0,0,[301017],0,,,,,,,
103100,召唤艾丽卡捆绑,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[301299],1,,,,,,,
103101,普攻击1攻击2,0,0,0,0,1,0,0,0,0,1,1600,[11101+11102],300,300,[],[],0,0,[],1,0,,0,,SkillStatus_42,,
103102,普攻击3,0,0,0,0,1,0,0,0,0,1,1600,[11103],300,0,[],[],0,0,[],1,0,,0,,SkillStatus_31,,
103103,刀扇Lv1,0,0,0,0,1,0,0,0,0,1,700,[11104],350,0,[],[],0,0,[],0,0,,0,,SkillStatus_32,,
103104,闪避光环,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[103105+1],[],0,0,[],0,,,,,,,
103302,召唤分身,0,0,0,0,0,12000,1,0,0,1,3000,[],0,5,[],[],0,0,[300002],0,,,,,SkillStatus_31,,
103303,斩杀,0,0,0,0,0,30000,0,0,0,1,2000,[],0,5,[],[],5,1,[],1,0,,0,0,SkillStatus_32,,
103305,刺客信条光环,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[103302+1],[],0,0,[],0,,,,,,,
103400,加农炮,0,0,0,0,1,6000,1,0,0,1,3100,[],0,0,[],[103400],2300,0,[],0,0,0,0,0,SkillStatus_31,,
103401,召唤机关铁匠,0,0,0,0,0,1900,1,0,0,1,1900,[],0,5,[],[],0,0,[301101],0,0,0,0,0,,,
103402,机关发动,0,0,0,0,0,8000,1,0,0,1,5,[],1,5,[],[],0,0,[],0,0,0,0,0,SkillStatus_32,,
103403,吊灯伤害,0,0,0,0,0,23000,1,0,0,1,2000,[],0,0,[],[103403],1200,0,[],0,0,0,0,0,,,
103500,大火球,0,0,0,0,0,0,0,4,10000,1,1700,[10706+10701],800,5,[],[],0,0,[],2,0,0,0,0,SkillStatus_31,,
103601,双抗光环,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[103602+1],[],0,0,[],0,,,,,,,
103603,召唤盾妹1,0,0,0,0,0,0,0,0,0,1,0,[],0,0,[],[],0,0,[301102],0,0,0,0,0,SkillStatus_34,,
103604,召唤盾妹2,0,0,0,0,0,0,0,0,0,1,0,[],0,0,[],[],0,0,[301103],0,0,0,0,0,0,,
103605,召唤盾妹3,0,0,0,0,0,0,0,0,0,1,0,[],0,0,[],[],0,0,[301104],0,0,0,0,0,0,,
103701,回血光环,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[103703+1],[],0,0,[],0,,,,,,,
103702,召唤守护骑士,0,0,0,0,0,0,0,0,0,1,0,[],0,0,[],[],0,0,[301107],0,0,0,0,0,0,,
103807,小鹿星落,0,0,0,0,0,0,0,4,10000,1,2200,[30312+30313+30314+30315],500,200,[],[],0,0,[],2,2030315,2030384,2030325,30300_Skill1_Icon.png,SkillStatus_35,,
103808,小鹿群星坠落能量消耗,0,0,0,0,0,0,0,3,50,1,200,[],0,0,[],[],0,0,[],0,,,,,,,
103809,小鹿群星坠落lv1,0,0,0,0,0,0,0,4,10000,1,4800,[30317+30315+30312+30314+30313+30318+30316+30317+30315+30312+30314+30313+30318+30316+30317+30315+30312+30314+30313+30318+30316],500,100,[],[],0,0,[],2,2030331,2030380,2030341,30300_Skill2_Icon.png,SkillStatus_34,,
103900,手里剑-毒,0,0,0,0,0,3000,1,0,0,1,3500,[],0,0,[],[103900],1000,0,[],0,,,,,SkillStatus_36,,
103901,狼人光环,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[103902+1],[],0,0,[],0,,,,,,,
104000,铁匠加护盾（技能1）,0,0,0,0,1,15000,1,0,0,1,1100,[],50,5,[10401+1]*[10402+1],[],0,0,[],0,2010411,2010480,2010421,10400_Skill1_Icon.png,SkillStatus_31,,
104001,铁匠普通攻击,0,0,0,0,1,2000,0,0,0,1,1600,[10401],1500,5,[],[],0,0,[],1,,,,,FightStatus_5,,
104101,龙卷风空,0,0,0,0,0,0,0,3,100,1,100,[],1,0,[104102+1]*[104103+1],[],0,0,[],0,,,,,SkillStatus_32,,
104102,海巨人普攻,0,0,0,0,1,0,1,0,0,1,2900,[104103],1200,0,[],[],0,0,[],1,,,,,FightStatus_5,,
104103,飞锚Lv1,0,0,0,0,1,7500,1,0,0,1,3200,[],600,5,[],[],0,0,[],0,2060111,2060180,2060121,60100_Skill2_Icon.png,SkillStatus_31,,
104105,龙卷风Lv1,1,0,0,0,0,0,0,0,0,1,100,[104105],1,0,[],[],0,0,[],0,2060131,,2060141,,,,
104201,母牛普攻1,0,0,0,0,1,0,0,0,0,1,1500,[104201],800,0,[],[],0,0,[],1,,,,,FightStatus_5,,
