 搜索ID,描述,列表选取,距离类型,距离参数,是否搜索死亡,身份条件,去掉自己,角色血量,角色职业,角色性别,角色是否是近战,角色种族,角色星级,角色Buff,角色ID,角色状态,搜索类型,指定条件排序,搜索的角色个数
109501,自然族青年搜索全场敌人,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[1+109503],,[],1,0,9999
109502,全场找敌方召唤师搜索,1,2,0,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,2,1
109601,巫妖霜冻新星搜索,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
109602,陷阱近战搜索,1,2,300,0,[1+1+4],1,[],[],[],0,[],[],[],,[],3,0,9999
109603,陷阱搜索到敌人,1,1,-1,0,[],1,[],[],[],0,[],[],[],,[],3,2,1
109901,恐惧光环搜索,1,2,500,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
109902,冲击波搜索,1,2,50,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
110101,传送门未搜索到召唤状态的召唤师,2,2,0,0,[0+1+4],0,[],[],[],0,[],[],[1+110102],,[],2,2,1
110102,骷髅召唤师诅咒BUFF搜索,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[0+110108],,[],1,0,9999
110103,雷球子弹搜索,1,2,50,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,9999
110501,全场回血光环搜索,2,2,0,0,[1+1+4],0,[0+99.9],[],[],0,[],[],[],,[],2,0,9999
110701,庇护光环搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+110701],,[],2,0,9999
110702,攻击搜索,1,1,1000,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,1
110703,圣光救赎,1,2,500,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
110704,圣光制裁搜索,1,2,50,0,[],1,[],[],[],0,[],[],[1+110703],,[],1,2,1
110800,牧师治疗搜索（爬楼）,2,2,0,0,[1+1+4],1,[0+90.0],[],[],0,[],[],[1+110802],,[],2,1,1
110802,牧师天使降临群体回血搜索,2,2,500,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
111001,火枪手子弹搜素,1,2,50,0,[],0,[],[],[],0,[],[],[],,[],1,2,1
111301,双抗光环搜索,2,2,500,0,[],0,[],[],[],0,[],[],[1+111302],,[],2,0,9999
111652,巨冰冰冻搜索,0,2,490,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
111671,水泉治疗,2,2,500,0,[],1,[0+95.0],[],[],0,[],[],[],,[],1,0,9999
111901,地狱之焰搜索,1,2,200,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
112201,飞锚搜索,1,2,40,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
112301,燃烧烧死敌方,1,2,200,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
112302,除去精灵大树搜索,1,2,0,0,[],1,[],[],[1+3],0,[],[],[],,[],1,0,9999
112401,搜索300敌方士兵搜索,1,2,300,1,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
112402,搜索300己方士兵搜索,2,2,300,1,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
112403,搜索300内所有人,0,2,300,1,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
112404,搜索石柱1,0,2,0,0,[],1,[],[],[],0,[],[],[0+112411],,[],3,0,9999
112601,远程攻击搜索,1,1,800,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
112701,法阵搜索敌人,1,2,460,0,[],1,[],[],[],0,[],[],[],,[],2,2,1
112702,法阵搜索友军,2,2,460,0,[],1,[],[],[],0,[],[],[],,[],2,2,1
112703,火雨搜索,1,2,125,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
112704,冰墙冰冻搜索,1,2,490,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
112705,搜索到敌方龙卷风,1,1,100,0,[],1,[],[],[],0,[],[],[0+112907],,[],3,2,1
112706,龙卷风搜索到敌人,1,2,50,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,4,1
112707,龙卷风击飞,1,2,100,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
112708,复仇女神竖劈AOE搜索,1,2,-1,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
112709,搜索刺客,0,2,150,0,[1+1+4],1,[],[0+2],[],0,[],[],[],,[],3,0,9999
113000,眩晕搜索,1,1,200,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
113001,全场搜索距离最近的一个敌方单位,1,2,0,0,[],0,[],[],[],0,[],[],[],,[],2,2,1
113002,大宝剑射程,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
113101,精灵之光搜索,2,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],3,1,1
113201,随机搜索敌方单个士兵,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,4,1
113301,神像随机秒人搜索,1,1,1600,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,4,1
113401,神像AOE搜索,1,1,1550,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
113507,终焉之剑,1,2,50,0,[],1,[],[],[],0,[],[],[1+113507],,[],1,4,1
140201,暗影炮搜索,1,2,125,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
140202,死亡镰刀aoe搜索,1,2,75,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
140203,死亡镰刀斩杀搜索,1,2,75,0,[],1,[0+30.0],[],[],0,[],[],[],,[],1,2,9999
140204,黑暗深渊搜索,1,2,300,0,[],0,[],[],[],0,[],[],[],,[],1,2,9999
140401,罗迪亚克大宝剑搜索,1,1,0,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
140501,精灵之光搜索,2,2,0,0,[1+1+4],1,[0+99.9],[],[],0,[],[],[],,[],2,1,1
140901,复仇女神竖劈AOE搜索,1,2,-1,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
140902,复仇女神龙卷风子弹搜索,1,2,70,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,9999
141101,搜索近战范围内1敌人,1,1,-1,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
141102,搜索1280范围所有敌人,1,2,640,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
142201,深渊搜索,1,2,450,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
142301,石像闪电,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,4,1
142401,毒弹,1,1,700,0,[],1,[],[],[],0,[],[],[],,[],1,4,1
142402,毒弹伤害结算搜索,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
142601,加农炮搜索,1,1,1800,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,1
142701,熊普攻子弹搜索,1,2,60,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
143200,给己方战士卫士加血,2,2,0,0,[1+1+4],1,[0+90.0],[0+1+6],[],0,[],[],[],,[],3,1,1
143300,搜索法师,1,2,0,0,[1+1+4],1,[],[0+4],[],0,[],[],[],,[],1,4,1
143600,大宝剑,1,2,500,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
161001,投石机AOE搜索,1,2,200,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
161301,子弹双向100群体搜索,1,2,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
161302,元气弹2000群体搜索,1,1,2000,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
161401,尸气弹伤害结算搜索,1,2,175,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
161402,尸气弹瘟疫,2,2,150,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
161501,血腥之鞭搜索,1,2,380,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
161502,吸血鬼鲜血凋零搜索,2,2,170,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
161503,鲜血凋零印记,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,1
161504,搜索死亡,1,2,0,1,[1+1+4],1,[],[],[],0,[],[],[0+161502],,[0+1],3,0,9999
161505,血腥凋零召唤搜索,1,2,440,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
161601,搜索半径500亡灵士兵,0,2,500,0,[1+1+4],1,[],[],[],0,[0+2],[],[],,[],1,0,9999
161602,搜索四星聚魂光环巫妖,0,2,300,0,[],1,[],[],[],0,[],[],[0+161601],,[],3,0,9999
161603,黑暗之力搜索被诅咒敌方单位,1,2,150,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
161604,黑暗之力搜索敌方单位,1,2,150,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
161701,瘟疫BUFF搜索,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[1+161712],,[],1,0,9999
161702,瘟疫结算搜索,2,2,275,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
161703,标记寻找瘟疫之源,1,2,10,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,2,1
162101,子弹双向50搜索,1,2,50,0,[0+1+4],1,[],[],[],0,[],[],[],,[],1,2,1
162102,箭雨AOE搜索,1,2,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
162201,风吹雪子弹搜索,1,2,350,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
162202,风吹雪子弹带诅咒搜索,1,2,350,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
162301,左绿色门搜索目标,0,2,50,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
162302,搜索传送门,0,2,0,0,[1+1+4],1,[],[],[],0,[],[],[0+162309],,[],2,0,9999
162303,死亡沼泽搜索,0,2,400,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,0,9999
162401,搜索炮台,0,2,0,0,[],1,[],[],[],0,[],[],[0+162406],,[],1,2,1
162402,找自己通用搜索（包括死亡）,3,2,0,1,[],0,[],[],[],0,[],[],[],,[],1,2,1
162403,搜索炮台2,0,2,0,0,[],1,[],[],[],0,[],[],[0+162413],,[],1,2,1
162404,攻击范围搜索,1,1,-2,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
162405,搜索老铁匠,0,2,0,0,[],1,[],[],[],0,[],[],[0+162409],,[],1,2,1
162433,小兵自爆伤害搜索,1,2,300,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
162501,搜索近战范围内1敌人,1,1,-1,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
162502,搜索1280范围所有敌人,1,2,640,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
162601,搜索900范围所有敌人,1,2,850,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
162602,坠落地刺,1,1,800,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
162603,搜索水晶,0,2,0,0,[],1,[],[],[],0,[],[],[0+162699],,[],1,2,1
162608,蛛网束缚,1,2,1500,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
,,,,,,,,,,,,,,,,,,,
165402,搜索300范围所有敌人,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
,,,,,,,,,,,,,,,,,,,
165601,冰女冰弹冰冻搜索,1,2,50,0,[],1,[],[],[],0,[],[],[1+165603],,[],1,2,1
165602,冰女暴风雪搜索,1,2,115,0,[],1,[],[],[],0,[],[],[1+165603],,[],2,0,9999
165603,火种技能搜索,1,2,50,0,[],1,[],[],[],0,[],[],[1+165603],,[1+16],2,2,1
165604,找没有火种敌方士兵,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[1+165603],,[],2,0,9999
165701,位置1(最近)搜索boss,2,2,380,0,[],1,[],[],[],0,[],[],[],[0+165700],[],3,0,1
165702,位置2搜索boss,2,2,760,0,[],1,[],[],[],0,[],[],[],[0+165700],[],3,0,1
165703,位置3搜索boss,2,2,1130,0,[],1,[],[],[],0,[],[],[],[0+165700],[],3,0,1
165704,位置4搜索boss,2,2,1510,0,[],1,[],[],[],0,[],[],[],[0+165700],[],3,0,1
165705,搜索上一面镜子,2,2,190,0,[],1,[],[],[],0,[],[],[],[0+310401],[],3,0,1
165801,普攻子弹搜索,1,2,150,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
165802,冥斩子弹搜索,1,1,200,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
170001,艾丽卡治疗搜索,2,2,0,0,[1+1+4],1,[0+95.0],[],[],0,[],[],[],,[],2,1,1
170100,庇护光环搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+170107],,[],2,2,9999
170101,圣光领域对敌,1,2,500,0,[],1,[],[],[],0,[],[],[1+170105],,[],1,2,9999
170102,圣光领域对友,2,2,500,0,[],1,[],[],[],0,[],[],[1+170106],,[],2,2,9999
170103,圣光救赎,1,2,500,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170104,圣光制裁搜索,1,2,50,0,[],1,[],[],[],0,[],[],[1+170104],,[],1,2,1
170201,大招搜索敌方召唤师,1,2,200,0,[0+1+4],0,[],[],[],0,[],[],[],,[],1,2,1
170202,刺客技能2目标搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,4,1
170203,刺客技能3刺杀搜索,1,1,0,0,[0+1+4],1,[],[],[],0,[],[],[],,[],1,2,1
170250,刺客信条光环目标,2,2,0,0,[1+1+4],1,[],[],[],1,[],[],[1+170250],,[],2,2,9999
170300,搜索闪电印记,1,1,150,0,[1+1+4],1,[],[],[],0,[],[],[0+170300],,[],1,2,9999
170301,雷电风暴搜索闪电标记,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+170303],,[],1,4,1
170302,1技能搜索,1,2,150,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170303,搜索不带闪电印记,1,1,150,0,[],1,[],[],[],0,[],[],[1+170300],,[],1,2,9999
170304,闪电光环搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+170312],,[],1,4,1
170305,电弧爆炸搜索,0,2,400,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,2,9999
170306,雷暴爆炸搜索,1,2,400,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,9999
170307,全场雷暴搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[0+170300],,[],1,2,9999
170308,大招搜索三层印记,1,2,450,0,[1+1+4],1,[],[],[],0,[],[],[0+170312],,[],1,2,9999
170309,大招搜索,1,2,450,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,9999
170310,大招只搜索召唤师,1,2,450,0,[0+1+4],1,[],[],[],0,[],[],[],,[],1,2,9999
170311,全场搜到对面召唤师处于非待机状态,1,2,0,1,[0+1+4],0,[],[],[],0,[],[],[],,[1+3],1,2,1
170401,火法火球搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170402,火法火雨搜索,1,2,125,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170403,火雨残炎燃烧搜索,1,2,330,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170404,火龙喷火搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170413,新手关卡火龙残炎燃烧搜索,1,2,330,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170450,魔攻光环目标,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+170450],,[],3,2,9999
170501,冰女冰弹冰冻搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,2,1
170502,冰女冰弹减速中心点搜索,2,2,300,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,2,9999
170503,冰女暴风雪搜索,1,2,115,0,[],1,[],[],[],0,[],[],[],,[],1,2,9999
170504,冰女冰弹减速搜索,1,2,500,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,2,9999
170550,回蓝光环目标,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+170550],,[],2,2,9999
180001,艾丽卡治疗搜索1,2,2,0,0,[1+1+4],1,[0+70.0],[],[],0,[],[],[],[],[],3,1,1
180002,艾丽卡治疗搜索2,2,2,0,0,[1+1+4],1,[0+55.0],[],[],0,[],[],[],[],[],3,1,1
180003,艾丽卡治疗搜索3,2,2,0,0,[1+1+4],1,[0+30.0],[],[],0,[],[],[],[],[],3,1,1
180600,机器人冰弹搜索,1,1,1700,0,[1+1+4+5],1,[],[],[],0,[],[],[],[],[],1,2,1
180900,机器人火球搜索,1,1,1700,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,2,1
