,描述,动画文件,动画标签,动画生命周期,播放速率,是否循环,缩放,Zorder作用域,Zorder值,偏移量,色相饱和度明度,动画第1帧开始是否淡入,动画最后1帧是否淡出,音乐ID,播放速度影响因素
11100,影舞者普攻1命中（金色）,30804,Attack1_HitBuff2,0,1,0,[1.0+1.0],0,1,[-100+-20],[],0,0,0,0
11103,影舞者刀扇命中（金色）,30806,30803_Skill2_Hit,0,1,0,[1.3+1.0],0,1,[-10+20],[],0,0,0,0
11109,影舞者普攻1刀光,30803,30800_Attack1_Effect1,0,1,0,[1.3+1.3],0,1,[0+0],[],0,0,0,1
11110,影舞者普攻2刀光,30803,30800_Attack2_Effect1,0,1,0,[1.3+1.3],0,1,[0+0],[],0,0,0,1
11112,影舞者刀扇刀光（金色）,30803,30800_Skill2_Effect1,0,1,0,[1.3+1.3],0,1,[0+0],[],0,0,0,0
11201,盗贼小妹普攻1刀光,11201,11200_Attack1_Effect1,0,1,0,[2.0+2.0],0,1,[0+-18],[],0,0,0,1
11202,盗贼小妹普攻2刀光,11201,11200_Attack2_Effect1,0,1,0,[2.0+2.0],0,1,[0+0],[],0,0,0,1
11301,盗墓小弟普攻1刀光,11301,11300_Attack1_Effect1,0,1,0,[1.67+1.67],0,1,[0+0],[],0,0,0,1
11302,盗墓小弟普攻2刀光,11301,11300_Attack2_Effect1,0,2.5,0,[1.67+1.67],0,1,[0+0],[],0,0,0,1
11401,爆破工子弹,11401,11400_Attack1_Bullet,0,1,1,[1.0+1.0],0,100,[0+0],[],0,0,,0
11402,爆破工子弹命中,11402,11400_Attack1_Hit1,0,1,0,[2.0+2.0],0,100,[0+0],[],0,100,[11402+0],0
11403,爆破工亡语命中,11402,11400_Attack1_Hit1,0,1,0,[0.7+0.7],0,100,[0+0],[],0,100,0,0
11601,黑衣刀手普攻1刀光,11601,11600_Attack1_Effect1,0,1,0,[2.0+2.0],0,1,[20+0],[],0,0,0,1
11602,黑衣刀手普攻2刀光,11601,11600_Attack2_Effect1,0,1,0,[2.0+2.0],0,1,[-20+-32],[],0,0,0,1
11700,黑衣镖手飞镖子弹,11701,11700_Attack1_Bullet,0,1,1,[1.0+1.0],0,1,[120+40],[],0,0,0,0
11701,飞镖命中(被击点为基点),203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[11702+0],1
12001,盾妹普攻1刀光,12003,12000_Attack1_Effect1,0,1,0,[2.0+2.0],0,1,[0+0],[],0,0,0,1
12002,盾妹普攻2刀光,12003,12000_Attack2_Effect1,0,1,0,[2.0+2.0],0,1,[0+0],[],0,0,0,1
12003,盾妹技能1,12003,12000_Skill1_Effect1,0,1,0,[2.0+2.0],0,1,[0+0],[],0,0,0,0
12004,盾妹技能2,12003,12000_Skill2_Effect1,0,1,1,[2.0+2.0],0,1,[0+0],[],0,100,0,0
12005,盾妹技能4,12003,12000_Skill4_Effect1,0,1,0,[2.0+2.0],0,1,[0+0],[],0,0,0,0
20001,狂击1,20011,20000_Attack1_Hit,0,1,1,[0.7+0.7],0,1,[0+0],[],0,0,0,0
20002,狂击2,20011,20000_Attack1_Hit,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
20003,狂击3,20011,20000_Attack1_Hit,500,1,0,[1.4+1.4],0,1,[0+0],[],0,200,0,0
20005,普攻1刀光特效,20005,20000_Attack1_Effect,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
20006,普攻2刀光特效,20005,20000_Attack2_Effect,0,1,0,[1.0+1.0],0,1,[0+-15],[],0,0,0,1
20007,技能1刀光特效,20005,20000_Skill1_Effect,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
20008,技能2刀光特效,20005,20000_Skill2_Effect,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
20009,狼人进入怒意,450,Spunk_Born,0,0.7,0,[1.0+1.0],0,-1,[0+],[],0,0,0,0
20010,狼人持续怒意,450,Spunk_Last,0,1,1,[1.0+1.0],0,-1,[0+],[],0,0,0,0
20011,狼人推出怒意,450,Spunk_Die,0,1,0,[1.0+1.0],0,-1,[0+],[],0,0,0,0
21203,黑熊普攻1刀光,402,Attack_Effect4,0,0.8,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
21204,黑熊普攻2刀光,402,Attack_Effect5,0,0.8,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
21303,灰狼普攻1刀光,402,Attack_Effect6,0,0.7,0,[1.25+1.25],0,1,[0+0],[],0,0,0,1
21304,灰狼普攻2刀光,402,Attack_Effect7,0,0.7,0,[1.25+1.25],0,1,[0+0],[],0,0,0,1
20501,牛头人普攻2子弹命中,20503,Attack2_Hit,0,1,0,[1.0+1.0],0,-1,[30+-80],[],0,0,0,0
20502,酋长践踏践踏,20505,Skill1_Hit,0,1,0,[1.2+1.2],0,-1,[0+0],[],0,0,0,0
20503,牛头人狂暴BUFF,409,Burst,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
20504,牛头人普攻1特效,20504,20500_Attack1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
20505,牛头人普攻2特效1,20504,20500_Attack2_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
20506,牛头人技能1特效,20504,20500_Attack2_Effect2,0,1,0,[1.0+1.0],0,1,[0+-500],[],0,0,0,0
20507,牛头人技能2特效,409,20000_Skill2_Burst,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
20508,牛头人普攻2特效2,20504,20500_Attack2_Effect2,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
20509,牛头人重生特效,20507,20500_Reborn_Effect1,0,1.5,0,[1.0+1.0],0,1,[20+0],[],0,0,0,0
20510,牛头人践踏,20505,Skill1_Hit,0,1,0,[0.8+0.8],0,-1,[0+0],[],0,0,0,0
20901,投石机普攻子弹,20902,20902_Skill1_Bullet,0,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
20902,投石机燃烧弹子弹,20904,20903_Skill1_Bullet,0,1,1,[1.0+1.0],0,1,[0+0],[],0,100,,0
20903,投石机普攻子弹命中,430,Catapult_hit,0,1,0,[1.0+1.0],0,-1,[0+0],[],0,100,[20901+0],1
20904,投石机燃烧弹子弹命中,20905,20903_Skill1_Hit,0,1,0,[1.0+1.0],0,-1,[0+0],[],0,100,0,0
20905,燃烧弹地面特效,1003,504100_HitBuff,2000,1,1,[1.8+1.8],0,-1,[0+0],[],1000,800,[20904+0],0
20906,投石机普攻子弹,20906,20903_Skill2_Bullet,0,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
20909,投石车进入怒意,450,Spunk_Born,0,0.7,0,[1.5+1.5],0,-1,[-100+0],[],0,0,0,0
20910,投石车持续怒意,450,Spunk_Last,0,1,1,[1.5+1.5],0,-1,[-100+0],[],0,0,0,0
20911,投石车推出怒意,450,Spunk_Die,0,1,0,[1.5+1.5],0,-1,[-100+0],[],0,0,0,0
30001,小精灵自爆特效,30004,30000_Effect,0,1,0,[3.0+2.0],0,3,[0+30],[],0,1000,0,0
30002,小精灵自爆受击（友军）,30004,30000_buff,0,1,0,[1.1+1.1],0,3,[0+-50],[],0,1000,0,0
30003,小精灵自爆受击（敌军）,30004,30000_debuff,0,1,0,[1.1+1.1],0,3,[0+-50],[],0,1000,0,0
30101,精灵弓箭手普攻子弹,30103,30100_Attack2_Bullet,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
30106,精灵弓箭手高能箭特效,30104,30104_Attack2_Effect,0,1,0,[2.0+2.0],0,1,[-10+-25],[],0,0,0,0
30108,吊射动作特效,30105,Attack3_Effect1,0,1,0,[2.0+2.0],0,1,[5+-20],[],0,0,0,0
30110,箭雨子弹,30105,Attack3_Bullet1,0,1,0,[2.6+3.0],0,1,[0+0],[],0,0,0,0
30111,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[0+385],[],0,0,0,0
30112,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[0+385],[],0,0,0,0
30113,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[100+385],[],0,0,0,0
30114,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[100+385],[],0,0,0,0
30115,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[-50+350],[],0,0,0,0
30116,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[-50+350],[],0,0,0,0
30117,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[20+395],[],0,0,0,0
30118,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[20+395],[],0,0,0,0
30119,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[-50+420],[],0,0,0,0
30120,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[-50+420],[],0,0,0,0
30121,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[50+420],[],0,0,0,0
30122,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[50+420],[],0,0,0,0
30123,箭雨子弹,30106,30100_Up,0,1,1,[1.0+1.0],0,1,[-100+-385],[],0,0,0,0
30124,箭雨子弹,30106,30100_Down,0,1,1,[1.0+1.0],0,-1,[-100+-385],[],0,0,0,0
30307,小鹿星落子弹特效,30303,Skill1_Bullet,0,1,0,[0.9+0.9],0,1,[0+30],[],0,100,0,0
30308,小鹿星落命中特效身前,30304,Skill1_Hit,0,1,0,[1.5+1.5],0,1,[0+0],[],0,100,0,0
30312,小鹿星落命中特效身后,30304,Skill1_Hit,0,1,0,[1.5+1.5],0,-1,[0+0],[],0,100,0,0
30313,小鹿施法特效,30307,30300_Skill1_Effect1,0,1,1,[1.0+1.0],0,1,[25+35],[],0,0,0,0
30314,小鹿持续施法特效,30307,30303_Skill1_Effect1,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
30317,小鹿星落子弹特效,30303,Skill1_Bullet,0,1,0,[0.8+0.8],0,1,[0+30],[],0,100,0,0
30318,小鹿进入怒意,450,Spunk_Born,0,0.7,0,[0.8+0.8],0,-1,[0+0],[],0,0,0,0
30319,小鹿持续怒意,450,Spunk_Last,0,1,1,[0.8+0.8],0,-1,[0+0],[],0,0,0,0
30320,小鹿推出怒意,450,Spunk_Die,0,1,0,[0.8+0.8],0,-1,[0+0],[],0,0,0,0
30401,水元素子弹,30403,30404_Attack1_Bullet1,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
30402,水元素命中,30402,30404_Attack1_Hit,0,1,0,[1.0+1.0],0,100,[-80+0],[],0,0,[30402+0],1
30501,破隐一击命中效果,30507,30503_Skill1_Hit1,0,1,0,[2.0+2.0],0,3,[0+0],[],0,0,0,0
30502,暗夜反击命中效果,30508,30503_Skill2_Hit1,0,1,0,[2.0+2.0],0,3,[0+0],[],0,0,0,0
30504,夜刃隐身烟雾,30503,Sneak,0,1,0,[1.5+1.5],0,1,[10+-20],[],0,0,0,0
30506,攻击特效,30505,30500_Attack5_Effect_dg,0,1,0,[1.7+1.7],0,1,[-20+0],[],0,0,0,1
30601,火龙喷火特效,50003,50004_Skill1_Hit1,0,1,0,[1.0+1.0],0,3,[-70+-310],[],0,0,0,0
30604,火龙普攻命中,50006,50000_Attack1_Hit,0,1.6,0,[1.0+1.0],0,3,[0+0],[],0,0,[50002+0],0
30605,火龙喷火特效-开始,50007,50004_Skill2_Hit1,0,1,0,[1.0+1.0],0,3,[0+0],[],0,0,0,0
30606,火龙喷火特效-持续,50007,50004_Skill2_Hit2,0,1,1,[1.0+1.0],0,3,[0+0],[],0,0,0,0
30607,火龙喷火特效-结束,50007,50004_Skill2_Hit3,0,1,0,[1.0+1.0],0,3,[0+0],[],0,0,0,0
30700,石头人命中特效,60006,Attack1_HitBuff,0,1.3,0,[1.0+1.0],0,3,[0+-130],[],0,0,0,0
30703,巨石之静,201,Soldier_Export_Buff1,0,1,1,[0.95+0.95],0,-100,[-5+0],[],500,0,0,0
30707,普攻特效,60003,60000_Attack1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
30708,地震特效,60004,60000_Skill1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
30709,巨人之力特效,60005,60000_Skill5_Bullet1,0,1,1,[1.0+1.0],0,1,[0+-60],[0+-0.5+0],0,0,0,0
30710,通用护盾(被击点为基点),414,GeneralShield,0,1,1,[0.8+0.9],0,1,[0+0],[0+-0.5+0],0,100,0,0
30711,通用护盾碎裂(被击点为基点),415,GeneralShield_Break,0,1,0,[0.8+0.9],0,1,[0+0],[],0,100,0,0
30801,海巨人普攻命中,60103,60100_Attack_Hit,0,1,0,[0.8+0.8],1,1,[60+30],[],0,0,0,0
30802,海巨人飞锚命中,60104,60100_Attack2_Hit,0,1,0,[0.8+0.8],1,1,[60+30],[],0,0,[60101+0],1
30803,海巨人龙卷风命中,60105,60100_skill_Hit,0,1,0,[0.8+0.8],1,1,[60+30],[],0,0,[60101+0],0
30805,巨浪之静光环,201,Hero_Attack_Buff1,0,1,1,[0.75+0.75],0,-100,[-5+0],[],500,0,0,0
30807,海巨人普攻特效,60102,60100_Attack2_Effect1,0,1,0,[1.0+1.0],1,1,[0+0],[],0,0,0,0
30808,海巨人飞锚特效,60102,60100_Attack1_Effect1,0,1,0,[1.0+1.0],1,1,[0+0],[],0,0,0,1
30809,海巨人旋风开始特效,60102,60100_Skill1_Effect1,0,1,0,[0.8+0.8],1,1,[0+0],[],0,0,0,0
30810,海巨人旋风持续特效,60102,60100_Skill2_Effect1,0,1,1,[0.8+0.8],1,1,[0+0],[],0,0,0,0
30811,海巨人旋风结束特效,60102,60100_Skill3_Effect1,0,1,0,[0.8+0.8],1,1,[0+0],[],0,0,0,0
30901,大树回春叶子环绕特效,30912,30900_Hit_yezi,0,1,1,[1.5+1.5],0,1,[0+0],[],0,100,0,0
30902,大树治疗光芒底部,30911,30900_Hit_guang1,0,0.8,1,[2.2+1.0],1,-1,[0+0],[],0,200,[30904+0],0
30903,大树宁静特效,432,Tree_Cure,0,1,1,[1.0+1.0],0,0,[-20+0],[],0,200,0,0
30904,大树命中,203,GeneralHitBuff,0,1,0,[1.0+1.0],1,1,[0+0],[],0,100,0,0
30916,森巨人普攻1刀光,30903,30900_Attack1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
30917,森巨人普攻2刀光,30903,30900_Attack2_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
30918,滋养,448,1300-Cure,0,1,1,[0.8+1.65],0,3,[-30+850],[],0,0,0,0
30999,大树求助,30999,30999_Help,0,1,1,[1.0+1.0],0,1,[-50+-40],[],0,100,0,0
31001,普攻子弹,31001,31000_Attack1_Buff1,0,1,1,[0.8+0.8],0,1,[0+80],[],0,0,0,0
31101,火元素攻击特效,31102,31100_Attack1,0,1,0,[1.0+1.0],0,3,[0+0],[],0,0,0,1
31102,火元素受击特效,31102,31100_Hit1,0,1,0,[1.0+1.0],0,3,[-20+0],[],0,0,0,0
40001,诅咒特效,40003,40000_Hit_Debuff,0,2,1,[1.0+1.0],0,1,[-20+20],[],0,0,0,0
40002,骷髅战士普攻1刀光,40004,40000_Attack1_Effect1,0,1,0,[1.54+1.54],0,1,[0+0],[],0,0,0,1
40004,诅咒特效（消散）,40003,40000_Hit_Debuff2,0,1,0,[1.0+1.0],0,1,[-20+20],[],0,0,0,0
40102,毒雾特效,434,Poisonous_Fog3,0,1,1,[2.5+1.5],0,-1,[0+20],[],1000,1000,0,0
40103,瘟疫之源特效,434,Poisonous_Fog2,0,1,1,[1.0+1.3],0,1,[0+40],[],0,100,0,0
40104,僵尸普攻1刀光,40103,40100_Attack1_Effect1,0,1,0,[1.25+1.25],0,1,[10+0],[],0,0,0,1
40105,僵尸出生绑定特效,40103,40100_Born1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40106,僵尸死亡绑定特效,40103,40100_Death1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40107,人中毒特效,434,Poisonous_Fog3,0,1,1,[1.0+1.0],0,1,[0+40],[],1000,1000,0,0
40108,毒雾特效,434,Poisonous_Fog3,0,1,1,[2.5+1.5],1,1,[0+20],[],1000,1000,0,0
40109,防御加强BUFF,411,Defense_Enhanced,0,1,1,[1.2+1.2],0,1,[0+10],[],0,100,0,0
40110,毒雾特效,434,Poisonous_Fog3,0,1,1,[2.5+1.5],1,100,[0+20],[],1000,1000,0,0
40203,三星骷髅射手子弹,40205,Attack1_Bullet1,10000,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40304,幽灵魂爆命中,40306,Death_Hit,0,0.9,0,[1.7+1.7],0,1,[0+0],[],0,100,0,0
40305,幽灵普攻刀光,40305,40300_Attack1_Effect1,0,1,0,[1.54+1.54],0,1,[0+0],[],0,0,0,1
40306,幽灵死亡绑定特效,40305,40300_Death3_Effect1,0,0.8,0,[1.54+1.54],0,1,[0+0],[],0,0,0,0
40401,骷髅召唤师子弹,40408,40400_Attack1_Bullet1,0,1,1,[1.5+1.5],0,100,[0+0],[],0,0,0,0
40402,骷髅召唤师蓝色法阵,435,Blue_Circle,3000,0.6,1,[1.0+0.4],0,-500,[0+0],[],300,500,0,0
40403,骷髅召唤师法阵气流,436,Circle_Light,3000,0.6,1,[1.0+1.0],1,100,[0+0],[],300,500,0,0
40404,骷髅召唤师紫色法阵,437,Violet_Circle,3000,0.6,1,[1.0+0.4],0,-500,[0+0],[],300,500,0,0
40405,骷髅召唤师灵魂火炸开,40407,Attack1_Bullet1_Hit1,0,0.8,0,[1.3+1.3],0,100,[0+0],[],0,200,[40407+0],0
40406,骷髅召唤师灵魂火刀光,40407,Attack1_Effect1,0,1,0,[1.0+1.0],0,100,[0+0],[],0,0,0,0
40503,雪女收魂光环,439,Soul_Halo,0,0.5,1,[1.0+1.0],0,-100,[0+0],[],0,0,0,0
40501,雪女命中,40510,40502_Attack1_Hit,0,1,0,[1.0+1.0],0,1,[0+-60],[],0,100,[40507+0],0
40504,雪女冰天雪地地面效果,40507,40500_Death2_Buff1,11000,0.25,0,[1.2+1.2],0,-200,[0+0],[],1000,2000,0,0
40505,雪女冰天雪花粒子特效,40516,40500_Death2_Buff2,11000,1.2,1,[1.0+1.1],0,100,[0+70],[],1000,2000,0,0
40506,雪女普攻1刀光,40503,40500_Attack1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40507,雪女普攻2刀光,40503,40500_Attack2_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40508,雪女风吹雪刀光,40503,40500_Skill2_Effect1,0,1,0,[1.2+1.0],0,1,[0+0],[],0,0,0,3
40511,雪女风吹雪起手特效1,40504,40500_Charging_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,3
40512,雪女风吹雪蓄力特效2,40504,40500_Charging_Effect2,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40513,雪女风吹雪施法特效3,40504,40500_Charging_Effect3,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,3
40514,雪女风吹雪蓄力特效4,40506,40500_Charging_Effect2,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40601,疯砍命中,203,GeneralHitBuff,0,1.3,0,[2.0+2.0],0,100,[0+0],[],0,0,0,0
40602,疯砍命中2,203,GeneralHitBuff,0,1.3,0,[2.0+2.0],0,100,[0+0],[],0,0,0,0
40603,屠夫普攻1刀光,40603,40600_Attack1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
40604,屠夫普攻2刀光,40603,40600_Attack2_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
40605,疯砍刀光,40603,40600_Skill1_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
40701,死亡骑士死亡之盾,40705,40703_Skill1_Buff,0,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
40702,死亡骑士聚魂光环,201,Tallent2_Buff,0,0.5,1,[1.0+1.0],0,-200,[0+0],[],0,100,0,0
40704,死亡骑士戳刺命中特效,40704,40703_Attack3_Hit,0,1,0,[1.0+1.0],0,100,[0+0],[],0,0,0,0
40706,死亡骑士普攻1刀光,40703,40700_Attack1_Effect1,0,1,0,[0.83+0.83],0,1,[10+0],[],0,0,0,1
40707,死亡骑士普攻2刀光,40703,40700_Attack2_Effect1,0,1,0,[0.83+0.83],0,1,[-10+0],[],0,0,0,1
40708,死亡骑士技能1刀光,40703,40700_Skill1_Effect1,0,1,0,[0.83+0.83],0,-500,[-30+0],[],0,0,0,0
40709,死亡骑士黑雾子弹,40709,40700_Skill2_Bullet,0,1,1,[1.0+1.0],0,1,[0+0],[0+0.5+0.02],0,100,0,0
40800,技能1子弹,440,Dark_Bullet,0,2,0,[1.0+1.0],0,1,[0+0],[],0,0,[40805+0],3
40808,巫妖技能起手绑定特效,40803,40800_Skill1_Effect1,0,1,0,[1.25+1.25],0,100,[0+0],[],0,0,0,3
40809,巫妖技能循环绑定特效,40803,40800_Skill1_Effect2,0,1,1,[1.25+1.25],0,100,[0+0],[],0,0,0,3
40810,巫妖技能施放绑定特效,40803,40800_Skill1_Effect3,0,1,0,[1.25+1.25],0,100,[0+0],[],0,0,0,3
40902,吸血鬼普攻1刀光,40904,40900_Attack1_Effect1,0,1,0,[1.48+1.48],0,1,[0+0],[],0,0,0,1
40903,吸血鬼普攻2刀光,40904,40900_Attack2_Effect1,0,1,0,[1.48+1.48],0,1,[0+0],[],0,0,0,1
40904,吸血鬼技能1绑定特效,40904,40900_Skill1_Effect1,0,1,0,[1.54+1.54],0,1,[0+0],[],0,0,0,0
40905,吸血鬼普攻3刀光,40905,40900_Attack1_Effect1,0,1,0,[1.54+1.54],0,1,[0+0],[],0,0,0,1
40906,吸血鬼普攻4刀光,40905,40900_Attack2_Effect1,0,1,0,[1.54+1.54],0,1,[0+0],[],0,0,0,1
40907,绞杀秒杀特效,419,Blood_Hit,0,0.6,0,[3.5+3.5],0,500,[0+0],[],0,0,0,1
41000,黑寡妇子弹飞行,41001,41000_Bullet,0,1,1,[0.8+0.5],0,-1,[0+0],[],0,0,0,1
41001,黑寡妇子弹命中,41001,41000_Hit,0,1,0,[0.5+0.5],0,100,[0+0],[],0,0,0,1
41002,黑寡妇命中中毒,445,Poisoning,0,2,1,[1.2+2.0],0,1,[0+20],[],0,0,0,0
100100,紫色法阵,437,Violet_Circle,300000,0.6,1,[1.0+0.4],0,-500,[0+0],[],300,500,0,0
100201,飞铲子弹,100201,Skill1_Bullet,0,1,1,[0.6+1.0],0,1,[0+0],[],0,0,[100203+0],0
100202,飞铲命中,100202,Skill1_Hit,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
100203,尸气弹子弹,100203,Skill2_Bullet,0,1,1,[1.4+1.4],0,1,[0+0],[],0,0,0,0
100204,尸气弹爆炸,100204,Skill2_Explosion,0,0.8,0,[1.0+1.0],0,1,[0+0],[],0,0,[100206+0],0
100205,尸气弹中毒,445,Poisoning,0,2,1,[1.2+2.0],0,1,[0+20],[],0,0,0,0
100301,诅咒命中,100301,100300_Skill3_Bullet,0,1,0,[0.6+1.6],0,1,[0+0],[],0,0,[100304+0],0
100302,忏悔圆球环绕,100302,100300_Skill4_Buff,0,1,1,[1.0+1.0],0,1,[10+30],[],0,0,0,0
100303,忏悔命中,100303,100300_Skill4_Hit,0,0.7,0,[0.6+0.6],1,1,[-10+50],[],0,0,[100305+0],0
100304,召唤绑定特效红,100304,100300_Skill1_Effect1,0,1,0,[1.0+1.0],0,100,[0+0],[],0,0,0,0
100305,召唤绑定特效红底,100304,100300_Skill1_Effect2,0,1,0,[1.0+1.0],0,-100,[0+0],[],0,0,0,0
100306,召唤绑定特效蓝,100304,100300_Skill2_Effect1,0,1,0,[1.0+1.0],0,100,[0+0],[],0,0,0,0
100307,召唤绑定特效蓝底,100304,100300_Skill2_Effect2,0,1,0,[1.0+1.0],0,-100,[0+0],[],0,0,0,0
100308,诅咒绑定特效,100304,100300_Skill3_Effect1,0,1,0,[1.0+1.0],0,-100,[0+0],[],0,0,0,0
100401,烟雾弹,100401,Fog,0,1,0,[1.0+1.0],1,1,[0+100],[],0,0,0,0
100402,手里剑,100402,Skill2_Bullet,0,1,1,[0.9+0.9],1,1,[0+0],[],0,0,0,0
100403,手里剑-毒,100402,Skill2_Bullet,0,1,1,[0.9+0.9],1,1,[0+0],[0.78+0+0],0,0,0,0
100901,黑化女王释法,100901,Skill4_Effect1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
101001,时之终焉,101001,101000_Buff1,0,1,0,[1.0+1.0],0,3,[0+30],[],0,100,0,0
101002,终焉之剑子弹,101002,101000_Bullet1,0,1,1,[1.2+1.2],0,3,[],[],0,100,0,0
101901,蜘蛛毒素子弹,100052,Attack1_Bullet,0,1,1,[0.6+0.5],0,1,[],[],0,0,0,0
101902,蜘蛛毒素子弹命中特效,100053,Attack1_HitBuff,0,1,0,[0.6+0.8],0,-100,[0+0],[],0,0,0,0
101903,坠落地刺前,100056,100004_Skill4_Bullet1,3000,1,0,[1.3+1.2],0,1,[150+0],[],0,100,0,0
101904,坠落地刺后,100057,100004_Skill4_Bullet2,3000,1,0,[1.3+1.2],0,-100,[150+0],[],0,100,0,0
102505,蛛网束缚,100054,Skill3_Bullet1,3000,1,1,[1.1+1.1],0,100,[0+0],[],0,100,0,0
102506,蛛网束缚命中,100055,Skill3_HitBuff,3000,1,1,[1.0+1.0],0,100,[0+0],[],0,100,0,0
104408,巫妖技能起手绑定特效,40803,40800_Skill1_Effect1,0,1,0,[1.5+1.5],0,100,[30+-50],[],0,0,0,3
104409,巫妖技能循环绑定特效,40803,40800_Skill1_Effect2,0,1,1,[1.5+1.5],0,100,[30+-50],[],0,0,0,3
104410,巫妖技能施放绑定特效,40803,40800_Skill1_Effect3,0,1,0,[1.5+1.5],0,100,[30+-50],[],0,0,0,3
105201,小鹿标枪子弹特效,30308,Attack_Bullet,0,1,1,[1.0+1.0],0,1,[0+0],[],0,0,0,0
105301,狼人冲锋护盾,10605,10604_Skill4_Hit,0,0.7,1,[1.1+1.35],0,1,[-30+-30],[],0,100,0,0
105400,通用地上血迹流血(移动中心点为基点),405,Blood_Buff_Down,2000,0.66,1,[1.3+1.0],0,-500,[0+0],[],0,100,0,0
105601,骑士冲锋护盾,10605,10604_Skill4_Hit,0,0.8,1,[1.1+1.35],0,1,[0+-30],[],0,100,0,0
105602,圣盾,11003,11002_Skill2_Hit,0,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
105603,圣盾标记,11003,11002_Skill2_Hit,0,1,1,[0.2+0.2],0,1,[0+70],[],0,100,0,0
105701,夜刃前进护盾,10605,10604_Skill4_Hit,0,0.8,1,[1.3+1.75],0,1,[0+20],[],0,100,0,0
105801,精灵弓手前进护盾,10605,10604_Skill4_Hit,0,0.8,1,[0.95+1.20],0,1,[0+0],[],0,100,0,0
105802,精灵弓箭手普攻子弹,30103,30100_Attack2_Bullet,0,1,1,[1.7+1.2],0,1,[0+0],[],0,0,0,0
105901,牛头人前进护盾,10605,10604_Skill4_Hit,0,0.8,1,[1.0+1.35],0,1,[0+-30],[],0,100,0,0
106101,雪女前进护盾,10605,10604_Skill4_Hit,0,0.8,1,[0.55+0.75],0,1,[-10+-80],[],0,100,0,0
106201,巫妖前进护盾,10605,10604_Skill4_Hit,0,0.8,1,[1.0+1.3],0,1,[-10+-100],[],0,100,0,0
